human_id	human	mouse_id	mouse	phenotype_plusAO	percentile_plusAO	n_mice	n_guides	excluded_family	dependency_delta	coverage_log2_ratio	distance	focal
ENSG00000144730	IL17RD	ENSMUSG00000040717	Il17rd	-2.17085549418	0.13020308606	26	4	False	0.0220054085582	0.0565835283664	0.0516254962639	Psmc5
ENSG00000008405	CRY1	ENSMUSG00000020038	Cry1	-2.83018117904	0.0913887268678	28	4	False	-0.0168089506336	0.163498732283	0.0549859175986	Psmc5
ENSG00000127980	PEX1	ENSMUSG00000005907	Pex1	-2.17932459718	0.129354684766	23	4	False	0.0211570072644	-0.120294233718	0.0592325983045	Psmc5
ENSG00000100478	AP4S1	ENSMUSG00000020955	Ap4s1	-2.19598993433	0.127710907259	28	4	False	0.0195132297577	0.163498732283	0.0648084490157	Psmc5
ENSG00000140740	UQCRC2	ENSMUSG00000030884	Uqcrc2	-2.89917801373	0.0879951216926	28	4	False	-0.0202025558089	0.163498732283	0.0675461615793	Psmc5
ENSG00000101966	XIAP	ENSMUSG00000025860	Xiap	-3.05384888412	0.082003287555	25	4	False	-0.0261943899464	0	0.0686146064666	Psmc5
ENSG00000007372	PAX6	ENSMUSG00000027168	Pax6	-2.28409690927	0.121984198526	21	4	False	0.0137865210244	-0.251538766996	0.0822785674976	Psmc5
ENSG00000060237	WNK1	ENSMUSG00000045962	Wnk1	-2.09752241775	0.136300970359	27	4	False	0.0281032928575	0.111031312389	0.0913074592743	Psmc5
ENSG00000051825	MPHOSPH9	ENSMUSG00000038126	Mphosph9	-2.61654691197	0.10257701893	31	4	False	-0.0056206585715	0.310340120612	0.0994701707393	Psmc5
ENSG00000023228	NDUFS1	ENSMUSG00000025968	Ndufs1	-2.42152450292	0.113235060183	20	4	False	0.00503738268201	-0.321928094887	0.106175220706	Psmc5
ENSG00000143442	POGZ	ENSMUSG00000038902	Pogz	-2.61637149629	0.102630044011	20	4	False	-0.00556763349064	-0.321928094887	0.106737552546	Psmc5
ENSG00000010818	HIVEP2	ENSMUSG00000015501	Hivep2	-2.88917254054	0.0885253725012	30	4	False	-0.0196723050003	0.263034405834	0.107887057055	Psmc5
ENSG00000134644	PUM1	ENSMUSG00000028580	Pum1	-3.19190441507	0.0763826289835	23	4	False	-0.0318150485179	-0.120294233718	0.115690433886	Psmc5
ENSG00000137710	RDX	ENSMUSG00000032050	Rdx	-2.95190695066	0.0858210933772	30	4	False	-0.0223765841243	0.263034405834	0.119258250359	Psmc5
ENSG00000215301	DDX3X	ENSMUSG00000000787	Ddx3x	-2.95407464782	0.0857680682963	30	4	False	-0.0224296092052	0.263034405834	0.119495835562	Psmc5
ENSG00000102974	CTCF	ENSMUSG00000005698	Ctcf	-3.13252324094	0.0787157325415	22	4	False	-0.02948194496	-0.184424571137	0.120930930301	Psmc5
ENSG00000157259	GATAD1	ENSMUSG00000007415	Gatad1	-2.44661657213	0.111432207434	32	4	False	0.00323452993266	0.356143810225	0.12788463195	Psmc5
ENSG00000156467	UQCRB	ENSMUSG00000021520	Uqcrb	-3.02580186573	0.0826926136062	21	4	False	-0.0255050638952	-0.251538766996	0.128322579732	Psmc5
ENSG00000147684	NDUFB9	ENSMUSG00000022354	Ndufb9	-2.38108568013	0.115409088499	32	4	False	0.0072114109974	0.356143810225	0.132038858419	Psmc5
