gene,rank_score
HLTF,0.100366684603128
LOC102639456,0.100359787612357
TNIP1,0.100335066115346
FZD9,0.10019049359391
6330419E04RIK,0.100093150419491
TRIM68,0.100083327552753
GPX3,0.100006776834362
LMOD1,0.0999843623651537
ZZEF1,0.0999637086811708
1110038B12RIK,0.0999007429898391
DDAH2,0.0995708531921276
NOD1,0.0995060286341298
PVRL4,0.0993762494288177
MRM1,0.0993195644821897
4930423K06RIK,0.0992936814604169
TAF1B,0.0992578111370517
GRIK3,0.0990390520698694
AI605517,0.0989920543385898
PF4,0.0989229870924183
D9ERTD338E,0.0989192951304177
5430427G11RIK,0.0987891359442214
CPSF4,0.0987451960635795
TNFSF9,0.0986762411949208
FAM19A2,0.0986483083182151
C76628,0.0986429674588528
LOC102641068,0.0986300118093583
C76876,0.0985541648762757
SNX8,0.0984434490998562
4930515G01RIK,0.098438741270572
LITAF,0.0984295874356309
5830438M01RIK,0.0983822003980877
E330034G19RIK,0.098287280401017
ITGA3,0.0981811836454831
PPP6R1,0.0981765802450291
BBS9,0.0981537453510145
2900076A07RIK,0.0979149357757435
MESDC1,0.0978894237015581
PIRT,0.0978453092901961
SEMA3E,0.0977993912026173
ARHGAP33,0.0977503499628741
TAF12,0.0977216528415472
BB086117,0.0976567667042164
CHRNB3,0.097528729776619
CPLX3,0.0975259990704052
ABI3,0.0974444589942416
C530014P21RIK,0.0973648508958389
XDH,0.097249378765395
TIMMDC1,0.0972317818398477
ZFP691,0.0970997676828861
SPOCK1,0.097072083613299
9530082P21RIK,0.0970235311844747
BLM,0.0969919921508482
ACIN1,0.0969761707719746
D5ERTD615E,0.0969662133494047
SNORD89,0.0968766984277983
BCL2L1,0.0967544923317737
LHX5,0.0967429693057391
ENPEP,0.0967080879584336
AU018552,0.0966400341067877
ZFP862-PS,0.0966196501108545
GM13242,0.0965964135739226
AFF3,0.0965674210313082
HRH1,0.0965288834498789
4933405D12RIK,0.0964984554993542
SLC15A4,0.0963743503966848
SSNA1,0.0962475263457534
DMRTC2,0.096205110150893
COL5A2,0.0961385130313935
NCAPD3,0.0960701779981315
GM8350,0.0960301174614888
TACR3,0.0960071742693496
BCL6,0.0959838276047254
1700085D22RIK,0.0959716297056883
KCTD8,0.095854404175987
PAX6,0.0958513736646955
GM26702,0.0958481751750014
DAO,0.095806030293742
HDC,0.0958027787769825
5830433D23RIK,0.0957670282191576
AW061147,0.0957533645332305
PQLC3,0.0957513839499839
TMEM181A,0.0957376447184933
POMC,0.095714290662717
METTL25,0.0957130494198127
B3GLCT,0.0957020621195546
ANKRD52,0.095637312303775
GM9856,0.0956146060069504
AI854517,0.095586065881331
UBE2G2,0.0955420006073682
GALNT15,0.0954228627766946
A130078K24RIK,0.0954073413106055
