gene,mptp10d_logFC,mptp10d_fdr,mptp10d_perturb,mptp10d_norm,pq_log2FC,pq_perturb,pq_norm,mptp2d_logFC,mptp2d_fdr,mptp2d_perturb,mptp2d_norm,reactivity,shared_loose,same_direction_10d,same_direction_2d,mptp10d_sig_fdr05,mptp2d_sig_fdr05,inferred_celltype
ITGB1BP2,-0.130812960666667,0.926449451814584,0.00434014790153978,0.0026040681066713,0,0,0,-0.0941006383333334,0.923694411765138,0.00324380744963901,0.0021471778163286,0.00171868495040306,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
SNRNP27,0.124031704166667,0.937884714280577,0.0034543502170746,0.00207259370416337,0.00639777119815069,0.00639777119815069,0.00103032760235613,0.0460019123333333,0.971083301021153,0.000586226015893943,0.000388041363992963,0.00171822322954891,FALSE,TRUE,TRUE,FALSE,FALSE,Unknown
RSU1,-0.129131277166667,0.936279238948831,0.0036924580641266,0.00221545728121237,0.00464636485636492,0.00464636485636492,0.000748272767790453,-0.241130319833333,0.805250319986129,0.0226829107059136,0.0150145295763233,0.00171661454664892,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
FOXE3,-0.123478721,0.922348850784306,0.00433469444863019,0.00260079606083334,0,0,0,0.121730567333333,0.884552658625977,0.00648535517902388,0.00429285986405083,0.00171652540015001,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
IRF4,-0.114790001666667,0.916762384346892,0.0043325436595504,0.00259950559760325,0,0,0,-0.155875802333333,0.823669155942799,0.0131320993954827,0.00869254820174614,0.00171567369441815,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
PATE4,-0.118285733666667,0.919194647882912,0.00432837225190735,0.00259700277283458,0,0,0,-0.139814495,0.854059080491174,0.00957898263079505,0.00634062884349009,0.00171402183007083,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
RAB25,-0.110844214,0.914108574955212,0.00432317009463694,0.0025938815031863,0,0,0,-0.177381754666667,0.782530446830001,0.0188909361821253,0.0125045027803715,0.00171196179210296,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
OC90,-0.132005845,0.927374322015128,0.00432252260490294,0.00259349301242194,0,0,0,-0.330701033666667,0.696893566621346,0.0518650153309016,0.03433107933463,0.00171170538819848,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
SULT1C2,-0.108068624333333,0.912024599261927,0.00432203687083634,0.00259320157428956,0,0,0,-0.0396076063333333,0.959778067306616,0.000706171091891872,0.000467436769449564,0.00171151303903111,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
THEMIS3,-0.122692823666667,0.922348850784306,0.00430710568855554,0.00258424293585486,0,0,0,-0.326401074333333,0.667283539934661,0.0573452702324649,0.0379586318314299,0.0017056003376642,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
PHYH,0.0291318906666667,0.977583012820639,0.000286842897894746,0.00017210436057582,0.029029048611532,0.029029048611532,0.00467497650795091,-0.09759553,0.873320972858516,0.00574116539370971,0.00380025731867665,0.00170308089068335,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown
KRTAP19-5,-0.0963117673333334,0.902319533498445,0.0042993227065315,0.00257957318361515,0,0,0,-0.0261789543333333,0.970015971217201,0.000346114967368413,0.000229104334742816,0.001702518301186,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
APOLD1,0.00915082099999992,0.99793962028925,8.19670728954734e-06,4.9179699809705e-06,-0.0310268956206245,0.0310268956206245,0.00499671932353451,-0.0233588303333334,0.991691439410195,8.46392201097993e-05,5.60253417291816e-05,0.00170213043018917,FALSE,FALSE,TRUE,FALSE,FALSE,Unknown
GRPEL1,-0.0297921486666667,0.984442357930395,0.000202875834106675,0.000121724521206456,0.029594782188296,0.029594782188296,0.00476608494269581,-0.132122988666667,0.882682788293437,0.00716045052691881,0.00473972663554638,0.00170080706451284,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
RABEPK,-0.00374003483333338,0.998008342406055,3.2382283990394e-06,1.94290620297924e-06,0.0310268956206246,0.0310268956206246,0.00499671932353452,0.0408102258333333,0.965288247106706,0.00062615054168462,0.000414468659039806,0.0017001668880957,FALSE,FALSE,TRUE,FALSE,FALSE,Unknown
GM11985,-0.110910216666667,0.914729356280349,0.00429304422843999,0.00257580612658749,0,0,0,0.00600011900000001,0.994503173593525,1.43632447363897e-05,9.5074708436249e-06,0.00170003204354774,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
PRPF40B,-0.0406413093333333,0.973084394994344,0.000481578870316514,0.000288945018894032,0.0274807364221069,0.0274807364221069,0.00442562892479722,-0.0850459736666667,0.911344926756404,0.00342881720451766,0.00226964157217523,0.00169541754690112,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
TSGA8,0.106899099333333,0.912024599261927,0.00427526353396315,0.00256513779437238,0,0,0,0.052611982,0.94551118773216,0.00128022461538785,0.000847420790240386,0.00169299094428577,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
ESAM,0.042245705,0.979177078253795,0.000386073425068939,0.000231642205464512,0.0280143761695965,0.0280143761695965,0.00451156881613184,-0.083580656,0.940346001391589,0.00223263304837805,0.00147784978508173,0.0016868172530914,FALSE,TRUE,FALSE,FALSE,FALSE,Unknown
MTRR,-0.152385554333333,0.937753269689498,0.0042532961282688,0.00255195745531662,0,0,0,0.421525,0.710664381125858,0.0625271010168855,0.0413886480510508,0.00168429192050897,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
CSF3,-0.100754972666667,0.907914739631692,0.00422716815260226,0.00253628079404323,0,0,0,-0.197281674333333,0.722615417938147,0.0278350191709433,0.0184248716610996,0.00167394532406853,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
4930519P11RIK,-0.127980074333333,0.926853516343415,0.00422192162824839,0.00253313290435564,0,0,0,-0.338996162333333,0.677778706755241,0.0572605466121311,0.0379025506114866,0.00167186771687472,FALSE,FALSE,FALSE,FALSE,FALSE,Unknown
