gene,log2FC,perturb,perturb_norm
YIPF1,-0.0458036896131248,0.0458036896131248,0.00737644473934871
GM12869,0,0,0
NDC1,0.0995356735509144,0.0995356735509144,0.016029699828631
GLIS1,0,0,0
DMRTB1,-1,1,0.161044771756444
1700047F07RIK,0,0,0
GM12907,0,0,0
4933424M12RIK,0,0,0
LRP8,-0.37851162325373,0.37851162325373,0.0609573179740582
LRP8OS2,0,0,0
LRP8OS1,0,0,0
MAGOH,-0.0339473319233377,0.0339473319233377,0.00546704032133418
0610037L13RIK,0.106041637410325,0.106041637410325,0.0170774512934254
CPT2,0,0,0
4930407G08RIK,0,0,0
SLC1A7,0,0,0
PODN,-0.736965594166206,0.736965594166206,0.118684455904849
SCP2,-0.150362735063795,0.150362735063795,0.0242151323490235
ECHDC2,-0.374395514781498,0.374395514781498,0.0602944402246228
ZYG11A,0,0,0
ZYG11B,-0.649502752915867,0.649502752915867,0.104599022598518
COA7,1.07800251200127,1.07800251200127,0.173606668498119
FAM159A,-1.32192809488736,1.32192809488736,0.212889608319567
GPX7,-0.0291463456595165,0.0291463456595165,0.00469386658427127
ZCCHC11,-0.796466605914868,0.796466605914868,0.12826678276119
PRPF38A,-0.0198995574377049,0.0198995574377049,0.00320471968560945
ORC1,0,0,0
CC2D1B,-0.12199052437861,0.12199052437861,0.0196459361550023
GM17354,0.476438043942987,0.476438043942987,0.0767278560428852
ZFYVE9,-0.567040592723894,0.567040592723894,0.0913189228318584
3110021N24RIK,0.263034405833794,0.263034405833794,0.0423603158515953
BTF3L4,0.450661409009565,0.450661409009565,0.0725766637533831
TXNDC12,-0.254183488251528,0.254183488251528,0.0409349218497242
A730015C16RIK,0,0,0
KTI12,0.15200309344505,0.15200309344505,0.0244793034901316
RAB3B,0.263034405833794,0.263034405833794,0.0423603158515953
8030443G20RIK,0,0,0
NRD1,-0.521537120579523,0.521537120579523,0.0839908265462425
OSBPL9,-0.233363539157451,0.233363539157451,0.0375819778998878
CALR4,-1.8073549220576,1.8073549220576,0.291065060905653
EPS15,0.135977669518975,0.135977669518975,0.0218984927516565
TTC39AOS1,0,0,0
TTC39A,0.415037499278844,0.415037499278844,0.0668396193417269
RNF11,0.0466932354480416,0.0466932354480416,0.00751970144529978
4930522H14RIK,0,0,0
CDKN2C,0.893084796083488,0.893084796083488,0.143826637144416
FAF1,0.134929580086109,0.134929580086109,0.0217297034281603
DMRTA2OS,0.584962500721156,0.584962500721156,0.0942051524147176
DMRTA2,1,1,0.161044771756444
ELAVL4,-0.70626879694329,0.70626879694329,0.113740897202431
AGBL4,-1.16992500144231,1.16992500144231,0.188410304829435
BEND5,-0.263034405833794,0.263034405833794,0.0423603158515953
SPATA6,-0.5376567859428,0.5376567859428,0.0865868143754617
SLC5A9,0,0,0
SKINT8,1,1,0.161044771756444
SKINT7,0,0,0
SKINT1,0,0,0
SKINT4,0,0,0
SKINT3,0.584962500721156,0.584962500721156,0.0942051524147176
SKINT9,0,0,0
SKINT2,0,0,0
SKINT10,0,0,0
SKINT6,0,0,0
GM12823,0,0,0
SKINT5,0,0,0
SKINT11,0,0,0
TRABD2B,1,1,0.161044771756444
GM28864,0,0,0
GM12829,0,0,0
9130410C08RIK,0,0,0
GM12830,1,1,0.161044771756444
FOXD2,1,1,0.161044771756444
FOXE3,0,0,0
CMPK1,0.306479695798699,0.306479695798699,0.0493569526578859
STIL,1,1,0.161044771756444
TAL1,-0.37851162325373,0.37851162325373,0.0609573179740582
PDZK1IP1,1.58496250072116,1.58496250072116,0.255249924171162
CYP4X1,0.678071905112638,0.678071905112638,0.109199935193322
CYP4X1OS,0,0,0
CYP4A29,0,0,0
CYP4A12A,0,0,0
CYP4A12B,0,0,0
CYP4A30B,0,0,0
CYP4A14,0,0,0
CYP4A10,0,0,0
CYP4A31,0,0,0
CYP4A32,0,0,0
CYP4B1,-1,1,0.161044771756444
EFCAB14,0.165284614550403,0.165284614550403,0.0266182230251216
TEX38,0,0,0
ATPAF1,-0.321928094887362,0.321928094887362,0.0518448365631223
GM12847,0,0,0
MOB3C,-0.231325546106456,0.231325546106456,0.037253769774149
MKNK1,-0.101879614019214,0.101879614019214,0.0164071791863589
GM29434,0,0,0
KNCN,1,1,0.161044771756444
6430628N08RIK,0.584962500721156,0.584962500721156,0.0942051524147176
DMBX1,0,0,0
FAAH,-0.341036917835067,0.341036917835067,0.0549222125932697
NSUN4,0.169925001442312,0.169925001442312,0.0273655330729907
UQCRH,0.172351738836853,0.172351738836853,0.0277563464428072
LRRC41,0,0,0
RAD54L,1.32192809488736,1.32192809488736,0.212889608319567
POMGNT1,0.216811389073148,0.216811389073148,0.0349163406674828
LURAP1,0.497499659470817,0.497499659470817,0.0801197191083865
TSPAN1,0,0,0
1700042G07RIK,0,0,0
GM49337,0,0,0
GM12951,0,0,0
PIK3R3,-0.52083216330144,0.52083216330144,0.0838772968622957
MAST2,-0.465663572348812,0.465663572348812,0.074992683724205
IPP,-0.0931094043914815,0.0931094043914815,0.0149947827786046
TMEM69,0.37851162325373,0.37851162325373,0.0609573179740582
GM12953,0,0,0
GPBP1L1,0.15200309344505,0.15200309344505,0.0244793034901316
CCDC17,0.652076696579693,0.652076696579693,0.105013542768373
NASP,-0.596644305768792,0.596644305768792,0.0960864460423173
AKR1A1,0.372702662120488,0.372702662120488,0.0600218151542133
PRDX1,0.429763424607736,0.429763424607736,0.0692111526252207
MMACHC,0.53051471669878,0.53051471669878,0.0854366214641898
CCDC163,-0.0931094043914815,0.0931094043914815,0.0149947827786046
TESK2,-0.447458976971221,0.447458976971221,0.0720609288167025
TOE1,-0.31315788525963,0.31315788525963,0.050432440155368
MUTYH,-1.16992500144231,1.16992500144231,0.188410304829435
HPDL,1.11547721741994,1.11547721741994,0.179641773878907
GM12996,-1.58496250072116,1.58496250072116,0.255249924171162
ZSWIM5,1,1,0.161044771756444
UROD,0.181606806489948,0.181606806489948,0.0292468267005904
HECTD3,0.229481846122767,0.229481846122767,0.0369568515310885
1700021J08RIK,0,0,0
EIF2B3,-0.376148485885249,0.376148485885249,0.0605767470559221
PTCH2,-1.58496250072116,1.58496250072116,0.255249924171162
BTBD19,-0.540568381362703,0.540568381362703,0.0870557115953071
