gene,reactivity,shared_loose,inferred_celltype,pq_log2FC,mptp10d_logFC,mptp10d_fdr,same_direction_10d,mptp2d_logFC,mptp2d_fdr,same_direction_2d
CABP7,0.174090432538732,FALSE,Unknown,2.58496250072116,0.726047430666667,0.770524962046364,TRUE,0.631210880166667,0.746363921810307,TRUE
ZC3H12C,0.174033421656605,FALSE,Unknown,-3.16992500144231,0.08139801,0.967433933712332,FALSE,-0.0813935606666666,0.953824498484472,TRUE
AI429214,0.174020120175877,FALSE,Unknown,-3.16992500144231,-0.0736443153333334,0.965080534371442,TRUE,-0.390374021,0.662970252325165,TRUE
GABRQ,0.173857550747018,FALSE,Unknown,-3.16992500144231,-0.0563455293333333,0.970756592328032,TRUE,0.0581697613333334,0.956897090240138,FALSE
SLC26A3,0.1736315212629,FALSE,Unknown,-3.16992500144231,0.0245070465,0.985497139319709,FALSE,-0.038785697,0.965548272724009,TRUE
AI854703,0.173580408334829,FALSE,Unknown,-3.16992500144231,-0.00958911766666664,0.993677386764571,TRUE,-0.0831604035,0.889620686082458,TRUE
JUNOS,0.173178103276884,FALSE,Unknown,-2.8073549220576,-0.321227393,0.703092822733257,TRUE,-0.431731624,0.545107795438121,TRUE
CDHR3,0.172484815004682,FALSE,Unknown,-3.14974711950468,0.0144645383333334,0.99210761318418,FALSE,0.099690596,0.882682788293437,FALSE
FSTL3,0.172187131478936,FALSE,Unknown,2.58496250072116,0.452301181333333,0.674361983062864,TRUE,0.038050492,0.972968661767049,TRUE
SLC14A2,0.171623560704801,FALSE,Unknown,-3.10433665981474,0.11363431,0.91927478879328,FALSE,-0.0155316188333333,0.987383234836792,TRUE
DNAH6,0.171096460911797,FALSE,Unknown,-3.12101540096137,0.0593169533333334,0.980146516374691,FALSE,-0.170365173333333,0.909114207807851,TRUE
SERAC1,0.170523610574909,FALSE,Unknown,-2.32192809488736,-0.572122252,0.643428417936403,TRUE,-0.113411186166667,0.917646207316618,TRUE
STEAP1,0.170496807967787,FALSE,Unknown,-3,0.266237938833333,0.87276535222538,FALSE,-0.197123350166667,0.880186392047685,TRUE
IRX5,0.170374936693058,FALSE,Unknown,-2.47804729680464,0.594412021,0.712244751786029,FALSE,0.052340031,0.975435102309176,FALSE
SPAG5,0.170025017444048,FALSE,Unknown,1.22239242133645,0.78454773,0.465767613554114,TRUE,0.49412028,0.505676685089559,TRUE
SYT10,0.170000211189369,FALSE,Unknown,-3.10433665981474,-0.0239036766666667,0.994767488683429,TRUE,0.439439463333333,0.772990671688301,FALSE
CHST5,0.169627095442163,FALSE,Unknown,-2.8073549220576,-0.4570411,0.816759934504557,TRUE,-0.187062337666667,0.913809396691468,TRUE
PITX2,0.16954824756871,FALSE,Unknown,-2.70043971814109,0.795957943333333,0.853496020932003,FALSE,1.25456555066667,0.683526648999244,FALSE
HTRA4,0.169407962669602,FALSE,Unknown,2.58496250072116,0.464227656666667,0.705353640807183,TRUE,0.0817572716666667,0.948818360397683,TRUE
KCNU1,0.169232027603316,FALSE,Unknown,2.8073549220576,0.385280137333334,0.79124478087614,TRUE,0.0183728510000001,0.990556513642642,TRUE
WFDC17,0.169142435726664,FALSE,Unknown,3,0.2487201,0.892248504845299,TRUE,-0.0379345366666667,0.981577385472177,FALSE
FAM183B,0.169133114033694,FALSE,Unknown,-2.74495838491974,0.431183493333334,0.775722818353235,FALSE,0.0604898096666667,0.970175507281091,FALSE
MUSK,0.168793105844978,FALSE,Unknown,-3,-0.229814612666667,0.891766458975668,TRUE,-0.152315618,0.90573439834142,TRUE
LRRC23,0.168679730140775,FALSE,Unknown,-2.63941028474353,0.427552536666667,0.719967937517457,FALSE,0.233160653333333,0.810216014773553,FALSE
SPATA33,0.168119884075345,FALSE,Unknown,-3.0703893278914,-0.00120306199999989,0.999837661261108,TRUE,-0.17662271,0.894572892452849,TRUE
TSHR,0.167953667382094,FALSE,Unknown,-3,-0.140966931666667,0.858881804608297,TRUE,-0.093631228,0.882682788293437,TRUE
TMEM132C,0.16788082270796,FALSE,Unknown,3,0.244770089166666,0.917704250170616,TRUE,0.200221224,0.90249277144257,TRUE
GRB7,0.167712729531317,FALSE,Unknown,2.4594316186373,0.461636861666667,0.659522848883831,TRUE,0.427457333333333,0.587675520210453,TRUE
TNFRSF13C,0.167659327233007,FALSE,Unknown,2,0.889265856333334,0.683711731216986,TRUE,-0.185389373333333,0.930913487634889,FALSE
DNAH5,0.167523930510301,FALSE,Unknown,-3.05889368905357,0.0208394506666666,0.990689062722962,FALSE,0.0787939213333333,0.934531805253,FALSE
CHDH,0.167445240609248,FALSE,Unknown,2.8073549220576,0.303368092333333,0.768647693865591,TRUE,0.354233742333333,0.663749072147389,TRUE
9230110C19RIK,0.167284487461861,FALSE,Unknown,-2.58496250072116,-0.375818571,0.671450502009639,TRUE,0.144081432333333,0.844498326318713,FALSE
FMOD,0.166511832684307,FALSE,Unknown,3,-0.3242576655,0.960521704661631,FALSE,-0.877124058333333,0.794120349346081,FALSE
ZBBX,0.16649138587411,FALSE,Unknown,-3,0.179467994666667,0.930426734118921,FALSE,0.330925623333333,0.788660345808302,FALSE
PIH1D2,0.166297918552081,FALSE,Unknown,-3.03242147769238,-0.056439835,0.973869674001888,TRUE,-0.0788395,0.948818360397683,TRUE
CCL8,0.165997233505835,FALSE,Unknown,2.8073549220576,-0.354906483333334,0.817757759360502,FALSE,-0.208168274,0.870144830228433,FALSE
STYXL1,0.165892511716056,FALSE,Unknown,-2.93859945533586,0.182299533666667,0.85288974760136,FALSE,-0.0338702226666667,0.971676828753787,TRUE
TCTE1,0.165275413728899,FALSE,Unknown,-2.90689059560852,0.213839689333333,0.846973492508356,FALSE,0.379052001333333,0.630116196575384,FALSE
9030612E09RIK,0.165226806887922,FALSE,Unknown,-3,-0.142813903333333,0.961623079618397,TRUE,-0.370335883333333,0.815585591547273,TRUE
EMILIN2,0.165025513008199,FALSE,Unknown,0.637429920615292,-1.19968391666667,0.532228396684808,FALSE,-1.07301443,0.428558762560541,FALSE
EFCAB11,0.16462307471947,FALSE,Unknown,-3,0.054200891,0.962383200424268,FALSE,-0.012379203,0.988299906263336,TRUE
HCRT,0.16452284527176,FALSE,Unknown,-3,0.0440440173333333,0.966617476368525,FALSE,-0.158308349,0.771877028280324,TRUE
SAA2,0.164437979370664,FALSE,Unknown,3,-0.0406734166666667,0.975667253523318,FALSE,-0.0633149133333333,0.945897551959311,FALSE
SLC26A4,0.164436213893345,FALSE,Unknown,-1,1.079655792,0.553937116459371,FALSE,0.797309235333334,0.530074028562997,FALSE
SKA3,0.164376694529711,FALSE,Unknown,2,-0.564067835333334,0.568027754210696,FALSE,-0.393509307,0.55952108569604,FALSE
PLA2G3,0.164280613513329,FALSE,Unknown,3,0.0170970723333334,0.994929702040835,TRUE,0.662786177,0.562571600669454,TRUE
C1QTNF3,0.164275477755807,FALSE,Unknown,-3,0.0114197773333333,0.995017165294931,FALSE,0.041952335,0.969102188867569,FALSE
WNT8B,0.164273157352435,FALSE,Unknown,-3,0.00830169533333335,0.994767488683429,FALSE,0.041813133,0.949701549561803,FALSE
OXTR,0.164221759975918,FALSE,Unknown,-1.32192809488736,0.714109263333333,0.473404990429052,FALSE,0.938016495666667,0.163774578266174,FALSE
WDR66,0.164126985320932,FALSE,Unknown,-2.55799545312089,0.350513142,0.670865365799454,FALSE,0.263771816,0.676514582963947,FALSE
SOSTDC1,0.164019519662527,FALSE,Unknown,-1.32192809488736,1.29220760166667,0.662094537163094,FALSE,0.350808101833333,0.888659297025099,FALSE
ARHGEF33,0.163927894111886,FALSE,Unknown,-2.8073549220576,-0.220444681,0.763896452019837,TRUE,-0.145654635666667,0.804603301996603,TRUE
DSP,0.163495424471347,FALSE,Unknown,1,-1.62947815133333,0.678391850690714,FALSE,-0.921373926666667,0.770102814103822,FALSE
DLX2,0.162714637374308,FALSE,Unknown,2.39231742277876,0.801293674,0.794375579023715,TRUE,1.09740097,0.648222955046161,TRUE
SLC22A6,0.162395120786289,FALSE,Unknown,2.93859945533586,-0.257551868333334,0.966888576233398,FALSE,-0.6157449,0.859543148696431,FALSE
2810414N06RIK,0.16228492530196,FALSE,Unknown,-2.58496250072116,-0.294425646,0.663855574758435,TRUE,-0.318140585666667,0.552638984544351,TRUE
MIA,0.162150930076986,FALSE,Unknown,-2.68390435041479,0.555179453666667,0.85288974760136,FALSE,-0.00628025200000004,0.998007598337612,TRUE
DUSP5,0.162027576183016,FALSE,Unknown,1.58496250072116,0.889390937666667,0.611450887269081,TRUE,0.548984367333333,0.630116196575384,TRUE
6820408C15RIK,0.161638649689614,FALSE,Unknown,-2.03952836418664,0.693986896,0.657948882466983,FALSE,0.756431899333333,0.54073139174151,FALSE
MORN3,0.161147314730722,FALSE,Unknown,-2.90689059560852,-0.15069262,0.926449451814584,TRUE,-0.273815388666667,0.778444192401402,TRUE
PRRG4,0.16049552228445,FALSE,Unknown,-2.39231742277876,0.507360930666667,0.713103156174783,FALSE,0.149453163333333,0.906100856842875,FALSE
SLC27A2,0.16025372711516,FALSE,Unknown,-2.8073549220576,-0.206148305666667,0.831631053995917,TRUE,-0.0795052866666666,0.924113998437707,TRUE
HAP1,0.160128997723538,FALSE,Unknown,-1.78587519464715,0.680069928,0.586819554309059,FALSE,1.08444389,0.175926911031145,FALSE
