probe	gene	mean_expression
ILMN_1770412	AHCYL1	11.23901627039755
ILMN_1712786	AHCYL2	8.200360036545055
ILMN_1680111	AHDC1	6.194179079060482
ILMN_1791006	AHI1	8.072375868685056
ILMN_1714567	AHNAK	6.059775390540847
ILMN_1657111	AHNAK2	8.487299225824605
ILMN_1812640	AHR	12.577615800531111
ILMN_1782679	AHRR	2.396751101248048
ILMN_1703617	AHSA1	10.094283692421246
ILMN_1798308	AHSA2	8.442891625539268
ILMN_1730625	AHSG	0.2406920170470599
ILMN_1696512	AHSP	4.655285232675069
ILMN_2164164	AICDA	1.3763535941158098
ILMN_3240117	AIDA	11.019011092534042
ILMN_1792473	AIF1	5.946258303780385
ILMN_3246401	AIF1L	11.728313945724969
ILMN_1667183	AIFM1	7.302262382679771
ILMN_1712639	AIFM2	3.437536409024014
ILMN_1704173	AIFM3	5.474226578433737
ILMN_1797974	AIG1	8.464272029327573
ILMN_1688625	AIM1	4.681748911426609
ILMN_3307874	AIM1L	5.219778771232896
ILMN_1681301	AIM2	6.088124949637378
ILMN_1715351	AIMP1	0.7457533122676235
ILMN_1673252	AIMP2	10.343539840435678
ILMN_2103841	AIP	10.31021739020356
ILMN_2368268	AIPL1	4.301668518117685
ILMN_2261519	AIRE	13.88994460963707
ILMN_1723521	AJAP1	6.464649545551228
ILMN_1687275	AJUBA	4.142228026634601
ILMN_1779965	AK1	8.623966352280595
ILMN_1716053	AK2	11.010457292685837
ILMN_1778173	AK3	11.749160618178779
ILMN_1843198	AK4	10.41631520290381
ILMN_2387712	AK5	5.87428055931295
ILMN_2343332	AK6	7.730563109025467
ILMN_1684305	AK7	2.6527390458023072
ILMN_1659914	AK8	4.40695789010819
ILMN_1755111	AK9	4.73928703839537
ILMN_1900457	AKAIN1	3.8120512088739376
ILMN_1712530	AKAP1	5.605701261037466
ILMN_1718808	AKAP10	6.74465264535693
ILMN_2293758	AKAP11	9.333705831070155
ILMN_1684836	AKAP12	8.27492563324335
ILMN_2396956	AKAP13	8.286106833049027
ILMN_1673542	AKAP14	1.3078339927611706
ILMN_2117716	AKAP17A	10.808964774015912
ILMN_1691959	AKAP2	3.9450384106419283
ILMN_1808905	AKAP3	1.7088663069390073
ILMN_2253207	AKAP4	4.242861561678748
ILMN_1690818	AKAP5	0.8131435837931843
ILMN_1770758	AKAP6	5.960198448781721
ILMN_1733690	AKAP7	7.849144163190644
ILMN_1741572	AKAP8	6.8615197901125065
ILMN_1768962	AKAP8L	9.140136329339029
ILMN_2400663	AKAP9	0.0
ILMN_2359029	AKIP1	9.318216387323528
ILMN_1802799	AKIRIN1	9.827402608361353
ILMN_2148847	AKIRIN2	9.81578885731378
ILMN_1770673	AKNA	4.698843056712612
ILMN_2205785	AKNAD1	3.616742053687416
ILMN_2380771	AKR1A1	12.16245692641697
ILMN_1701731	AKR1B1	11.246673249636336
ILMN_1672148	AKR1B10	0.24311823310774316
ILMN_2278335	AKR1B15	3.4057541907012574
ILMN_1662507	AKR1C1	0.5004083117128155
ILMN_2412336	AKR1C2	11.749751708729043
ILMN_1713124	AKR1C3	4.112254178735833
ILMN_1687757	AKR1C4	10.758683900050906
ILMN_1761438	AKR1C6P	0.9775650589034056
ILMN_2157277	AKR1D1	15.058634931348701
ILMN_1694985	AKR1E2	1.5995264617530687
ILMN_1677043	AKR7A2	12.138659365691103
ILMN_2084562	AKR7A2P1	4.343484488911035
ILMN_2145396	AKR7A3	9.393572881652
ILMN_2388507	AKT1	11.382925745415323
ILMN_1726906	AKT1S1	4.243443926630368
ILMN_1743347	AKT2	2.9432346955300743
ILMN_2325610	AKT3	6.336516131642362
ILMN_2377240	AKTIP	9.125312618915844
ILMN_1747577	ALAD	8.694069603434196
ILMN_2385647	ALAS1	6.593784200217994
ILMN_2367126	ALAS2	2.7649639038869256
ILMN_1782939	ALB	6.959425698616631
ILMN_1670870	ALCAM	9.114905594688182
ILMN_2051381	ALDH16A1	5.723514299088465
