SC_cat	dose_M	compound_name	available_wells	valid_wells	plates	eligible	alpha_score	multivariate_score	alpha_fraction	alpha_response	integrity_fraction_0.8	viability_fraction_0.8	joint_fraction_0.8	joint_response_0.8	integrity_fraction_0.7	viability_fraction_0.7	joint_fraction_0.7	joint_response_0.7	integrity_fraction_0.9	viability_fraction_0.9	joint_fraction_0.9	joint_response_0.9	IndividualCell_Intensity_MeanIntensity_SNCA_standardized	Cell_Neurites_LengthPerNuclei_MAP2_standardized	Cell_Neurites_LengthPerNuclei_TH_standardized	Cell_Intensity_MeanIntensity_TH_standardized	Nuclei_Number_Living_standardized	Nuclei_Ratio_Living_standardized	Nuclei_Number_Living_ratio
S4838	5e-06	Acotiamide hydrochloride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0361503126821	0.0411076086143	0	False	0.25	1	0	False	0.25	1	0	False	0	0.75	0	False	-0.295345333435	-0.638422044698	-0.741098475045	-0.123987194413	0.792495309489	1.07629518416	1.09994727159
S4839	5e-06	Mosapride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.142573048772	0.158729601536	0	False	0	0.25	0	False	0	0.5	0	False	0	0.25	0	False	-0.806055105249	-0.391720249212	-1.15649098469	-0.300870078648	-0.0550533198861	-0.0467735311122	1.00592729769
S4851	5e-06	Tafluprost	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0298963525023	0.0667841151385	0	False	0.25	0.75	0	False	0.5	0.75	0	False	0.25	0.5	0	False	-0.265333338877	-0.347369150369	-0.882866801488	0.328014557592	-0.192734871828	0.243739252041	0.985076417754
S4858	5e-06	Tryptophol	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0652233481829	0.111686112176	0	False	0.5	0.5	0	False	0.5	0.5	0	False	0	0.5	0	False	-0.434863296157	-0.328328791696	-0.349746714432	0.0119659656251	-1.20911566687	0.0942158369382	0.911848767891
S4882	5e-06	Resorantel	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.157308926813	0.174569617115	0	False	0.25	0.5	0	False	0.25	0.5	0	False	0	0.5	0	False	-0.876770792406	-0.664436095988	-1.60531774963	0.0442367216328	-0.440308935312	0.232733440714	0.966009193623
S4886	5e-06	Menbutone	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.00595136768679	-0.0096966754959	0	False	1	0.75	0	False	1	0.75	0	False	0.75	0.75	0	False	-0.150424267934	0.259068854232	0.484563334382	0.260749211749	0.916527386224	-0.144431382899	1.10087547273
S4889	5e-06	Perospirone hydrochloride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0936325159307	0.127709160064	0	False	0.75	1	0	False	1	1	0	False	0.5	0.5	0	False	-0.571195438244	0.0108661603782	0.461543773985	-0.118662540416	0.5025234344	0.24472951556	1.04169166955
S4926	5e-06	(R)-Nepicastat HCl	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0859801174744	0.116370554325	0	False	0	1	0	False	0	1	0	False	0	0.75	0	False	-0.534472508417	-0.954018434754	0.629724714484	-0.656188026349	-0.235356985125	1.50851483742	0.964826794573
S4931	5e-06	Propiverine hydrochloride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.323723919372	-0.242349921611	0	False	0.5	1	0	False	0.5	1	0	False	0.25	0.5	0	False	1.43164735335	-0.179924115684	0.116404500221	-0.459685004502	0.135658480369	0.172624784103	1.0304585795
S4938	5e-06	Cedrol	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.258458074571	-0.288760872309	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.25	0.5	0	False	1.11844449905	0.167151848626	-0.809412024861	0.640130760668	0.0778791047788	0.604638217614	1.00772654009
S4963	5e-06	Purpurin	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.176109821328	0.268636655254	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0	0.75	0	False	-0.966993999406	-2.09388127543	0.105390452141	-0.420065242357	-0.656206898394	1.32795080556	0.935570365479
S4969	5e-06	Tropine	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0810941784658	0.0347707925916	0	False	0.25	0.75	0	False	0.5	1	0	False	0.25	0.75	0	False	-0.511025481138	-0.926015818167	0.737030814135	-0.665299068153	0.458268797864	0.635009227724	1.0621837397
S4972	5e-06	Choline Glycerophosphate	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0380248776561	-0.121761485271	0	False	0.25	0.5	0	False	0.5	0.5	0	False	0.25	0.5	0	False	0.0606123869155	-0.427577053939	-0.871613579451	1.24032961386	0.00468541030609	-0.281906103957	0.996809095255
S4976	5e-06	Sulfalene	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0892464437276	-0.229986445534	0	False	0.25	0.5	0	False	0.75	0.75	0	False	0.25	0	0	False	0.306418455069	-0.0662872119978	-0.156483659546	1.56848473511	-0.506261185295	-0.444088685116	0.979331660761
S4982	5e-06	2,2':5',2''-Terthiophene	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.166566599137	-0.271120154119	0	False	0.5	0.25	0	False	0.5	0.25	0	False	0.5	0	0	False	0.677468480434	0.449189602497	0.319369356291	1.35691311346	1.51180897106	-1.27037857399	1.11499516692
S4992	5e-06	Nanofin	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0152105092326	0.0555452171378	0	False	0.25	0.75	0	False	0.5	1	0	False	0.25	0.75	0	False	-0.194857762503	-0.40709196799	0.563690655216	-0.118635053529	0.389117559092	0.775569855128	1.02452758954
S5002	5e-06	Fingolimod HCl	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.0773480535593	-0.00690615974574	0	False	1	0	0	False	1	0	0	False	1	0	0	False	-0.493048283159	1.85052095294	2.58612813282	1.29268212908	-1.6674482999	-1.73266097244	0.796859818978
S5017	5e-06	Oxyclozanide	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.070074338823	-0.0139854480497	0	False	0.25	1	0	False	0.5	1	0	False	0	0.75	0	False	0.214413854541	-0.72241011308	-0.171424066593	-0.246705874165	0.555827725135	0.701843575992	1.0547526145
S5034	5e-06	Melitracen hydrochloride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.249521854314	-0.128519746143	0	False	0.25	0.5	0	False	0.25	0.5	0	False	0.25	0.5	0	False	1.07556066448	0.283100320132	0.635910474979	-0.827815594153	0.517630260947	0.15937353504	1.06389033883
S5043	5e-06	Benorylate	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0662599566752	-0.0848037110518	0	False	0.5	1	0	False	0.5	1	0	False	0.25	0.75	0	False	0.196109098359	-0.13111016387	-0.231805205497	0.285030553985	-0.26842410992	0.721702794617	0.973513431825
S5048	5e-06	Fosfomycin Disodium	4	4	PD-SC5-01,PD-SC5-02,PD-SC5-03,PD-SC5-04	True	-0.0581892002772	0.0251502323255	0	False	0.5	0.75	0	False	0.5	0.75	0	False	0.25	0.75	0	False	0.157378519633	0.187197191885	-0.0773822799592	-0.500500672722	0.232326207302	0.771049283974	1.02735125031
S5052	5e-06	Granisetron	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.22875225141	-0.22533030079	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.25	0.75	0	False	0.975889865276	-0.199032386419	-0.312193562912	0.268201383424	0.795559243076	0.882371677614	1.09220620865
S5062	5e-06	Daclatasvir Digydrochloride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.174037826231	-0.258248841184	0	False	0.25	0.75	0	False	1	0.75	0	False	0.25	0.75	0	False	0.713321990922	-0.251492137537	-0.324991926395	0.951973432084	-0.283328537791	0.711396892038	0.974376945366
S5066	5e-06	Pramipexole dihydrochloride	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	0.00985661282435	0.0533150511976	0	False	0.25	1	0	False	0.5	1	0	False	0.25	0.75	0	False	-0.169165064557	-0.117370165384	0.854873605946	-0.371313414356	-0.240228206684	0.980924930445	0.994052464637
S5071	5e-06	Duloxetine	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.383469788026	-0.199781165779	0	False	0.25	0.25	0	False	0.25	0.25	0	False	0.25	0.25	0	False	1.71836051323	0.569762768022	1.19780783001	-1.18150540076	0.27192511006	-0.521685705008	1.00529868356
S5073	5e-06	Donepezil	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0156873242214	-0.030086679525	0	False	0	0.5	0	False	0.25	0.75	0	False	0	0.5	0	False	-0.0465828162592	-1.16440941797	-0.544117623535	0.334116414177	-0.0219033137838	0.962456781051	0.998060700955
S5075	5e-06	Acotiamide	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.0206863482192	-0.104084563371	0	False	0	0.75	0	False	0	0.75	0	False	0	0.25	0	False	-0.022593107866	-1.21551339672	-0.788310182011	1.30774160693	-0.922593670147	0.874885559318	0.941600661871
S5092	5e-06	Febantel	4	4	PD-SC3-01,PD-SC3-02,PD-SC3-03,PD-SC3-04	True	-0.128556954866	-0.142821996318	0	False	1	0.75	0	False	1	0.75	0	False	0.75	0.5	0	False	0.495064818723	0.327777658329	0.10180639762	0.593279984339	0.418926537252	0.317392916192	1.0288458182
