Plate	feature	mutant_median	corrected_median	mutant_control_wells	corrected_control_wells	pooled_control_sd	invalid_wells	dataset
PD-SC4-04	Cell_Neurites_LengthPerNuclei_MAP2	193.212	160.397	12	12	14.3507638799	0	screen
PD-SC4-04	Cell_Neurites_LengthPerNuclei_TH	198.9225	194.543	12	12	18.4558087615	0	screen
PD-SC4-04	Cell_Intensity_MeanIntensity_TH	375.7695	353.046	12	12	23.2011772226	0	screen
PD-SC4-04	Nuclei_Number_Living	3269.5	4073.5	12	12	497.770925165	0	screen
PD-SC4-04	Nuclei_Ratio_Living	0.8495495	0.8551235	12	12	0.0143596278205	0	screen
PD-SC5-01	IndividualCell_Intensity_MeanIntensity_SNCA	872.347	684.573	12	12	23.950640946	0	screen
PD-SC5-01	Cell_Neurites_LengthPerNuclei_MAP2	196.133	171.6285	12	12	13.07722208	0	screen
PD-SC5-01	Cell_Neurites_LengthPerNuclei_TH	211.202	218.8	12	12	16.247655704	0	screen
PD-SC5-01	Cell_Intensity_MeanIntensity_TH	376.8035	346.0475	12	12	14.4824810037	0	screen
PD-SC5-01	Nuclei_Number_Living	3009	4158	12	12	279.97796856	0	screen
PD-SC5-01	Nuclei_Ratio_Living	0.8584005	0.865433	12	12	0.0143645818199	0	screen
PD-SC5-02	IndividualCell_Intensity_MeanIntensity_SNCA	839.6355	673.013	12	12	22.985527323	0	screen
PD-SC5-02	Cell_Neurites_LengthPerNuclei_MAP2	181.329	164.6115	12	12	10.0205404173	0	screen
PD-SC5-02	Cell_Neurites_LengthPerNuclei_TH	201.677	207.964	12	12	18.4236636026	0	screen
PD-SC5-02	Cell_Intensity_MeanIntensity_TH	375.2025	349.891	12	12	12.0381823354	0	screen
PD-SC5-02	Nuclei_Number_Living	3365.5	4195.5	12	12	390.170960975	0	screen
PD-SC5-02	Nuclei_Ratio_Living	0.8551585	0.8498915	12	12	0.0152165550296	0	screen
PD-SC5-03	IndividualCell_Intensity_MeanIntensity_SNCA	842.711	672.3545	12	12	38.2827883408	0	screen
PD-SC5-03	Cell_Neurites_LengthPerNuclei_MAP2	200.408	170.901	12	12	13.5402561832	0	screen
PD-SC5-03	Cell_Neurites_LengthPerNuclei_TH	204.5145	200.8085	12	12	17.7199773009	0	screen
PD-SC5-03	Cell_Intensity_MeanIntensity_TH	407.585	370.1755	12	12	12.9563901057	0	screen
PD-SC5-03	Nuclei_Number_Living	2936	4131.5	12	12	374.706769193	0	screen
PD-SC5-03	Nuclei_Ratio_Living	0.844078	0.8524595	12	12	0.0159179891312	0	screen
PD-SC5-04	IndividualCell_Intensity_MeanIntensity_SNCA	790.286	664.4245	12	12	32.9483698546	0	screen
PD-SC5-04	Cell_Neurites_LengthPerNuclei_MAP2	196.7955	179.227	12	12	11.3504198519	0	screen
PD-SC5-04	Cell_Neurites_LengthPerNuclei_TH	236.512	198.0865	12	12	13.117467104	0	screen
PD-SC5-04	Cell_Intensity_MeanIntensity_TH	481.865	425.1475	12	12	25.2735696211	0	screen
PD-SC5-04	Nuclei_Number_Living	3002	3725.5	12	12	372.582337859	0	screen
PD-SC5-04	Nuclei_Ratio_Living	0.845375	0.851178	12	12	0.015798526358	0	screen
PD-SCD-01	IndividualCell_Intensity_MeanIntensity_SNCA	0.730138	0	11	12	1.21800446657	0	followup
PD-SCD-01	Cell_Neurites_LengthPerNuclei_MAP2	-1.1110613	0	11	12	1.1772254894	0	followup
PD-SCD-01	Cell_Neurites_LengthPerNuclei_TH	6.0798364	0	11	12	1.74098481784	0	followup
PD-SCD-01	Cell_Intensity_MeanIntensity_TH	-2.0269284	8.95000000001e-07	11	12	1.16407249808	0	followup
PD-SCD-01	Nuclei_Number_Living	1062	888	11	12	60.042132874	0	followup
PD-SCD-01	Nuclei_Ratio_Living	-1.6723627	6.75000000006e-07	11	12	1.1408542408	0	followup
PD-SCD-02	IndividualCell_Intensity_MeanIntensity_SNCA	3.00294525	0	12	12	1.4219963633	0	followup
PD-SCD-02	Cell_Neurites_LengthPerNuclei_MAP2	-2.5925893	0	12	12	1.78274315136	0	followup
PD-SCD-02	Cell_Neurites_LengthPerNuclei_TH	6.5111172	0	12	12	1.74185080729	0	followup
PD-SCD-02	Cell_Intensity_MeanIntensity_TH	-0.903666635	9.80000000012e-07	12	12	1.39725506141	0	followup
PD-SCD-02	Nuclei_Number_Living	991	886.5	12	12	81.584822935	0	followup
PD-SCD-02	Nuclei_Ratio_Living	-1.3400849	0	12	12	1.11008274869	0	followup
PD-SCD-03	IndividualCell_Intensity_MeanIntensity_SNCA	2.090943	-1.80499999999e-06	12	12	2.06879116307	0	followup
PD-SCD-03	Cell_Neurites_LengthPerNuclei_MAP2	-1.5331908	0	12	12	1.20246631843	0	followup
PD-SCD-03	Cell_Neurites_LengthPerNuclei_TH	6.5429405	-9.47500000001e-07	12	12	2.10395805336	0	followup
PD-SCD-03	Cell_Intensity_MeanIntensity_TH	-0.93759432	0	12	12	1.65933056195	0	followup
PD-SCD-03	Nuclei_Number_Living	913	827.5	12	12	85.326534116	0	followup
PD-SCD-03	Nuclei_Ratio_Living	-0.05823117	0	12	12	1.56293339244	0	followup
PD-SCD-04	IndividualCell_Intensity_MeanIntensity_SNCA	1.75103865	0	12	12	1.46310889386	0	followup
PD-SCD-04	Cell_Neurites_LengthPerNuclei_MAP2	-1.47465345	0	12	12	1.38061211068	0	followup
PD-SCD-04	Cell_Neurites_LengthPerNuclei_TH	3.88747455	0	12	12	1.74887279233	0	followup
PD-SCD-04	Cell_Intensity_MeanIntensity_TH	-0.0359050645	9.5e-07	12	12	2.92803592967	0	followup
PD-SCD-04	Nuclei_Number_Living	917.5	810.5	12	12	101.284253465	0	followup
PD-SCD-04	Nuclei_Ratio_Living	-1.511263	-1.1435e-06	12	12	1.52943899273	0	followup
