assay	sheet	condition	n_entries	vector_sha256	matching_sheet_count
ROS	Lonafarnib	SNCA Trpl.	74	b44d5260bd5a96cdef2235cc61ce72a89ca53953ea7f8109079034093676bb5d	20
ROS	Lonafarnib	SNCA Trpl.+ Pyocyanin	75	2d2b7ac64ee2deb4c5441cb93babe4bbe2fc467e750f30fb30510f42236d21e4	20
ROS	Lonafarnib	SNCA Trpl. + NAC	75	09e7868f76b174cd6c6404a5aaf34244e159a5ac80d07c2c25dbb75c0010bd1a	20
ROS	Lonafarnib	GC	75	6707bfc950c15b18ca5e7bf1fae3d34742844b9013f698b17f1cbc604539a96e	20
ROS	Lonafarnib	GC+ Pyocyanin	75	cf3312096e08f61f0db5cbef8aa9ed06e04d32a3c563fae3d80a1dd2fadea396	20
JC1	Chloroquine	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Chloroquine	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Chloroquine	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	FCCP	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	FCCP	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	FCCP	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Entinostat	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Entinostat	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Entinostat	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	PIK-III	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	PIK-III	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	PIK-III	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Sertraline	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	Sertraline	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	Sertraline	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	SLK2001	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	SLK2001	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	SLK2001	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	TIC10	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	TIC10	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	TIC10	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	Tyrphostatin 9	SNCA Trpl.	117	2361a4b7fbf2a706bb5c1b3cbc23defb85e53a123fe629e1deae3896fc308111	3
JC1	Tyrphostatin 9	GC	108	3a6abede32eb286c0ba350326b104d7ccb32d92a30fae98fbff842c261cde204	3
JC1	Tyrphostatin 9	GC+Val	53	4373d60fb996908326a67bb67eeaec4351919311caa15b1890ff95ed35ef799c	3
JC1	VPS34 inhibitor 1	SNCA Trpl.	114	5d3dd99840f71eb76b5a187235f3b7844508be399f35e383cf3061eac0e4c000	16
JC1	VPS34 inhibitor 1	GC	105	fcad352f728df33fad67ef1dcf0cdbc07a63dff07c44fdb541d91c9b925c4091	17
JC1	VPS34 inhibitor 1	GC+Val	50	6b91ac4aa3758c95ec47c5ecec21b33501bc72c793147650b36c0380c1b3e62d	17
JC1	WAY-600	SNCA Trpl.	117	2361a4b7fbf2a706bb5c1b3cbc23defb85e53a123fe629e1deae3896fc308111	3
