assay	sheet	condition	kind	dose_M	include_flagged	n_values	median	mutant_control_median	corrected_control_median	ratio_to_mutant	control_gap_fraction
ROS	STF-62247	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	STF-62247	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Sertraline	0.5μM	treatment	5e-07	False	14	0.9199505	0.9541365	0.733853	0.964170744962	0.155190924422
ROS	Sertraline	1μM	treatment	1e-06	False	14	0.966754	0.9541365	0.733853	1.01322399887	-0.0572784616188
ROS	Sertraline	2.5μM	treatment	2.5e-06	False	13	0.672861	0.9541365	0.733853	0.705204129598	1.27687956656
ROS	Sertraline	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Sertraline	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Sertraline	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Simvastatin	0.5μM	treatment	5e-07	False	14	0.973574	0.9541365	0.733853	1.02037182311	-0.0882385653033
ROS	Simvastatin	1μM	treatment	1e-06	False	14	0.9381505	0.9541365	0.733853	0.983245583834	0.0725701198683
ROS	Simvastatin	2.5μM	treatment	2.5e-06	False	14	0.883053	0.9541365	0.733853	0.925499653351	0.322690986842
ROS	Simvastatin	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Simvastatin	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Simvastatin	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	TIC10	0.5μM	treatment	5e-07	False	14	0.83248	0.9541365	0.733853	0.872495706851	0.552272412596
ROS	TIC10	1μM	treatment	1e-06	False	14	0.909457	0.9541365	0.733853	0.95317284267	0.202827265773
ROS	TIC10	2.5μM	treatment	2.5e-06	False	10	0.9300245	0.9541365	0.733853	0.974728982698	0.10945894722
ROS	TIC10	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	TIC10	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	TIC10	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Tinostamustine	0.5μM	treatment	5e-07	False	14	0.9686595	0.9541365	0.733853	1.01522109258	-0.0659286782714
ROS	Tinostamustine	1μM	treatment	1e-06	False	14	0.92977	0.9541365	0.733853	0.974462249374	0.110614276603
ROS	Tinostamustine	2.5μM	treatment	2.5e-06	False	14	0.652843	0.9541365	0.733853	0.684223902974	1.36775337236
ROS	Tinostamustine	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Tinostamustine	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Tinostamustine	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Trifluoperazine	0.5μM	treatment	5e-07	False	14	1.3137055	0.9541365	0.733853	1.37685278783	-1.6323011029
ROS	Trifluoperazine	1μM	treatment	1e-06	False	14	1.2282665	0.9541365	0.733853	1.28730690001	-1.24444182156
ROS	Trifluoperazine	2.5μM	treatment	2.5e-06	False	14	0.761361	0.9541365	0.733853	0.797958153786	0.875124555402
ROS	Trifluoperazine	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Trifluoperazine	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Trifluoperazine	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Tyrphostatin 9	0.5μM	treatment	5e-07	False	13	0.844708	0.9541365	0.733853	0.88531148321	0.496762126986
ROS	Tyrphostatin 9	1μM	treatment	1e-06	False	13	0.624336	0.9541365	0.733853	0.654346626505	1.497163882
ROS	Tyrphostatin 9	2.5μM	treatment	2.5e-06	False	13	0.516082	0.9541365	0.733853	0.540889065663	1.98859424333
ROS	Tyrphostatin 9	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Tyrphostatin 9	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Tyrphostatin 9	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	UNC2025	0.5μM	treatment	5e-07	False	14	0.970293	0.9541365	0.733853	1.01693311177	-0.0733441224604
ROS	UNC2025	1μM	treatment	1e-06	False	14	0.8625905	0.9541365	0.733853	0.904053560471	0.415582646907
ROS	UNC2025	2.5μM	treatment	2.5e-06	False	11	0.8836475	0.9541365	0.733853	0.926122729819	0.31999219188
ROS	UNC2025	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	UNC2025	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	UNC2025	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	VPS34 inhibitor 1	0.5μM	treatment	5e-07	False	14	1.113164	0.9541365	0.733853	1.16667164499	-0.721921977815
ROS	VPS34 inhibitor 1	1μM	treatment	1e-06	False	14	0.902044	0.9541365	0.733853	0.945403514067	0.236479355013
ROS	VPS34 inhibitor 1	2.5μM	treatment	2.5e-06	False	14	0.845286	0.9541365	0.733853	0.885917266555	0.494138235501
ROS	VPS34 inhibitor 1	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	VPS34 inhibitor 1	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	VPS34 inhibitor 1	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	Vorinostat	0.5μM	treatment	5e-07	False	14	1.0210875	0.9541365	0.733853	1.07016920535	-0.303931070643
ROS	Vorinostat	1μM	treatment	1e-06	False	14	0.929442	0.9541365	0.733853	0.974118483047	0.112103266926
ROS	Vorinostat	2.5μM	treatment	2.5e-06	False	13	0.852204	0.9541365	0.733853	0.893167801462	0.462733250561
ROS	Vorinostat	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	Vorinostat	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	Vorinostat	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
ROS	WAY-600	0.5μM	treatment	5e-07	False	14	0.9427285	0.9541365	0.733853	0.988043639458	0.0517878097996
ROS	WAY-600	1μM	treatment	1e-06	False	14	0.7572085	0.9541365	0.733853	0.793606051126	0.893975263694
ROS	WAY-600	2.5μM	treatment	2.5e-06	False	14	0.6034905	0.9541365	0.733853	0.632499123553	1.59179421064
ROS	WAY-600	GC	control	NA	False	75	0.733853	0.9541365	0.733853	0.769127897319	1
ROS	WAY-600	SNCA Trpl.	control	NA	False	74	0.9541365	0.9541365	0.733853	1	-0
ROS	WAY-600	SNCA Trpl. + NAC	control	NA	False	75	0.516065	0.9541365	0.733853	0.540871248506	1.98867141661
JC1	Bimiralisib	0.5μΜ	treatment	5e-07	True	10	0.965435	0.9924495	1.170659	0.972779975203	-0.151588439449
JC1	Bimiralisib	100nM	treatment	1e-07	True	4	1.1621705	0.9924495	1.170659	1.17101222783	0.952367859177
JC1	Bimiralisib	10nM	treatment	1e-08	True	4	0.9070185	0.9924495	1.170659	0.913919045755	-0.47938521796
JC1	Bimiralisib	10μM	treatment	1e-05	True	10	0.5739455	0.9924495	1.170659	0.578312045097	-2.34838210084
JC1	Bimiralisib	1μM	treatment	1e-06	True	24	0.805556	0.9924495	1.170659	0.811684624759	-1.04872916427
JC1	Bimiralisib	2.5μΜ	treatment	2.5e-06	True	10	0.816104	0.9924495	1.170659	0.82231287335	-0.989540400484
JC1	Bimiralisib	5μM	treatment	5e-06	True	10	0.643825	0.9924495	1.170659	0.648723184404	-1.95626215213
JC1	Bimiralisib	GC	control	NA	True	105	1.170659	0.9924495	1.170659	1.17956530786	1
JC1	Bimiralisib	GC+Val	control	NA	True	50	0.146815	0.9924495	1.170659	0.147931960266	-4.745170712
JC1	Bimiralisib	SNCA Trpl.	control	NA	True	114	0.9924495	0.9924495	1.170659	1	0
JC1	Chloroquine	0.5μΜ	treatment	5e-07	True	10	1.0767595	0.9924495	1.170659	1.08495142574	0.47309486868
JC1	Chloroquine	100nM	treatment	1e-07	True	4	1.05037	0.9924495	1.170659	1.05836115591	0.325013537438
JC1	Chloroquine	10nM	treatment	1e-08	True	4	1.055366	0.9924495	1.170659	1.06339516519	0.3530479576
JC1	Chloroquine	10μM	treatment	1e-05	True	15	0.446353	0.9924495	1.170659	0.44974882853	-3.06435122707
JC1	Chloroquine	1μM	treatment	1e-06	True	29	1.023418	0.9924495	1.170659	1.03120410661	0.173775808809
JC1	Chloroquine	2.5μΜ	treatment	2.5e-06	True	10	1.0328685	0.9924495	1.170659	1.04072650548	0.226806090584
JC1	Chloroquine	5μM	treatment	5e-06	True	15	0.940786	0.9924495	1.170659	0.947943446997	-0.289903175757
JC1	Chloroquine	GC	control	NA	True	105	1.170659	0.9924495	1.170659	1.17956530786	1
JC1	Chloroquine	GC+Val	control	NA	True	50	0.146815	0.9924495	1.170659	0.147931960266	-4.745170712
JC1	Chloroquine	SNCA Trpl.	control	NA	True	114	0.9924495	0.9924495	1.170659	1	0
JC1	Duloxetine	0.5μΜ	treatment	5e-07	True	10	1.0844835	0.9942915	1.170659	1.09070981699	0.511386735084
JC1	Duloxetine	100nM	treatment	1e-07	True	5	1.045404	0.9942915	1.170659	1.05140595087	0.28980679547
JC1	Duloxetine	10nM	treatment	1e-08	True	9	1.045404	0.9942915	1.170659	1.05140595087	0.28980679547
JC1	Duloxetine	10μM	treatment	1e-05	True	10	0.2185215	0.9942915	1.170659	0.21977609182	-4.39859951522
JC1	Duloxetine	1μM	treatment	1e-06	True	24	0.917123	0.9942915	1.170659	0.922388454492	-0.437543765149
JC1	Duloxetine	2.5μΜ	treatment	2.5e-06	True	10	0.727704	0.9942915	1.170659	0.731881948101	-1.51154549449
JC1	Duloxetine	5μM	treatment	5e-06	True	10	0.650364	0.9942915	1.170659	0.654097917965	-1.95006166102
JC1	Duloxetine	GC	control	NA	True	105	1.170659	0.9942915	1.170659	1.17738007415	1
JC1	Duloxetine	GC+Val	control	NA	True	50	0.146815	0.9942915	1.170659	0.147657905152	-4.80517385573
JC1	Duloxetine	SNCA Trpl.	control	NA	True	114	0.9942915	0.9942915	1.170659	1	0
JC1	Entinostat	0.5μΜ	treatment	5e-07	True	10	0.9782695	0.9924495	1.170659	0.985712119357	-0.0795692709985
JC1	Entinostat	100nM	treatment	1e-07	True	4	0.9529185	0.9924495	1.170659	0.960168250374	-0.221823191244
JC1	Entinostat	10nM	treatment	1e-08	True	4	1.014525	0.9924495	1.170659	1.02224344916	0.123873867555
JC1	Entinostat	10μM	treatment	1e-05	True	10	0.9140855	0.9924495	1.170659	0.921039811094	-0.439729644043
JC1	Entinostat	1μM	treatment	1e-06	True	24	0.951597	0.9924495	1.170659	0.958836696477	-0.229238620837
JC1	Entinostat	2.5μΜ	treatment	2.5e-06	True	10	1.011508	0.9924495	1.170659	1.019203496	0.106944354818
