probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	mean_expression	contrast
ILMN_3244704	-0.604317371336972	0.931911726195442	-0.520214130033469	0.615510958594454	0.982174269056103	-5.87642844182055	DYTN	0.931911726195441	exposure_corrected
ILMN_1731025	0.285405105792314	3.17422231316774	0.194959924367638	0.849769451504936	1	-5.99598922191851	DYX1C1	3.17422231316774	exposure_corrected
ILMN_1664242	-2.21584727810068	4.62880478077593	-1.84690650596391	0.0979480535801786	0.918143498815468	-4.51866135166506	DZANK1	4.62880478077593	exposure_corrected
ILMN_1685431	-0.319285814465203	6.46940446511521	-0.959603446724317	0.362409395376168	0.937972900466109	-5.55844865531136	DZIP1	6.46940446511521	exposure_corrected
ILMN_2078466	-0.536616890828797	5.98700053065537	-1.64471030478873	0.134559428747876	0.918143498815468	-4.78888890707255	DZIP1L	5.98700053065537	exposure_corrected
ILMN_1763200	-0.422235658997767	5.57579180288048	-1.14024878202412	0.283717926068157	0.930593877969099	-5.38305273075419	DZIP3	5.57579180288048	exposure_corrected
ILMN_2051469	-0.343179416563101	6.23722085516594	-0.659950138722889	0.525869809505353	0.966212979806939	-5.79358262997838	E2F1	6.23722085516594	exposure_corrected
ILMN_1777233	0.0706260980051574	7.44647528522226	0.261885685312247	0.799325226507192	1	-5.98008862379308	E2F2	7.44647528522226	exposure_corrected
ILMN_1669502	-0.173693709668337	8.50534260463505	-0.666597106479126	0.521807042973032	0.965523939118283	-5.78919650623608	E2F3	8.50534260463506	exposure_corrected
ILMN_1761828	-0.124734931408777	8.84544083408194	-0.379837515386606	0.712904657300901	0.998149310181676	-5.94096806974581	E2F4	8.84544083408194	exposure_corrected
ILMN_1782551	-0.458036430079332	9.22946774091933	-1.74039945080083	0.115897242861669	0.918143498815468	-4.66278070853979	E2F5	9.22946774091933	exposure_corrected
ILMN_1656196	-0.109719542555676	10.0444272881496	-0.486601135581847	0.638211373148161	0.986381341462003	-5.89362336996405	E2F6	10.0444272881496	exposure_corrected
