gene	logFC_20141	P.Value_20141	adj.P.Val_20141	logFC_7621	P.Value_7621	adj.P.Val_7621	z_20141	z_7621	meta_z	meta_p	meta_FDR
FYN	0.44272236408984	0.516889190420269	0.793454219762091	0.0703673549047194	0.586175926121138	0.876482208773022	0.648148062566226	0.544385929676781	0.843248872710496	0.399089270371363	0.688699658169845
FYTTD1	-0.264039230246646	0.659965972913564	0.868040834372218	-0.161010079846137	0.251537829649537	0.682628305545056	-0.439960145596718	-1.14662212167017	-1.12188308009474	0.261912155632327	0.576617106556202
FZD1	1.44744556756008	0.0360252015197267	0.369204475589039	0.159016351339587	0.393305671390078	0.781437211715065	2.09664286760151	0.853637865268132	2.08616351261614	0.0369638141337583	0.283026317645669
FZD10	0.709870890880392	0.38321126680558	0.708599649784307	-0.0137582556229036	0.953569480386364	0.988552406376373	0.871994703852869	-0.0582249083432066	0.575422140729672	0.565005833688319	0.798821219483465
FZD10-AS1	0.681532645022982	0.312416862314422	0.659546709330446	-6.07089907625843e-05	0.999898023811879	0.999971069239218	1.01016371081847	-0.00012780819858944	0.714203235984391	0.475101516183926	0.742705489781323
FZD2	1.88678192323416	0.008244389776572	0.307953075471488	0.818576674609767	0.0150310665421938	0.27655080496943	2.64189381901791	2.43162967926543	3.58752287014544	0.000333834459543286	0.0764183313324479
FZD3	0.921985520579348	0.206471975506697	0.573035337614659	0.104880067633902	0.479282549927919	0.824959490178186	1.26332619639871	0.707456960798029	1.39355413470205	0.16345228689252	0.475339638961943
FZD4	-0.0496515376269715	0.952646828926874	0.984017818544603	-0.177129296862834	0.407612518920056	0.788897346012015	-0.0593832815771646	-0.828102385046984	-0.627547133075799	0.530300650552246	0.778903017179557
FZD5	-0.0146190121560175	0.985939254163601	0.994961357341528	0.172105439900505	0.436554645711038	0.804994665716574	-0.0176234437606018	0.778024371435444	0.537684652379422	0.590794776694508	0.814138769872042
FZD6	0.135581140702336	0.8951157603923	0.963956247671924	-0.269151392035106	0.284205397601655	0.706302037347516	0.131833788552496	-1.07092001033161	-0.664034235538869	0.506668399543971	0.764205894329965
FZD7	0.743820958803405	0.395235534852974	0.716521698470555	0.868557419426932	0.0308711823732752	0.344469212558426	0.850161083440388	2.15872919557646	2.12760672013909	0.0333697045904861	0.273472203044861
FZD9	1.45479352753244	0.0575708860887089	0.40767221019478	1.89556943314054	0.000461269020591026	0.0898964564184111	1.89895124925703	3.5022947527792	3.81925767489655	0.000133853882033108	0.0695906332690127
FZR1	0.549989091923481	0.470596602764074	0.764439135944159	-0.207980131278058	0.124328860243952	0.539367169458488	0.721508679011743	-1.5368548411039	-0.576536800229787	0.564252403251483	0.798516024363241
G0S2	1.17673509758763	0.0923174430107382	0.450375781775301	0.133750119785209	0.596928413588661	0.880843205065621	1.68329786764039	0.528822751232902	1.56420549040789	0.117769318251445	0.420652381631845
G2E3	0.213381460151459	0.728824781173162	0.897917953966289	-0.0235939104150766	0.854036613828581	0.965643260622777	0.346689257996054	-0.183970479171279	0.115059551933392	0.908397919797987	0.966917492381173
G3BP1	1.71297235302593	0.0138784317675167	0.317321241170578	0.391436082651758	0.00701183113518708	0.218431829142018	2.46039463228052	2.69628183911141	3.64632090130636	0.000266021735394856	0.074193216261576
