probe	gene	AveExpr
A_23_P39402	ALKBH6	7.82199082470833
A_24_P91472	ALKBH7	11.8163991695833
A_23_P371876	ALKBH8	5.63780518079167
A_23_P108734	ALLC	4.22225218354167
A_33_P3332724	ALMS1	7.14469147895833
A_23_P435657	ALMS1P	4.803314932125
A_23_P83634	ALOX12B	4.929373469
A_32_P440768	ALOX12P2	4.086229209125
A_33_P3361348	ALOX15	4.603747415625
A_23_P60627	ALOX15B	5.4428231655
A_23_P104464	ALOX5	3.91216958116667
A_24_P347378	ALOX5AP	5.07013976504167
A_24_P347880	ALOXE3	5.062883194375
A_23_P337658	ALPI	4.60324636470833
A_23_P144531	ALPK1	10.3768700089583
A_23_P15876	ALPK2	3.93676791454167
A_33_P3210099	ALPK3	6.65871121491667
A_24_P353619	ALPL	6.53325481229167
A_23_P79587	ALPP	6.03289966666667
A_24_P131580	ALPPL2	7.46134080504167
A_23_P209430	ALS2	5.97119350170833
A_32_P420009	ALS2CL	6.05807558383333
A_23_P328642	ALS2CR11	5.41655634058333
A_23_P349343	ALS2CR12	3.79235180991667
A_33_P3323218	ALS2CR8	6.98931691658333
A_23_P83798	ALX1	7.34978321816667
A_23_P85941	ALX3	4.78722261520833
A_33_P3273068	ALX4	4.02716232141667
A_33_P3259736	AMACR	5.93567179966667
A_23_P44867	AMBN	4.05554074283333
A_23_P256504	AMBP	5.67849258004167
A_23_P353742	AMBRA1	8.36729183854167
A_33_P3395369	AMD1	9.938822415875
A_32_P122226	AMDHD1	3.802278540875
A_33_P3491294	AMDHD2	8.14615903279167
A_23_P96478	AMELX	4.21571547433333
A_24_P182254	AMELY	3.76553978895833
A_23_P141005	AMFR	9.17830687045833
A_23_P78944	AMH	7.880660654625
A_24_P115990	AMHR2	3.62748287291667
A_24_P192914	AMICA1	4.07852803366667
A_33_P3369461	AMIGO1	8.55300478525
A_23_P14083	AMIGO2	4.23681318354167
A_33_P3295538	AMIGO3	6.49484614008333
A_33_P3234347	AMMECR1	6.3845144735
A_23_P40039	AMMECR1L	10.7060037625
A_23_P48455	AMN	7.63349563095833
A_24_P100830	AMN1	7.245882153
A_24_P344961	AMOT	5.46943351266667
A_24_P401768	AMOTL1	6.76935500804167
A_23_P166686	AMOTL2	11.4763758629167
A_23_P51787	AMPD1	4.03657702375
A_23_P201596	AMPD2	9.294257720875
A_33_P3216938	AMPD3	4.64300457833333
A_23_P31273	AMPH	8.29830778445833
A_23_P257164	AMT	7.572570284125
A_33_P3212860	AMTN	4.055198497
A_23_P23611	AMY1C	8.144363112375
A_33_P3380837	AMZ1	10.290909620625
A_21_P0011603	AMZ2	11.42259592
A_21_P0011604	AMZ2P1	7.79938841325
A_33_P3262138	ANAPC1	6.28341767058333
A_23_P250994	ANAPC10	8.53241419983333
A_23_P27147	ANAPC11	14.578758665
A_32_P16854	ANAPC13	10.1122196000417
A_33_P3216955	ANAPC16	7.16394307466667
A_23_P253068	ANAPC2	6.81478592179167
A_23_P317800	ANAPC4	10.1304805835833
A_23_P204448	ANAPC5	12.5231688733333
A_23_P44643	ANAPC7	8.00815588845833
A_33_P3236177	ANG	5.10310421108333
A_23_P363406	ANGEL1	5.75884132345833
A_24_P28619	ANGEL2	7.441210069
A_23_P60079	ANGPT2	7.62790054404167
A_23_P68511	ANGPT4	4.683491394375
A_24_P199484	ANGPTL1	4.071485445
A_33_P3844650	ANGPTL2	7.74616124866667
A_33_P3295358	ANGPTL4	6.47306666229167
A_23_P50276	ANGPTL6	4.92068335620833
A_23_P114862	ANGPTL7	3.536681671375
A_33_P3376321	ANK1	8.723017229875
A_23_P133068	ANK2	8.28618966670833
A_24_P162173	ANK3	8.00230147333333
A_23_P370544	ANKAR	5.41694473829167
A_24_P82155	ANKDD1A	5.97533740604167
A_33_P3311235	ANKDD1B	4.42784102058333
A_23_P350698	ANKFN1	6.41266476091667
A_33_P3300142	ANKFY1	6.4749450565
A_24_P371628	ANKH	6.18398627758333
A_23_P92642	ANKHD1	6.93418330233333
A_23_P58443	ANKHD1-EIF4EBP3	8.80165160420833
A_23_P355623	ANKIB1	8.24702491379167
A_33_P3336053	ANKK1	4.753618905125
A_33_P3252099	ANKLE1	5.552218007125
A_23_P10858	ANKLE2	7.619298146125
A_33_P3629247	ANKMY1	6.80781436383333
A_23_P20002	ANKMY2	8.64437312870833
