probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	contrast
A_33_P3216913	0.0332611543333341	4.478555066125	0.136875157910247	0.892635248072062	0.97735771155259	-5.80324236189917	ABHD15	D15_100nM_24h
A_33_P3216933	0.257756817666666	7.079857062375	3.05448003324718	0.00677335508876026	0.344517470196488	-2.26234976864061	SIK2	D15_100nM_24h
A_33_P3216938	-0.481338662666666	4.64300457833333	-2.15453015683314	0.0448637286899718	0.515044992099917	-3.84386170356219	AMPD3	D15_100nM_24h
A_33_P3216955	-0.485468520333334	7.16394307466667	-2.86905055421602	0.0101389179255161	0.386314577086733	-2.60428119329869	ANAPC16	D15_100nM_24h
A_33_P3216994	-0.0228569706666661	7.243147917625	-0.259454701535657	0.798202329950032	0.954004367137195	-5.77992075348902	HERC4	D15_100nM_24h
A_33_P3217009	0.220061797666669	6.07441453579167	1.32256483434335	0.202392173343067	0.673616154891506	-5.01183342346768	LOC154860	D15_100nM_24h
A_33_P3217028	-0.0655227896666659	8.39826857883333	-0.856382667340876	0.402943309057583	0.805929603146589	-5.46683150487011	TM9SF1	D15_100nM_24h
A_33_P3217119	-0.0712017659999962	8.39958510966667	-0.622144226197112	0.541578856311399	0.865734407898869	-5.62809523351681	OSCP1	D15_100nM_24h
A_33_P3217147	0.216104665666665	7.483288746625	1.80077542591159	0.0883666247245227	0.571467135460483	-4.38705066869416	GPATCH3	D15_100nM_24h
A_33_P3217198	0.0562516729999993	3.82347064970833	0.2112941667768	0.835010335031206	0.963959380224549	-5.79079572182144	CHODL-AS1	D15_100nM_24h
A_33_P3217218	-0.0285867326666676	10.2077169580417	-0.309817485671017	0.76022613275986	0.941378595937633	-5.76618944639837	AGPAT5	D15_100nM_24h
A_33_P3217238	-0.156012154666668	5.80834227183333	-0.655160006550545	0.520576673477992	0.856774497554001	-5.60828399250577	ATAD2	D15_100nM_24h
A_33_P3217307	-0.187109234333335	7.29812620458333	-1.30211934719431	0.209146800122476	0.67994192379217	-5.03522913410635	ZBTB8OS	D15_100nM_24h
A_33_P3217332	-0.115980480999999	7.92234183975	-1.02576076539465	0.318472150347044	0.758659539330925	-5.32121312848636	ZNF93	D15_100nM_24h
A_33_P3217347	-0.0570280166666652	12.4893871954167	-0.83842214102754	0.412691766231082	0.810862873497402	-5.48087568478241	PJA1	D15_100nM_24h
A_33_P3217356	-0.0399614179999999	4.54057200295833	-0.246416834702751	0.808122922815853	0.95730988204903	-5.78308292733767	LOC388630	D15_100nM_24h
A_33_P3217364	-0.373212309	4.26546248141667	-1.79826045549101	0.0887775836834453	0.571790331651456	-4.39069095144712	FAM75A3	D15_100nM_24h
A_33_P3217465	-0.0845059166666715	10.513906055	-1.3014051767653	0.209385906519147	0.680176280902	-5.03604100952581	MID1IP1	D15_100nM_24h
A_33_P3217495	0.267819713	5.524688023375	2.21247696108627	0.0399745523918378	0.500615402802025	-3.74956535747401	SLC5A2	D15_100nM_24h
A_33_P3217517	-0.0317946810000009	7.644950824625	-0.366432384371979	0.718276067860393	0.929984013079582	-5.74788932816714	C5ORF55	D15_100nM_24h
A_33_P3217559	0.342942150000001	9.67881287470833	2.40746282141235	0.0269038180586852	0.45439955096688	-3.42297443706151	DLK1	D15_100nM_24h
A_33_P3217584	-0.110228301999997	7.830294921625	-0.939624871198972	0.359738764325365	0.782504807248868	-5.39821014329777	CHRNA4	D15_100nM_24h
A_33_P3217594	0.195775596	4.6448928685	0.658951787430851	0.518194040701451	0.855650250022327	-5.60594638929838	ZNF818P	D15_100nM_24h
A_33_P3217639	-0.000370661000000716	3.97775498841667	-0.000874976215854757	0.999311408454689	0.999719632365227	-5.81225369693686	ARMS2	D15_100nM_24h
A_33_P3217649	0.0132350546666693	7.93246608645833	0.171637504880034	0.865620292533268	0.971519146845511	-5.79808821319133	C9ORF116	D15_100nM_24h
A_33_P3217689	-0.0308521563333306	8.06749513616667	-0.358890602366925	0.723814856762233	0.931171626854045	-5.7505014725128	JMY	D15_100nM_24h
A_33_P3217704	-0.112810299	6.53483672054167	-1.51667858324945	0.146559336902089	0.631807510650005	-4.775476938815	KIAA1539	D15_100nM_24h
A_33_P3217786	-0.0957831383333341	4.844617955625	-0.499618984360762	0.623341510184425	0.898354107302982	-5.69300613747489	AQP7P1	D15_100nM_24h
A_33_P3217819	0.288278616666667	4.23296322270833	1.38637247379489	0.18241684029702	0.656716952259386	-4.936941628298	CCNE2	D15_100nM_24h
A_33_P3217834	-0.00663699000000051	11.2987254845833	-0.0878274174109241	0.930974918018128	0.986877437110298	-5.80854246614238	SMARCAL1	D15_100nM_24h
A_33_P3217845	0.334304992	3.84305432041667	0.898352625505618	0.380752294257197	0.793889165816501	-5.43295456236315	TMPRSS11A	D15_100nM_24h
A_33_P3217983	-0.142861850666668	4.75226346125	-0.584349731275235	0.56617294119546	0.877617592793576	-5.64957199363818	ACSL5	D15_100nM_24h
A_33_P3217998	0.0993170980000011	7.8660731475	1.49767205076798	0.151395643901371	0.634101626245501	-4.79971980014449	AKR7L	D15_100nM_24h
A_33_P3218089	-0.800370886333333	4.36567453491667	-1.64244784395357	0.117696696552625	0.602477587570911	-4.60937752239496	CLDN24	D15_100nM_24h
A_33_P3218135	0.187276152666667	4.159789311125	0.790958148460289	0.439175044579424	0.823104779866284	-5.51666873866921	LOC100128554	D15_100nM_24h
A_33_P3218138	-0.00839869666666893	12.4145617283333	-0.133701304245782	0.895109028103428	0.977926954489262	-5.80365522133789	POLR2A	D15_100nM_24h
A_33_P3218178	-0.486043705	5.32183266604167	-2.33616754094416	0.0311359999947235	0.47287515286798	-3.54396302826308	MCART6	D15_100nM_24h
A_33_P3218188	0.00857952933333017	9.277545823	0.128011692496919	0.899546405369922	0.978940299001426	-5.80437114007427	SPSB2	D15_100nM_24h
A_33_P3218252	0.0963252213333323	8.33924691475	0.645405095818365	0.52673437282961	0.858565043795447	-5.61423890699324	SMG1	D15_100nM_24h
