pathway	meta_z	meta_p	meta_FDR	same_NES_direction	NES_GSE17542_SN_MPTP10_limma	nominal_p_GSE17542_SN_MPTP10_limma	NES_GSE46798_exposure_corrected_limma	nominal_p_GSE46798_exposure_corrected_limma	NES_human_PD_postmortem_meta_limma	nominal_p_human_PD_postmortem_meta_limma
Deadenylation-dependent mRNA decay	-1.098871526392237	0.2718241079458552	0.4931144272648686	True	-1.0369999573420228	0.39093959731543626	-0.893138286940324	0.637400228050171	-0.9331484385131523	0.5659340659340659
Signal transduction by L1	-1.0985397347193602	0.2719688768776677	0.4931144272648686	True	-0.8275297712739706	0.73224043715847	-1.0756059143210968	0.3960526315789474	-0.9691382456570187	0.47653429602888087
Triglyceride catabolism	-1.0984922199668046	0.27198961306209246	0.4931144272648686	True	-1.2479243082341307	0.20071047957371227	-0.5619832897748636	0.9797724399494311	-0.9344609007765566	0.55
Membrane binding and targetting of GAG proteins	-1.0951633888677268	0.27344506191918716	0.49464531312532295	True	-1.269750044300634	0.1836734693877551	-0.5783966314120037	0.9501965923984272	-0.9041964479392071	0.6136363636363636
Synthesis And Processing Of GAG, GAGPOL Polyproteins	-1.0951633888677268	0.27344506191918716	0.49464531312532295	True	-1.269750044300634	0.1836734693877551	-0.5783966314120037	0.9501965923984272	-0.9041964479392071	0.6136363636363636
Signaling by CSF1 (M-CSF) in myeloid cells	-1.09227932018975	0.2747103471140723	0.4961511091082388	False	-1.072790720354838	0.3621621621621622	-1.4612923225367906	0.0343558282208589	1.1560238375480607	0.2562747688243065
DAP12 signaling	-1.0918696667026702	0.27489039213717736	0.4961511091082388	True	-0.7733812728833563	0.8129770992366412	-1.0760595724630457	0.3477157360406091	-0.9869754081765938	0.4742647058823529
Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	-1.0905630702348137	0.2754651868745662	0.4966348970489117	False	-1.0837572492812102	0.3257443082311734	-1.251615607236735	0.17688679245283018	0.8785740207582957	0.6568877551020408
Unwinding of DNA	1.0881843675285017	0.2765137244409138	0.4979707673746824	False	0.8444209407359287	0.6630196936542669	-0.6920026060888083	0.8706536856745479	1.3768621596829111	0.10699001426533523
Diseases of hemostasis	1.085172457964529	0.2778452802150617	0.49981278740909435	False	-0.4757194577336791	0.9965277777777778	0.9364270106314057	0.5648148148148148	1.2417668649795928	0.19079837618403248
Signaling by EGFR in Cancer	-1.0813890847777003	0.2795240749649751	0.5022746696651439	True	-0.9058428149006111	0.6159695817490495	-0.8687277432582539	0.6645885286783042	-1.0674939181091405	0.34831460674157305
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	-1.0769475001095208	0.2815037206880656	0.5047115435149261	False	0.7998765778828767	0.8877551020408163	-1.0245991984887723	0.4319654427645788	-1.118223022433739	0.2222222222222222
Nonsense-Mediated Decay (NMD)	-1.0769475001095208	0.2815037206880656	0.5047115435149261	False	0.7998765778828767	0.8877551020408163	-1.0245991984887723	0.4319654427645788	-1.118223022433739	0.2222222222222222
SUMOylation of immune response proteins	1.0712152494804565	0.2840726563952797	0.50875401626544	False	0.9127421960844786	0.5665137614678899	-0.5660629505466094	0.9652406417112299	1.2564073363360766	0.1849112426035503
Formation of neuronal progenitor and neuronal BAF (npBAF and nBAF)	-1.0690059878508795	0.2850669712812728	0.509970637021415	False	-1.0570970820784211	0.36981132075471695	-1.1608130779176677	0.2740076824583867	0.6938852565040576	0.889344262295082
Gap junction assembly	-1.0672203889630039	0.2858723276904873	0.510206158052175	True	-1.2585292990554582	0.14671814671814673	-0.5095810565098838	0.9951632406287787	-0.8768109961097125	0.6956521739130435
FOXO-mediated transcription of cell death genes	1.0667002473109248	0.2861072154241734	0.510206158052175	False	0.602883351398091	0.9404255319148936	-0.900012032243407	0.5997304582210242	1.6081910213770523	0.02158273381294964
RET signaling	-1.0663484954336842	0.28626613488902575	0.510206158052175	False	-1.3333522565990035	0.08648648648648649	-0.9989733482306051	0.4651442307692308	0.9456142680750943	0.5500650195058517
RHOB GTPase cycle	-1.065873009918343	0.2864810512641863	0.510206158052175	False	0.7176062419051776	0.9471264367816092	-1.3468709553008058	0.0552423900789177	0.52856219513528	0.9964071856287425
Defects in vitamin and cofactor metabolism	-1.0652245921491708	0.2867743074907222	0.510206158052175	True	-0.6051810719905484	0.9616055846422339	-1.3375166045358482	0.1197452229299363	-0.7742707036234562	0.8095238095238095
Interleukin-3, Interleukin-5 and GM-CSF signaling	-1.0632075507707865	0.28768783893684824	0.5112696061896348	False	-1.128654386630077	0.24775583482944344	-1.3260266112515469	0.07790697674418605	1.1283989475089393	0.2813688212927757
Sialic acid metabolism	-1.0600160412104864	0.2891373016133567	0.5132821176666935	True	-1.175547808535879	0.22887323943661972	-0.8747217501458769	0.6634499396863691	-0.7571249898552342	0.8433734939759037
Synthesis of PIPs at the plasma membrane	-1.0587499925528416	0.2897136535662478	0.5133587802814974	False	-1.2016330990949131	0.1869328493647913	-1.0909848804750093	0.3447461629279811	0.8809157572310928	0.6666666666666666
DNA Damage Bypass	-1.0581897317111786	0.28996895166787684	0.5133587802814974	False	0.8766806373070973	0.6950354609929078	-0.9797944103096707	0.5064478311840562	-1.2375029498566819	0.11864406779661017
Chylomicron assembly	1.0578326644363016	0.29013173808373693	0.5133587802814974	False	-1.023729072394976	0.4275491949910555	0.99644277309089	0.42592592592592593	1.4299923529851637	0.0673352435530086
Myogenesis	1.0565418469974548	0.29072073277995725	0.5138393737671951	False	1.08496486877873	0.3273542600896861	-0.6884198086936099	0.8975979772439949	1.1071584369531011	0.3274695534506089
Depolymerization of the Nuclear Lamina	-1.0530395807583592	0.29232285195244445	0.5161076306554062	False	0.641678993242596	0.9311064718162839	-1.4820519861719093	0.046357615894039736	0.6107460798882229	0.9348441926345609
Response of EIF2AK1 (HRI) to heme deficiency	-1.049208499176768	0.2940821677787028	0.5179205584631614	False	-1.6957309462905163	0.0038095238095238095	0.8669577196038087	0.5907335907335908	0.9052449822271347	0.5902578796561605
Assembly Of The HIV Virion	-1.0488493459144073	0.29424746199577345	0.5179205584631614	False	-1.3110060545377222	0.16460176991150444	0.4939192821123343	0.9868995633187773	-0.8751690217617868	0.6575342465753424
Lagging Strand Synthesis	1.0487148075734931	0.2943093970266266	0.5179205584631614	False	1.2388554018129994	0.17995444191343962	-0.8596322556641394	0.6609947643979057	1.0675254796779297	0.3606789250353607
Signaling by SCF-KIT	-1.0467081208983187	0.29523421712301345	0.5189839278199335	False	-0.7687661862902821	0.8568807339449541	-1.3625979171354279	0.07416267942583732	0.7260434224955588	0.8783958602846055
RND3 GTPase cycle	-1.0458587988643173	0.2956262291557832	0.5191093980512071	False	-0.764944440896783	0.8486486486486486	-1.4032057804894562	0.049160671462829736	0.8283693128390351	0.728923476005188
Urea cycle	-1.0418850731756537	0.2974649654006122	0.5217722415856892	False	-0.6323908481925131	0.8950276243093923	0.7505886366134208	0.7886178861788617	-1.5341273747296487	0.05228758169934641
Metabolic disorders of biological oxidation enzymes	1.0399205700026066	0.2983768048871429	0.5228052457925155	False	-1.3906233835582111	0.07522935779816514	1.5055983498900012	0.038461538461538464	1.284238769647142	0.13095238095238096
Signalling to RAS	-1.0377707813029373	0.29937678293916525	0.5238210127650295	True	-0.5661737300376529	0.9814471243042672	-0.8166618697267152	0.7335858585858586	-1.2565920080099915	0.15161290322580645
SUMOylation of SUMOylation proteins	-1.0369189747866863	0.29977362003522323	0.5238210127650295	False	0.6667326599495201	0.9523809523809523	-1.1208328242152912	0.300498753117207	-1.0283230851106953	0.41201716738197425
Gluconeogenesis	-1.03658959571083	0.2999271641959125	0.5238210127650295	False	-1.5957842090117202	0.02443280977312391	0.7201800300118283	0.8855721393034826	0.7938530528599209	0.7558620689655172
RHOBTB2 GTPase cycle	-1.0308345787984614	0.30261839969953164	0.5278073659345526	True	-0.6174277175587987	0.9582577132486388	-1.180859233884907	0.243142144638404	-0.9141790985789015	0.5714285714285714
Molecules associated with elastic fibres	-1.029704087486581	0.3031489362255305	0.5278073659345526	False	-1.435957991070343	0.04258943781942078	-1.044992892439919	0.4091456077015644	1.1367725572794656	0.2847938144329897
Caspase activation via Death Receptors in the presence of ligand	1.0283404413132062	0.3037897139561416	0.5278073659345526	False	-1.2212038064773523	0.21863117870722434	-0.779816909736609	0.7798657718120805	1.8861735207989272	0.0
SARS-CoV Infections	-1.0283155009052156	0.30380144183409064	0.5278073659345526	False	-0.9041235667489627	0.7648809523809523	-1.1605786430257032	0.11434302908726178	0.8064204127525625	0.9227642276422764
Homology Directed Repair	1.0259354319082086	0.3049220200049215	0.5278073659345526	False	1.7283645922277877	0.0024154589371980675	-1.4600618210377303	0.01511879049676026	1.143788358808234	0.2408930669800235
Inactivation, recovery and regulation of the phototransduction cascade	-1.0251327508095844	0.3053005540666127	0.5278073659345526	False	-1.2448547170885313	0.18739054290718038	-0.8976290220278922	0.6439205955334988	0.5005119826957957	0.9960264900662251
CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	-1.0244221599861036	0.3056359195732402	0.5278073659345526	False	1.5251228002450286	0.029213483146067417	-0.9779021799766923	0.5066026410564226	-2.16661188988288	0.0
TRP channels	1.0239492864592066	0.30585922900984774	0.5278073659345526	False	1.340540447476987	0.09012875536480687	-1.006768728736556	0.4691516709511568	1.050543885596708	0.42216358839050133
Nuclear signaling by ERBB4	-1.0237449256715134	0.3059557696632136	0.5278073659345526	True	-0.9317868124632611	0.5477031802120141	-0.6579497972379377	0.9249692496924969	-1.1026218725316064	0.28112449799196787
Eicosanoid ligand-binding receptors	1.0235067944525174	0.306068289052818	0.5278073659345526	True	0.7076639526244195	0.8459715639810427	0.8651605862087068	0.6633663366336634	1.1828596021086029	0.2529411764705882
SARS-CoV-2 activates/modulates innate and adaptive immune responses	1.0233225582564596	0.30615536132218124	0.5278073659345526	False	0.9158260996002294	0.6458852867830424	-0.706498053123576	0.9536637931034483	1.195565108898598	0.17035398230088494
Bicarbonate transporters	1.0227970510113817	0.30640381264521954	0.5278073659345526	True	0.9661430333541483	0.4906054279749478	1.1518196030067476	0.2832764505119454	0.4663573463221579	0.9926578560939795
Polo-like kinase mediated events	-1.0227041252658757	0.3064477603326	0.5278073659345526	True	-0.7437665347846528	0.8330373001776199	-0.9641420694018151	0.5268096514745308	-1.0691558066804414	0.3535714285714286
RHOC GTPase cycle	-1.020482680161647	0.30749959931921933	0.5286263053310701	False	0.6788231728721463	0.9819819819819819	-1.3444176554157048	0.0576271186440678	0.7133046753856296	0.9136690647482014
Pre-NOTCH Transcription and Translation	1.0203209533581317	0.30757626906847935	0.5286263053310701	False	0.9481136900679523	0.5577889447236181	-0.9917672861876006	0.48201438848920863	1.4228805629858536	0.05953991880920163
