shift	p_exact	location	accepted_95	pathway	comparison
-0.33363590640723	0.74603174603175	interior	True	R-HSA-112315	all_nonsynaptic
-0.33322514609567	0.75396825396825	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33270817479988	0.75396825396825	interior	True	R-HSA-112315	all_nonsynaptic
-0.3321912035041	0.76190476190476	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33211975848655	0.76190476190476	interior	True	R-HSA-112315	all_nonsynaptic
-0.332048313469	0.76984126984127	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33170127371725	0.76984126984127	interior	True	R-HSA-112315	all_nonsynaptic
-0.3313542339655	0.77777777777778	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33113173759825	0.77777777777778	interior	True	R-HSA-112315	all_nonsynaptic
-0.330909241231	0.78571428571429	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.33075426122557	0.78571428571429	interior	True	R-HSA-112315	all_nonsynaptic
-0.33059928122013	0.79365079365079	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32994795237623	0.79365079365079	interior	True	R-HSA-112315	all_nonsynaptic
-0.32929662353233	0.8015873015873	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.3291416435269	0.8015873015873	interior	True	R-HSA-112315	all_nonsynaptic
-0.32898666352147	0.80952380952381	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32896098546948	0.80952380952381	interior	True	R-HSA-112315	all_nonsynaptic
-0.3289353074175	0.81746031746032	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32891653962367	0.81746031746032	interior	True	R-HSA-112315	all_nonsynaptic
-0.32889777182985	0.82539682539683	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32886583784659	0.82539682539683	interior	True	R-HSA-112315	all_nonsynaptic
-0.32883390386333	0.83333333333333	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32846496967759	0.83333333333333	interior	True	R-HSA-112315	all_nonsynaptic
-0.32809603549185	0.84126984126984	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32789217202385	0.84126984126984	interior	True	R-HSA-112315	all_nonsynaptic
-0.32768830855585	0.84920634920635	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32745479736026	0.84920634920635	interior	True	R-HSA-112315	all_nonsynaptic
-0.32722128616467	0.85714285714286	breakpoint	True	R-HSA-112315	all_nonsynaptic
-0.32641153828188	0.85714285714286	interior	True	R-HSA-112315	all_nonsynaptic
