gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
C21orf33	15	9	10	5	5
C21orf59	1	1	10	5	5
C2CD4C	2	2	10	5	5
C2CD5	9	7	9	5	4
C3	8	7	10	5	5
C3orf33	1	1	9	5	4
C3orf58	1	1	10	5	5
C4A	4	3	9	5	4
C4BPA	2	1	9	5	4
C6orf136	1	1	9	5	4
C6orf203	2	2	10	5	5
C6orf89	3	2	10	5	5
C7orf50	3	3	10	5	5
C8orf82	3	2	9	5	4
C9orf72	4	3	10	5	5
CA4	1	1	8	3	5
CAB39	11	7	10	5	5
CAB39L	2	2	10	5	5
CACNA2D1	37	29	10	5	5
CACNA2D2	15	14	10	5	5
CACNB1	1	1	10	5	5
CACNB3	7	6	10	5	5
CACYBP	5	4	10	5	5
CAD	4	4	10	5	5
CADM1	2	1	9	5	4
CADM2	2	2	10	5	5
CADM3	9	7	10	5	5
CADM4	3	3	10	5	5
CADPS	24	20	10	5	5
CALB1	2	2	9	5	4
CALML5	1	1	8	5	3
CALR	50	30	10	5	5
CALU	20	12	10	5	5
CAMK2B	11	9	10	5	5
CAMK2D	6	5	10	5	5
CAMK2G	4	3	10	5	5
CAMK4	1	1	8	4	4
CAMKV	15	11	10	5	5
CAMLG	3	2	9	5	4
CAMSAP1	1	1	10	5	5
CAMSAP2	2	2	10	5	5
CAMSAP3	1	1	9	5	4
CAND1	50	35	10	5	5
CAND2	2	1	9	5	4
CANT1	1	1	10	5	5
CANX	48	32	10	5	5
CAP1	27	16	10	5	5
CAP2	5	5	10	5	5
CAPN1	18	16	10	5	5
CAPN2	3	2	9	5	4
CAPN5	6	6	10	5	5
CAPNS1	5	4	10	5	5
CAPRIN1	14	10	10	5	5
CAPZA1	10	7	10	5	5
CAPZA2	12	9	10	5	5
CAPZB	15	10	10	5	5
CARHSP1	2	1	10	5	5
CARM1	12	9	10	5	5
CARMIL3	1	1	10	5	5
CARS	21	17	10	5	5
CARS2	10	8	9	5	4
CASC4	13	10	10	5	5
CASD1	3	3	10	5	5
CASK	16	12	10	5	5
CASP14	1	1	8	5	3
CASP3	5	4	10	5	5
CASTOR2	1	1	10	5	5
CAT	19	14	10	5	5
CBFB	1	1	9	5	4
CBL	4	4	9	5	4
CBLB	1	1	9	5	4
CBLN1	7	6	10	5	5
CBLN4	1	1	10	5	5
CBR1	6	5	10	5	5
CBX1	3	2	10	5	5
CBX3	9	8	10	5	5
CBX5	5	3	10	5	5
CCAR1	14	11	10	5	5
CCAR2	8	8	10	5	5
CCDC115	1	1	8	4	4
CCDC124	1	1	9	4	5
CCDC127	1	1	9	5	4
CCDC134	7	6	10	5	5
CCDC28B	1	1	9	5	4
CCDC47	20	9	10	5	5
CCDC51	3	3	10	5	5
CCDC58	5	3	10	5	5
CCDC6	1	1	9	5	4
CCDC88A	6	5	10	5	5
CCDC90B	7	7	10	5	5
CCDC93	1	1	10	5	5
CCDC97	2	2	9	5	4
CCNL1	2	2	9	5	4
CCNT1	1	1	9	5	4
CCNY	1	1	9	5	4
CCS	1	1	10	5	5
CCT2	47	25	10	5	5
CCT3	42	27	10	5	5
CCT4	33	23	10	5	5
CCT5	47	28	10	5	5
CCT6A	46	24	10	5	5
CCT6B	1	1	10	5	5
CCT7	47	20	10	5	5
CCT8	48	28	10	5	5
CD151	1	1	9	5	4
CD200	3	2	10	5	5
CD276	2	2	9	5	4
CD36	1	1	8	5	3
CD47	5	3	10	5	5
CD59	2	1	10	5	5
CD63	3	2	10	5	5
CD81	2	1	10	5	5
CD99	2	1	9	5	4
CDC16	1	1	8	4	4
CDC27	1	1	9	5	4
CDC37	10	8	10	5	5
CDC40	4	4	10	5	5
CDC42	9	5	10	5	5
CDC42BPA	2	2	10	5	5
CDC42BPB	15	12	10	5	5
CDC42BPG	1	1	9	4	5
CDC5L	8	6	10	5	5
CDC73	10	9	10	5	5
CDH13	3	3	9	5	4
CDH2	11	9	10	5	5
CDIPT	5	4	10	5	5
CDK16	1	1	10	5	5
CDK2AP1	2	1	10	5	5
CDK5	4	4	10	5	5
CDK5RAP1	2	2	9	5	4
CDK5RAP3	5	3	10	5	5
CDK7	2	2	10	5	5
CDKN2AIP	2	2	10	5	5
CDS2	7	4	10	5	5
CDV3	1	1	10	5	5
CEBPZ	8	8	10	5	5
CEBPZOS	1	1	8	4	4
CECR2	1	1	9	5	4
CELF1	4	3	10	5	5
CELF2	5	3	10	5	5
CELF3	1	1	8	3	5
CELF4	4	3	10	5	5
CELSR3	1	1	10	5	5
CENPV	6	4	10	5	5
CEP170	10	7	10	5	5
CEP89	1	1	9	5	4
CERS1	1	1	8	5	3
CERS6	3	2	10	5	5
CETN2	3	3	10	5	5
CFAP20	5	4	9	5	4
CFDP1	1	1	10	5	5
CFL1	24	14	10	5	5
CFL2	4	2	10	5	5
CGGBP1	1	1	9	5	4
CGREF1	1	1	9	5	4
CHAMP1	5	3	10	5	5
CHCHD1	1	1	10	5	5
CHCHD3	7	6	10	5	5
CHCHD4	2	1	10	5	5
CHCHD6	3	2	10	5	5
CHD1L	1	1	9	5	4
CHD2	5	5	10	5	5
CHD3	4	3	9	5	4
CHD4	27	21	10	5	5
CHD7	1	1	9	5	4
CHD8	2	2	9	5	4
CHD9	2	2	10	5	5
CHGA	8	8	10	5	5
CHGB	9	7	10	5	5
CHID1	10	9	10	5	5
CHKA	1	1	9	5	4
CHML	2	2	10	5	5
CHMP1A	1	1	10	5	5
CHMP1B	1	1	10	5	5
CHMP4B	3	3	10	5	5
CHMP6	1	1	9	5	4
CHMP7	4	2	10	5	5
CHN1	3	3	10	5	5
CHN2	2	2	10	5	5
CHP1	8	7	10	5	5
CHPF	1	1	9	5	4
CHPF2	1	1	9	5	4
CHRNA3	4	4	10	5	5
CHRNA4	2	2	9	5	4
CHRNB3	3	2	9	5	4
CHST2	2	2	9	5	4
CIAO1	2	2	10	5	5
CIAPIN1	1	1	9	5	4
CIRBP	4	3	10	5	5
CISD1	9	3	10	5	5
CISD2	8	5	10	5	5
CKAP4	62	38	10	5	5
CKAP5	37	34	10	5	5
CKB	32	15	10	5	5
CKMT1A	22	15	10	5	5
CLASP1	29	21	10	5	5
CLASP2	18	16	10	5	5
CLCC1	6	5	9	5	4
CLCN4	5	4	10	5	5
CLCN6	12	9	10	5	5
CLCN7	4	3	10	5	5
CLDND1	2	2	10	5	5
CLGN	14	11	10	5	5
CLIC1	5	5	10	5	5
CLIC4	7	6	10	5	5
CLINT1	6	6	10	5	5
CLIP2	4	4	10	5	5
