gene	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
NUDC	14	12	10	5	5
NUDCD1	3	3	9	5	4
NUDCD3	2	2	9	5	4
NUDT13	1	1	10	5	5
NUDT16	5	3	10	5	5
NUDT16L1	7	6	10	5	5
NUDT19	1	1	8	5	3
NUDT2	1	1	9	5	4
NUDT21	13	9	10	5	5
NUDT3	2	2	9	5	4
NUDT5	9	7	10	5	5
NUDT9	3	3	10	5	5
NUMA1	17	14	10	5	5
NUP107	9	7	10	5	5
NUP133	12	11	10	5	5
NUP155	12	9	10	5	5
NUP160	1	1	9	5	4
NUP188	5	4	10	5	5
NUP205	15	14	10	5	5
NUP210	25	23	10	5	5
NUP214	5	4	10	5	5
NUP37	3	3	10	5	5
NUP43	4	3	10	5	5
NUP50	1	1	8	4	4
NUP62	1	1	9	4	5
NUP85	6	5	9	5	4
NUP93	4	3	9	5	4
NUP98	6	5	10	5	5
NUTF2	7	3	10	5	5
NXF1	5	4	10	5	5
NXN	5	4	10	5	5
NXT1	1	1	9	5	4
OARD1	4	3	10	5	5
OAT	21	15	10	5	5
OCIAD1	7	3	10	5	5
OCIAD2	5	3	10	5	5
OCRL	5	5	10	5	5
ODF2	3	3	10	5	5
OGDH	30	22	10	5	5
OGFOD3	1	1	8	4	4
OGFR	2	2	10	5	5
OGT	19	15	10	5	5
OLA1	24	16	10	5	5
OLFM1	2	2	10	5	5
OLFM2	1	1	9	5	4
OLFM3	1	1	9	5	4
ONECUT3	2	2	10	5	5
OPA1	49	31	10	5	5
OPA3	2	2	10	5	5
ORC2	1	1	9	5	4
ORC3	2	1	10	5	5
ORC4	1	1	9	5	4
ORC5	1	1	8	4	4
ORMDL1	2	2	9	5	4
OS9	5	4	10	5	5
OSBP	15	12	10	5	5
OSBPL11	2	2	10	5	5
OSBPL2	2	2	10	5	5
OSBPL5	1	1	9	5	4
OSBPL8	16	13	10	5	5
OSGEP	5	5	10	5	5
OSGEPL1	1	1	9	5	4
OSTC	3	2	10	5	5
OSTF1	1	1	10	5	5
OSTM1	1	1	10	5	5
OTUB1	10	7	10	5	5
OTX2	1	1	10	5	5
OXA1L	8	4	10	5	5
OXCT1	32	16	10	5	5
OXSM	1	1	10	5	5
OXSR1	9	7	10	5	5
P2RX3	7	6	10	5	5
P3H1	1	1	9	5	4
P4HA1	7	5	10	5	5
P4HB	47	29	10	5	5
P4HTM	2	2	9	5	4
PA2G4	20	14	10	5	5
PABPC1	24	17	10	5	5
PABPC4	10	7	10	5	5
PABPC4L	1	1	10	5	5
PACS1	6	5	10	5	5
PACS2	1	1	8	4	4
PACSIN2	8	7	10	5	5
PACSIN3	1	1	10	5	5
PAF1	1	1	8	5	3
PAFAH1B1	19	14	10	5	5
PAFAH1B2	13	7	10	5	5
PAFAH1B3	16	11	10	5	5
PAICS	9	7	10	5	5
PAIP1	3	3	9	5	4
PAK1	3	3	10	5	5
PAK1IP1	1	1	9	5	4
PAK2	5	5	10	5	5
PAK3	2	2	9	5	4
PAK5	2	2	9	5	4
PALM	1	1	10	5	5
PAM	10	8	10	5	5
PANK4	4	4	10	5	5
PANX1	3	2	10	5	5
PAPOLA	4	4	9	5	4
PAPSS1	14	11	10	5	5
PAQR3	1	1	8	5	3
PAQR4	2	1	9	5	4
PARK7	13	8	10	5	5
PARL	1	1	9	5	4
PARP1	54	36	10	5	5
PARS2	1	1	9	5	4
PATZ1	2	2	10	5	5
PAXBP1	2	2	10	5	5
PBDC1	7	6	10	5	5
PBRM1	14	12	10	5	5
PBXIP1	2	2	10	5	5
PC	40	27	10	5	5
PCBD1	3	3	9	5	4
PCBD2	3	2	10	5	5
PCBP1	2	2	10	5	5
PCBP2	11	7	10	5	5
PCBP3	1	1	10	5	5
PCCA	27	23	10	5	5
PCCB	24	16	10	5	5
PCDHA10	2	2	9	5	4
PCDHA12	3	2	9	5	4
PCDHB14	2	2	10	5	5
PCDHB2	1	1	10	5	5
PCID2	3	3	9	5	4
PCIF1	2	2	10	5	5
PCK2	9	9	10	5	5
PCMT1	9	7	10	5	5
PCNA	2	2	10	5	5
PCNP	2	2	10	5	5
PCSK1	2	2	10	5	5
PCSK1N	4	4	10	5	5
PCSK2	1	1	10	5	5
PCYOX1	31	19	10	5	5
PCYOX1L	8	5	10	5	5
PCYT2	1	1	9	4	5
PDAP1	2	2	10	5	5
PDCD11	15	13	10	5	5
PDCD5	6	5	10	5	5
PDCD6	7	6	10	5	5
PDCD6IP	11	10	10	5	5
PDCL	1	1	10	5	5
PDE10A	4	3	10	5	5
PDE12	2	1	9	5	4
PDE6D	4	3	10	5	5
PDHA1	22	14	10	5	5
PDHB	19	13	10	5	5
PDHX	15	11	10	5	5
PDIA3	43	28	10	5	5
PDIA4	63	35	10	5	5
PDIA5	9	7	10	5	5
PDIA6	24	14	10	5	5
PDK1	3	3	10	5	5
PDK3	6	5	10	5	5
PDP1	13	11	10	5	5
PDPR	14	12	10	5	5
PDS5A	6	6	10	5	5
PDS5B	24	20	10	5	5
PDXDC1	2	2	10	5	5
PDXK	8	5	10	5	5
PDXP	7	6	10	5	5
PDZD8	1	1	9	5	4
PEA15	5	4	10	5	5
PEBP1	13	8	10	5	5
PEF1	3	3	9	5	4
PEG10	1	1	9	5	4
PELO	2	1	9	5	4
PELP1	3	2	9	5	4
PEPD	11	9	10	5	5
PES1	5	5	10	5	5
PET100	1	1	10	5	5
PEX11B	10	7	10	5	5
PEX13	1	1	8	5	3
PEX14	5	4	10	5	5
PEX16	1	1	9	5	4
PEX5	1	1	9	5	4
PFAS	7	7	10	5	5
PFDN1	4	3	10	5	5
PFDN2	6	5	10	5	5
PFDN4	2	2	10	5	5
PFDN5	4	3	10	5	5
PFDN6	6	5	10	5	5
PFKL	13	9	10	5	5
PFKM	29	18	10	5	5
PFKP	5	5	10	5	5
PFN1	12	7	10	5	5
PFN2	12	8	10	5	5
PGAM1	18	11	10	5	5
PGAM5	10	8	10	5	5
PGAP1	21	16	10	5	5
PGBD5	2	1	9	5	4
PGD	38	23	10	5	5
PGGT1B	1	1	10	5	5
PGK1	39	22	10	5	5
PGK2	3	2	10	5	5
PGLS	4	4	10	5	5
PGM1	8	7	10	5	5
PGM2	9	8	10	5	5
PGM2L1	24	16	10	5	5
PGM3	3	3	10	5	5
PGP	1	1	10	5	5
PGRMC1	17	11	10	5	5
PGRMC2	2	2	9	5	4
PGS1	4	4	10	5	5
PHAX	2	2	10	5	5
PHB	29	18	10	5	5
PHB2	31	20	10	5	5
PHF14	4	3	10	5	5
PHF2	2	2	9	5	4
PHF3	1	1	8	4	4
PHF6	2	2	10	5	5
PHGDH	4	4	10	5	5
PHIP	3	3	10	5	5
PHPT1	3	1	10	5	5
PHYHIPL	10	8	10	5	5
PI4K2A	10	9	10	5	5
PI4KA	4	2	9	5	4
PI4KB	1	1	9	5	4
PIAS1	2	1	9	5	4
PIAS4	1	1	9	5	4
PICALM	6	5	10	5	5
PICK1	1	1	10	5	5
PIGG	2	2	10	5	5
PIGK	5	4	10	5	5
PIGN	1	1	9	5	4
PIGO	1	1	9	5	4
PIGS	12	9	10	5	5
PIGT	17	11	10	5	5
PIGU	4	3	9	5	4
PIK3C2A	1	1	9	5	4
PIK3C2B	1	1	9	5	4
PIK3CA	1	1	10	5	5
PIKFYVE	1	1	8	4	4
PIN1	6	4	10	5	5
PIN4	2	2	10	5	5
PIP4K2A	7	6	10	5	5
PIP4K2B	10	8	10	5	5
PIP4K2C	1	1	9	5	4
PIP4P1	1	1	10	5	5
PIP4P2	1	1	9	5	4
PIP5K1C	1	1	10	5	5
PITHD1	10	7	10	5	5
PITPNA	11	7	10	5	5
PITPNB	14	10	10	5	5
PITPNC1	2	2	10	5	5
PITPNM1	5	5	10	5	5
PITPNM2	2	2	10	5	5
PITRM1	35	23	10	5	5
PKIA	1	1	8	5	3
PKM	53	28	10	5	5
PLA2G15	7	6	10	5	5
PLAA	12	11	10	5	5
PLBD2	22	15	10	5	5
PLCB1	8	8	10	5	5
PLCB4	3	3	10	5	5
PLCG1	15	13	10	5	5
PLCH2	2	2	10	5	5
PLCL1	5	5	10	5	5
PLCL2	2	2	10	5	5
PLCXD3	2	2	9	5	4
PLD3	17	12	10	5	5
PLEC	8	8	10	5	5
PLEKHO1	1	1	9	5	4
PLGRKT	2	2	10	5	5
PLOD1	6	5	10	5	5
PLOD3	4	4	10	5	5
PLPBP	1	1	10	5	5
PLPP6	2	2	9	5	4
PLRG1	8	7	10	5	5
PLSCR3	2	1	9	5	4
PLXDC2	1	1	8	5	3
PLXNA1	10	7	10	5	5
PLXNA2	3	3	9	5	4
PLXNA3	5	5	10	5	5
PLXNA4	6	6	10	5	5
PLXNB1	3	3	10	5	5
PLXNB2	8	7	10	5	5
PLXNC1	2	2	9	5	4
PMEL	1	1	8	5	3
PMM1	1	1	9	5	4
PMM2	2	2	10	5	5
PMPCA	17	13	10	5	5
PMPCB	10	8	10	5	5
PMVK	9	8	10	5	5
PNKD	1	1	10	5	5
PNKP	2	2	10	5	5
PNN	5	4	10	5	5
PNO1	1	1	9	5	4
PNP	3	3	9	5	4
PNPLA4	2	2	9	5	4
PNPLA6	1	1	8	4	4
PNPLA8	15	14	10	5	5
PNPT1	20	15	10	5	5
PODXL2	2	1	9	5	4
POFUT1	3	3	10	5	5
POFUT2	5	5	10	5	5
POGLUT1	9	8	10	5	5
POGZ	9	8	10	5	5
POLB	6	4	10	5	5
POLDIP2	6	6	10	5	5
POLG2	2	2	9	5	4
POLR1A	3	3	9	5	4
POLR1B	4	4	10	5	5
POLR1C	3	3	9	5	4
POLR1D	2	2	10	5	5
POLR2A	26	22	10	5	5
POLR2B	21	18	10	5	5
POLR2C	7	7	10	5	5
POLR2D	1	1	9	5	4
POLR2E	5	5	10	5	5
POLR2G	3	3	10	5	5
POLR2H	4	3	10	5	5
POLR2I	1	1	9	5	4
POLR2K	1	1	9	5	4
POLR2L	2	2	10	5	5
POLR3A	2	2	10	5	5
POLR3B	2	2	9	5	4
POLR3C	1	1	9	5	4
POLRMT	2	2	9	5	4
POMGNT1	1	1	9	5	4
POMGNT2	8	6	9	5	4
POMK	10	6	10	5	5
POMT1	5	4	10	5	5
POMT2	11	8	10	5	5
PON2	6	4	10	5	5
POP1	3	3	9	5	4
POP4	1	1	10	5	5
POR	20	18	10	5	5
PORCN	2	2	9	5	4
POTEI	6	4	10	5	5
POU3F2	1	1	8	4	4
POU4F1	2	2	10	5	5
PPA1	21	12	10	5	5
PPA2	12	8	10	5	5
PPAT	6	5	10	5	5
PPCS	2	2	9	5	4
PPIA	23	10	10	5	5
PPIB	24	12	10	5	5
PPID	7	6	10	5	5
PPIE	1	1	10	5	5
PPIF	4	2	10	5	5
PPIG	1	1	9	4	5
PPIH	4	4	10	5	5
PPIL1	5	4	10	5	5
PPIL3	2	2	10	5	5
PPIL4	1	1	10	5	5
PPIP5K2	11	9	10	5	5
PPM1A	2	2	10	5	5
PPM1B	4	4	10	5	5
PPM1E	1	1	10	5	5
PPM1G	5	4	10	5	5
PPM1H	2	2	9	5	4
PPM1L	7	5	10	5	5
PPME1	7	7	10	5	5
PPOX	7	6	10	5	5
PPP1CA	10	7	10	5	5
PPP1CB	3	2	10	5	5
PPP1CC	3	3	10	5	5
PPP1R10	1	1	9	5	4
PPP1R11	1	1	9	5	4
PPP1R12A	4	3	10	5	5
PPP1R14B	2	1	9	5	4
PPP1R21	8	6	10	5	5
PPP1R7	18	14	10	5	5
PPP1R9B	5	4	10	5	5
PPP2R1A	37	22	10	5	5
PPP2R1B	1	1	9	5	4
PPP2R2A	12	11	10	5	5
PPP2R5B	2	2	9	5	4
PPP2R5C	1	1	9	5	4
PPP2R5D	3	3	10	5	5
PPP2R5E	12	9	10	5	5
PPP3CA	11	9	10	5	5
PPP3CB	4	3	10	5	5
PPP3CC	1	1	10	5	5
PPP3R1	8	6	10	5	5
PPP4C	1	1	10	5	5
PPP4R1	1	1	10	5	5
PPP4R2	2	2	10	5	5
PPP4R3A	7	5	10	5	5
PPP4R3B	1	1	9	5	4
PPP5C	12	9	10	5	5
PPP6C	5	4	10	5	5
PPP6R3	4	4	10	5	5
PPRC1	1	1	10	5	5
PPT1	8	5	10	5	5
PQLC1	1	1	9	5	4
PRCP	13	9	10	5	5
PRDX1	23	12	10	5	5
PRDX2	19	11	10	5	5
PRDX3	17	9	10	5	5
PRDX4	12	8	10	5	5
PRDX5	15	8	10	5	5
PRDX6	13	10	10	5	5
PREB	10	7	10	5	5
PREP	30	21	10	5	5
PREPL	14	11	10	5	5
PREX1	2	2	8	4	4
PRIM2	2	2	9	5	4
PRKACA	7	5	10	5	5
PRKACB	21	13	10	5	5
PRKAG1	8	8	10	5	5
PRKAR1A	2	2	10	5	5
PRKAR2A	19	11	10	5	5
PRKAR2B	20	10	10	5	5
PRKCA	6	5	10	5	5
PRKCB	7	5	10	5	5
PRKCE	2	2	9	5	4
PRKCG	2	2	10	5	5
PRKCI	2	2	9	5	4
PRKCSH	31	20	10	5	5
PRKDC	187	128	10	5	5
PRKRA	6	4	10	5	5
PRMT1	12	9	10	5	5
PRMT5	16	10	10	5	5
PRMT8	5	4	10	5	5
PRPF19	12	9	10	5	5
PRPF3	3	2	10	5	5
PRPF38A	4	3	10	5	5
PRPF38B	6	6	10	5	5
PRPF39	5	4	10	5	5
PRPF4	3	3	10	5	5
PRPF40A	15	9	10	5	5
PRPF40B	3	3	10	5	5
PRPF4B	7	7	10	5	5
PRPF6	6	5	10	5	5
PRPF8	105	71	10	5	5
PRPH	2	1	10	5	5
PRPS1	6	3	10	5	5
PRPS2	1	1	8	4	4
PRPSAP1	7	6	9	5	4
PRPSAP2	8	6	10	5	5
PRRC1	5	4	10	5	5
PRRC2C	1	1	8	3	5
PRRT2	1	1	9	5	4
PRSS3	1	1	10	5	5
PRUNE1	5	4	10	5	5
PSAP	11	7	10	5	5
PSAT1	8	8	10	5	5
PSEN2	2	2	9	5	4
PSIP1	14	9	10	5	5
PSMA1	18	10	10	5	5
PSMA2	11	7	10	5	5
PSMA3	15	10	10	5	5
PSMA4	11	7	10	5	5
PSMA5	10	7	10	5	5
PSMA6	13	8	10	5	5
PSMA7	18	13	10	5	5
PSMB1	16	7	10	5	5
PSMB2	10	6	10	5	5
PSMB3	13	8	10	5	5
PSMB4	11	6	10	5	5
PSMB5	12	9	10	5	5
PSMB6	7	6	10	5	5
PSMB7	6	4	10	5	5
PSMC1	24	14	10	5	5
PSMC2	31	19	10	5	5
PSMC3	33	20	10	5	5
PSMC4	17	13	10	5	5
PSMC5	20	15	10	5	5
PSMC6	18	12	10	5	5
PSMD1	32	25	10	5	5
PSMD10	7	4	10	5	5
PSMD11	30	19	10	5	5
PSMD12	21	17	10	5	5
PSMD13	27	16	10	5	5
PSMD14	9	7	10	5	5
PSMD2	43	26	10	5	5
PSMD3	35	23	10	5	5
PSMD4	7	5	10	5	5
PSMD5	6	5	10	5	5
PSMD6	21	14	10	5	5
PSMD7	17	9	10	5	5
PSMD8	11	8	10	5	5
PSME1	7	6	10	5	5
PSME2	8	8	10	5	5
PSME3	3	3	10	5	5
PSME4	10	9	10	5	5
PSMF1	3	2	10	5	5
PSMG1	2	2	9	5	4
PSMG3	1	1	9	5	4
PSPC1	13	10	10	5	5
PSPH	2	2	9	5	4
PTBP1	16	11	10	5	5
PTBP2	22	13	10	5	5
PTBP3	7	5	10	5	5
PTCD1	1	1	10	5	5
PTCD3	18	13	10	5	5
PTDSS1	3	3	9	5	4
PTDSS2	2	2	10	5	5
PTGES2	16	10	10	5	5
PTGES3	6	5	10	5	5
PTGR1	3	3	10	5	5
PTGR2	1	1	9	5	4
PTK2	3	3	9	5	4
PTMA	11	7	10	5	5
PTMS	5	3	10	5	5
PTP4A1	4	3	9	5	4
PTPA	12	11	10	5	5
PTPMT1	4	3	9	5	4
PTPN1	12	9	10	5	5
PTPN11	11	8	10	5	5
PTPN12	1	1	10	5	5
PTPN23	3	3	10	5	5
PTPN9	5	5	9	5	4
PTPRF	1	1	10	5	5
PTPRG	3	3	10	5	5
PTPRJ	1	1	10	5	5
PTPRN2	1	1	9	5	4
PTPRO	2	2	10	5	5
PTPRS	6	6	10	5	5
PTRH2	2	2	10	5	5
PTRHD1	5	4	10	5	5
PUDP	5	3	10	5	5
PUF60	14	10	10	5	5
PUM1	10	7	10	5	5
PUM2	5	5	10	5	5
PUM3	11	10	10	5	5
PURA	8	5	10	5	5
PURB	3	2	10	5	5
PURG	3	3	10	5	5
PUS1	5	4	10	5	5
PUS7	2	2	9	5	4
PUSL1	1	1	8	4	4
PWP1	4	3	10	5	5
PWP2	6	5	10	5	5
PXDN	3	3	10	5	5
PXK	2	1	9	5	4
PXMP2	1	1	9	5	4
PXN	1	1	10	5	5
PXYLP1	3	3	10	5	5
PYCR1	7	5	10	5	5
PYCR2	4	4	10	5	5
PYCR3	1	1	9	4	5
PYGB	44	30	10	5	5
PYGL	2	2	10	5	5
PYGM	2	1	10	5	5
PYM1	2	2	10	5	5
PYURF	1	1	8	3	5
PZP	1	1	10	5	5
QARS	16	12	10	5	5
QDPR	6	5	10	5	5
QPRT	6	4	10	5	5
QRSL1	4	4	10	5	5
QSOX2	14	11	10	5	5
RAB10	13	8	10	5	5
RAB11B	20	14	10	5	5
RAB11FIP2	3	3	9	5	4
RAB12	2	2	10	5	5
RAB14	17	11	10	5	5
RAB18	9	7	10	5	5
RAB1A	21	13	10	5	5
RAB1B	3	3	10	5	5
RAB21	7	6	10	5	5
RAB22A	3	3	9	5	4
RAB23	3	3	9	5	4
RAB24	3	2	9	5	4
RAB25	2	2	10	5	5
RAB26	1	1	9	5	4
RAB2A	12	7	10	5	5
RAB2B	15	9	10	5	5
RAB31	2	1	10	5	5
RAB33A	2	2	9	5	4
RAB35	4	4	10	5	5
RAB39B	3	3	9	5	4
RAB3A	5	3	10	5	5
RAB3B	3	2	10	5	5
RAB3C	3	2	10	5	5
RAB3D	1	1	10	5	5
RAB3GAP1	5	5	10	5	5
RAB3GAP2	12	11	10	5	5
RAB4A	4	3	9	5	4
RAB4B	2	2	10	5	5
RAB5A	7	5	10	5	5
RAB5B	11	7	10	5	5
RAB5C	6	5	10	5	5
RAB6A	9	8	10	5	5
RAB6B	4	4	10	5	5
RAB7A	16	11	10	5	5
RAB8A	7	5	10	5	5
RAB8B	4	2	10	5	5
RAB9A	2	2	10	5	5
RAB9B	1	1	9	5	4
RABEP1	6	5	10	5	5
RABGAP1	13	12	10	5	5
RABGEF1	5	4	10	5	5
RABGGTA	2	2	10	5	5
RABGGTB	1	1	9	5	4
RABL3	3	3	10	5	5
RABL6	2	2	9	5	4
RAC1	6	3	10	5	5
RAC3	1	1	10	5	5
RACK1	22	14	10	5	5
RAD21	5	4	10	5	5
RAD23A	6	4	10	5	5
RAD23B	4	2	10	5	5
RAD50	15	11	10	5	5
RAE1	8	5	10	5	5
RALA	4	4	10	5	5
RALB	5	5	10	5	5
RALGAPA1	8	7	10	5	5
RALGAPB	9	6	10	5	5
RALY	15	8	10	5	5
RALYL	5	3	10	5	5
RAN	12	7	10	5	5
RANBP1	4	3	10	5	5
RANBP2	9	7	10	5	5
RANBP3	4	4	10	5	5
RANBP6	13	11	10	5	5
RANBP9	6	5	10	5	5
RANGAP1	4	4	10	5	5
RAP1GAP	1	1	9	5	4
RAP1GAP2	1	1	9	5	4
RAP1GDS1	20	14	10	5	5
RAP2B	4	3	10	5	5
RAPGEF2	1	1	9	5	4
RAPH1	2	2	9	5	4
RARS	29	22	10	5	5
RARS2	6	5	10	5	5
RASA1	3	3	10	5	5
RASA3	2	2	10	5	5
RASAL2	4	4	10	5	5
RB1CC1	1	1	10	5	5
RBBP4	13	10	10	5	5
RBBP5	3	2	10	5	5
RBBP7	3	2	10	5	5
RBKS	1	1	10	5	5
RBM12	10	10	10	5	5
RBM12B	10	9	10	5	5
RBM15B	1	1	8	4	4
RBM19	2	2	10	5	5
RBM22	1	1	9	5	4
RBM23	1	1	8	4	4
RBM25	10	7	10	5	5
RBM26	2	2	9	5	4
RBM28	1	1	9	5	4
RBM39	15	13	10	5	5
RBM45	1	1	8	4	4
RBM5	3	3	10	5	5
RBM6	3	3	10	5	5
RBM8A	10	6	10	5	5
RBMX	6	5	10	5	5
RBP1	5	4	10	5	5
RBP4	1	1	9	4	5
RBPJ	7	5	10	5	5
RC3H1	2	2	9	5	4
RC3H2	1	1	9	5	4
RCC1	7	6	10	5	5
RCC2	6	6	10	5	5
RCL1	3	3	10	5	5
RCN1	16	10	10	5	5
RCN2	17	12	10	5	5
RCOR1	1	1	9	5	4
RCOR2	1	1	9	4	5
RCOR3	3	3	10	5	5
RDH11	13	8	10	5	5
RDH13	1	1	10	5	5
RDH14	3	2	9	5	4
RDX	29	21	10	5	5
RECQL	9	7	10	5	5
RECQL5	2	1	10	5	5
REEP1	1	1	10	5	5
REEP5	2	1	10	5	5
REEP6	2	1	10	5	5
REPS1	3	3	10	5	5
RER1	4	4	10	5	5
RETREG2	1	1	8	5	3
RETREG3	3	3	10	5	5
RETSAT	4	3	9	5	4
REXO2	2	2	10	5	5
REXO5	1	1	9	5	4
RFC1	1	1	10	5	5
RFC2	3	3	10	5	5
RFC3	2	2	10	5	5
RFC4	5	5	10	5	5
RFC5	1	1	9	5	4
RFK	2	1	10	5	5
RFT1	4	3	9	5	4
RGL1	2	1	9	5	4
RGS10	5	5	10	5	5
RHBDD2	4	3	9	5	4
RHEB	4	4	10	5	5
RHOA	9	7	10	5	5
RHOB	3	3	10	5	5
RHOC	1	1	10	5	5
RHOG	1	1	10	5	5
RHOT1	9	7	10	5	5
RHOT2	2	2	10	5	5
RIC8A	2	2	9	5	4
RIDA	2	2	9	5	4
RIMS1	2	2	9	5	4
RIMS4	1	1	9	5	4
RINT1	1	1	9	5	4
RMDN1	8	8	10	5	5
RMDN3	2	2	9	5	4
RMND1	10	8	10	5	5
RNASET2	1	1	9	5	4
RNF121	1	1	9	5	4
RNF13	2	2	10	5	5
RNF150	1	1	10	5	5
RNF167	1	1	10	5	5
RNF170	3	2	9	5	4
RNF2	6	4	10	5	5
RNF214	1	1	10	5	5
RNF220	1	1	8	3	5
RNF25	1	1	9	5	4
RNGTT	1	1	9	5	4
RNH1	2	2	10	5	5
RNMT	9	7	10	5	5
RNPEP	1	1	9	5	4
RNPS1	5	2	10	5	5
ROBO1	3	2	10	5	5
ROBO2	1	1	10	5	5
ROCK2	5	4	10	5	5
ROMO1	2	1	9	5	4
RP2	2	2	10	5	5
RPA1	12	10	10	5	5
RPA2	1	1	9	5	4
RPA3	3	2	9	5	4
RPAP2	2	2	9	5	4
RPAP3	5	5	10	5	5
RPF1	2	2	9	5	4
RPF2	5	4	10	5	5
RPIA	2	2	10	5	5
RPL10	8	6	10	5	5
RPL10A	19	9	10	5	5
RPL11	8	5	10	5	5
RPL12	13	8	10	5	5
RPL13	10	7	10	5	5
RPL13A	12	8	10	5	5
RPL14	7	4	10	5	5
RPL15	17	11	10	5	5
RPL17	12	6	10	5	5
RPL18	6	4	10	5	5
RPL18A	9	5	10	5	5
RPL19	8	5	10	5	5
RPL21	10	5	10	5	5
RPL22	3	3	10	5	5
RPL23	12	6	10	5	5
RPL23A	12	8	10	5	5
RPL24	9	7	10	5	5
RPL26	4	2	10	5	5
RPL26L1	16	7	10	5	5
RPL27	13	6	10	5	5
RPL27A	6	4	10	5	5
RPL28	11	8	10	5	5
RPL29	2	1	9	4	5
RPL3	32	18	10	5	5
RPL30	7	4	10	5	5
RPL31	11	7	10	5	5
RPL32	8	6	10	5	5
RPL34	7	4	10	5	5
RPL35	4	3	10	5	5
RPL35A	17	10	10	5	5
RPL36	3	3	10	5	5
RPL36A	4	2	10	5	5
RPL36AL	2	1	10	5	5
RPL37A	5	3	10	5	5
RPL38	5	3	10	5	5
RPL3L	3	1	10	5	5
RPL4	26	17	10	5	5
RPL5	27	11	10	5	5
RPL6	26	14	10	5	5
RPL7	25	14	10	5	5
RPL7A	15	9	10	5	5
RPL7L1	3	3	10	5	5
RPL8	9	6	10	5	5
RPL9	14	9	10	5	5
RPLP0	17	10	10	5	5
RPLP1	2	1	10	5	5
RPLP2	9	5	10	5	5
RPN1	54	33	10	5	5
RPN2	32	18	10	5	5
RPP14	2	1	9	5	4
RPP30	6	4	10	5	5
RPP40	5	4	10	5	5
RPRD1A	8	6	10	5	5
RPRD1B	7	6	10	5	5
RPRD2	2	1	10	5	5
RPS10	10	4	10	5	5
RPS11	17	9	10	5	5
RPS12	8	5	10	5	5
RPS13	13	9	10	5	5
RPS14	15	8	10	5	5
RPS15	22	4	10	5	5
RPS15A	10	6	10	5	5
RPS16	18	12	10	5	5
RPS17	9	5	10	5	5
RPS18	21	12	10	5	5
RPS19	15	9	10	5	5
RPS2	19	11	10	5	5
RPS20	6	4	10	5	5
RPS21	11	5	10	5	5
RPS23	9	4	10	5	5
RPS24	11	6	10	5	5
RPS25	9	5	10	5	5
RPS26	6	3	10	5	5
RPS27	3	2	10	5	5
RPS27A	11	6	10	5	5
RPS27L	5	3	10	5	5
RPS28	6	3	10	5	5
RPS29	1	1	8	4	4
RPS3	28	15	10	5	5
RPS3A	27	16	10	5	5
RPS4X	17	10	10	5	5
RPS4Y1	15	10	10	5	5
RPS5	13	7	10	5	5
RPS6	13	8	10	5	5
RPS7	20	12	10	5	5
RPS8	12	8	10	5	5
RPS9	24	12	10	5	5
RPSA	13	7	10	5	5
RPTOR	4	4	10	5	5
RRAGA	3	3	10	5	5
RRAGC	6	6	10	5	5
RRAS2	6	5	10	5	5
RRM1	6	6	10	5	5
RRM2B	2	2	9	5	4
RRP1	1	1	8	5	3
RRP12	8	7	10	5	5
RRP1B	1	1	9	5	4
RRP9	6	4	10	5	5
RRS1	2	1	9	5	4
RSAD1	1	1	9	5	4
RSBN1	1	1	8	3	5
RSF1	4	4	10	5	5
RSL1D1	8	6	10	5	5
RSL24D1	1	1	9	4	5
RSPRY1	2	1	10	5	5
RSU1	1	1	9	5	4
RTCA	9	5	10	5	5
RTCB	30	20	10	5	5
RTF1	2	2	9	5	4
RTFDC1	1	1	10	5	5
RTL8C	2	2	9	5	4
RTN1	15	10	10	5	5
RTN2	1	1	9	5	4
RTN3	5	3	10	5	5
RTN4	17	10	10	5	5
RTN4IP1	4	4	10	5	5
RTRAF	15	10	10	5	5
RUFY2	2	2	9	5	4
RUFY3	16	14	10	5	5
RUNDC3A	6	6	10	5	5
RUNDC3B	1	1	9	5	4
RUVBL1	23	14	10	5	5
RUVBL2	24	16	10	5	5
RWDD1	1	1	9	5	4
S100A11	1	1	9	5	4
S100A13	5	4	10	5	5
S100B	1	1	9	5	4
SAAL1	1	1	10	5	5
SACM1L	28	19	10	5	5
SACS	23	22	10	5	5
SAE1	16	12	10	5	5
SAFB	5	4	10	5	5
SAFB2	1	1	10	5	5
SAMD4B	3	2	10	5	5
SAMHD1	9	8	10	5	5
SAMM50	23	16	10	5	5
SAP130	1	1	8	4	4
SAP18	16	10	10	5	5
SAP30BP	1	1	10	5	5
SAR1A	3	3	10	5	5
SAR1B	8	5	10	5	5
SARM1	7	7	10	5	5
SARNP	1	1	8	3	5
SARS	24	15	10	5	5
SARS2	14	12	10	5	5
SART3	12	10	10	5	5
SBDS	11	8	10	5	5
SBF1	2	1	10	5	5
SBNO1	1	1	8	4	4
SBSN	1	1	9	5	4
SCAF4	4	4	10	5	5
SCAF8	1	1	8	4	4
SCAI	4	4	10	5	5
SCAP	5	5	10	5	5
SCAPER	1	1	10	5	5
SCARB1	1	1	10	5	5
SCARB2	28	16	10	5	5
SCCPDH	14	10	10	5	5
SCD	6	3	10	5	5
SCD5	6	3	10	5	5
SCFD1	7	7	10	5	5
SCFD2	2	2	10	5	5
SCG2	11	10	10	5	5
