pathway	gene
R-HSA-72766	WARS2
R-HSA-72766	YARS2
R-HSA-9612973	ATG7
R-HSA-9612973	ATM
R-HSA-9612973	CHMP4B
R-HSA-9612973	CHMP7
R-HSA-9612973	CSNK2A1
R-HSA-9612973	CSNK2A2
R-HSA-9612973	CSNK2B
R-HSA-9612973	DYNC1H1
R-HSA-9612973	DYNC1I1
R-HSA-9612973	DYNC1I2
R-HSA-9612973	DYNC1LI1
R-HSA-9612973	DYNC1LI2
R-HSA-9612973	DYNLL1
R-HSA-9612973	DYNLL2
R-HSA-9612973	EEF1A1
R-HSA-9612973	FUNDC1
R-HSA-9612973	GABARAP
R-HSA-9612973	GABARAPL2
R-HSA-9612973	HSP90AA1
R-HSA-9612973	HSP90AB1
R-HSA-9612973	HSPA8
R-HSA-9612973	LAMP2
R-HSA-9612973	LAMTOR1
R-HSA-9612973	LAMTOR5
R-HSA-9612973	MAP1LC3A
R-HSA-9612973	MFN1
R-HSA-9612973	MFN2
R-HSA-9612973	MLST8
R-HSA-9612973	MTERF3
R-HSA-9612973	MTOR
R-HSA-9612973	PARK7
R-HSA-9612973	PGAM5
R-HSA-9612973	PRKAG1
R-HSA-9612973	RB1CC1
R-HSA-9612973	RHEB
R-HSA-9612973	RPS27A
R-HSA-9612973	RPTOR
R-HSA-9612973	RRAGA
R-HSA-9612973	RRAGC
R-HSA-9612973	SRC
R-HSA-9612973	TOMM22
R-HSA-9612973	TOMM40
R-HSA-9612973	TOMM70
R-HSA-9612973	TSC1
R-HSA-9612973	TSC2
R-HSA-9612973	TUBA1A
R-HSA-9612973	TUBA4A
R-HSA-9612973	TUBAL3
R-HSA-9612973	TUBB1
R-HSA-9612973	TUBB2A
R-HSA-9612973	TUBB2B
R-HSA-9612973	TUBB3
R-HSA-9612973	TUBB4A
R-HSA-9612973	TUBB4B
R-HSA-9612973	TUBB6
R-HSA-9612973	UBE2L3
R-HSA-9612973	UBE2N
R-HSA-9612973	UBE2V1
R-HSA-9612973	VCP
R-HSA-9612973	VDAC1
R-HSA-9612973	VDAC2
R-HSA-9612973	VDAC3
R-HSA-9612973	VIM
R-HSA-397014	AHCYL1
R-HSA-397014	AKAP9
R-HSA-397014	ALDH2
R-HSA-397014	ANXA1
R-HSA-397014	ANXA2
R-HSA-397014	ANXA6
R-HSA-397014	ASPH
R-HSA-397014	ATP1A1
R-HSA-397014	ATP1A2
R-HSA-397014	ATP1A3
R-HSA-397014	ATP1B1
R-HSA-397014	ATP1B2
R-HSA-397014	ATP1B3
R-HSA-397014	ATP2A2
