pathway	NGenes	Correlation	Direction	PValue	FDR	model	setting
R-HSA-69206	52	0.01	Up	0.452758820361432	0.607585065471404	omit_NAA25_07	fixed_0.01
R-HSA-5610780	36	0.01	Up	0.454154658031045	0.608629031510992	omit_NAA25_07	fixed_0.01
R-HSA-211733	33	0.01	Up	0.457067355847547	0.611700197703579	omit_NAA25_07	fixed_0.01
R-HSA-373755	36	0.01	Down	0.457717027296258	0.611738496454294	omit_NAA25_07	fixed_0.01
R-HSA-9013106	29	0.01	Down	0.459206931452818	0.612898140218191	omit_NAA25_07	fixed_0.01
R-HSA-176187	12	0.01	Up	0.46060120192407	0.613568945429509	omit_NAA25_07	fixed_0.01
R-HSA-69186	12	0.01	Up	0.460955349865824	0.613568945429509	omit_NAA25_07	fixed_0.01
R-HSA-8939236	35	0.01	Up	0.463339568059202	0.615910222049007	omit_NAA25_07	fixed_0.01
R-HSA-3296482	10	0.01	Down	0.464720142616265	0.616870441802471	omit_NAA25_07	fixed_0.01
R-HSA-9932298	35	0.01	Up	0.465314455085519	0.616870441802471	omit_NAA25_07	fixed_0.01
R-HSA-9607240	14	0.01	Down	0.469622541244618	0.621744896674662	omit_NAA25_07	fixed_0.01
R-HSA-1234174	37	0.01	Up	0.47471523237041	0.627060303390792	omit_NAA25_07	fixed_0.01
R-HSA-111997	13	0.01	Up	0.475547255464895	0.627060303390792	omit_NAA25_07	fixed_0.01
R-HSA-111933	13	0.01	Up	0.475547255464895	0.627060303390792	omit_NAA25_07	fixed_0.01
R-HSA-73863	12	0.01	Up	0.479609053898075	0.630953740781109	omit_NAA25_07	fixed_0.01
R-HSA-189445	12	0.01	Up	0.479781067862996	0.630953740781109	omit_NAA25_07	fixed_0.01
R-HSA-180534	33	0.01	Up	0.481418179532523	0.632262542452714	omit_NAA25_07	fixed_0.01
R-HSA-9668328	17	0.01	Down	0.482942232567979	0.632672911424835	omit_NAA25_07	fixed_0.01
R-HSA-532668	19	0.01	Down	0.483015258265458	0.632672911424835	omit_NAA25_07	fixed_0.01
R-HSA-6811434	54	0.01	Up	0.484277383363863	0.633483695369728	omit_NAA25_07	fixed_0.01
R-HSA-68949	39	0.01	Up	0.490375237758917	0.640609561263306	omit_NAA25_07	fixed_0.01
R-HSA-5578749	14	0.01	Up	0.495770619081293	0.646800079198773	omit_NAA25_07	fixed_0.01
R-HSA-3371571	19	0.01	Up	0.499319250249773	0.650568070761939	omit_NAA25_07	fixed_0.01
R-HSA-9020702	49	0.01	Up	0.502276999347173	0.653557258067325	omit_NAA25_07	fixed_0.01
R-HSA-202403	49	0.01	Up	0.50528028404728	0.656597730589144	omit_NAA25_07	fixed_0.01
R-HSA-69002	49	0.01	Up	0.507496783921783	0.657190155856809	omit_NAA25_07	fixed_0.01
R-HSA-193704	29	0.01	Down	0.507573910553578	0.657190155856809	omit_NAA25_07	fixed_0.01
R-HSA-3371497	40	0.01	Up	0.507737775235565	0.657190155856809	omit_NAA25_07	fixed_0.01
R-HSA-109606	24	0.01	Up	0.509701536547902	0.658866159448404	omit_NAA25_07	fixed_0.01
R-HSA-69052	44	0.01	Up	0.512410355419966	0.661499606931411	omit_NAA25_07	fixed_0.01
R-HSA-202424	40	0.01	Up	0.513182269399475	0.661628972982307	omit_NAA25_07	fixed_0.01
R-HSA-3371568	13	0.01	Up	0.515168202612543	0.663321149769091	omit_NAA25_07	fixed_0.01
R-HSA-168898	41	0.01	Up	0.518432579777242	0.666652860418517	omit_NAA25_07	fixed_0.01
R-HSA-5694530	19	0.01	Down	0.519879606189857	0.667641997518917	omit_NAA25_07	fixed_0.01
R-HSA-176409	38	0.01	Up	0.526577055033661	0.672585422949756	omit_NAA25_07	fixed_0.01
R-HSA-179419	38	0.01	Up	0.526577055033661	0.672585422949756	omit_NAA25_07	fixed_0.01
R-HSA-176814	38	0.01	Up	0.526577055033661	0.672585422949756	omit_NAA25_07	fixed_0.01
R-HSA-174184	38	0.01	Up	0.526577055033661	0.672585422949756	omit_NAA25_07	fixed_0.01
R-HSA-8949613	13	0.01	Down	0.527143092910874	0.672585422949756	omit_NAA25_07	fixed_0.01
R-HSA-5610787	53	0.01	Up	0.529266417524017	0.673768657765338	omit_NAA25_07	fixed_0.01
R-HSA-4641257	32	0.01	Up	0.529438518893778	0.673768657765338	omit_NAA25_07	fixed_0.01
R-HSA-2672351	15	0.01	Down	0.531640046882798	0.675697349909104	omit_NAA25_07	fixed_0.01
R-HSA-5205647	23	0.01	Down	0.536217506092836	0.67891873613701	omit_NAA25_07	fixed_0.01
R-HSA-8849471	11	0.01	Down	0.536640313469821	0.67891873613701	omit_NAA25_07	fixed_0.01
R-HSA-166016	34	0.01	Up	0.536924158953632	0.67891873613701	omit_NAA25_07	fixed_0.01
R-HSA-5654741	15	0.01	Down	0.536931670508356	0.67891873613701	omit_NAA25_07	fixed_0.01
R-HSA-2871837	39	0.01	Up	0.542526691811183	0.680938061541643	omit_NAA25_07	fixed_0.01
R-HSA-2894862	14	0.01	Down	0.542676526203238	0.680938061541643	omit_NAA25_07	fixed_0.01
R-HSA-2644606	14	0.01	Down	0.542676526203238	0.680938061541643	omit_NAA25_07	fixed_0.01
R-HSA-2894858	14	0.01	Down	0.542676526203238	0.680938061541643	omit_NAA25_07	fixed_0.01
R-HSA-2644602	14	0.01	Down	0.542676526203238	0.680938061541643	omit_NAA25_07	fixed_0.01
R-HSA-2644603	14	0.01	Down	0.542676526203238	0.680938061541643	omit_NAA25_07	fixed_0.01
R-HSA-1660662	23	0.01	Down	0.546065273213196	0.68431844034987	omit_NAA25_07	fixed_0.01
R-HSA-8878166	47	0.01	Up	0.549709425046401	0.688009890305851	omit_NAA25_07	fixed_0.01
R-HSA-174154	37	0.01	Up	0.553146012435366	0.688545106066306	omit_NAA25_07	fixed_0.01
R-HSA-174178	37	0.01	Up	0.553146012435366	0.688545106066306	omit_NAA25_07	fixed_0.01
R-HSA-174084	37	0.01	Up	0.553146012435366	0.688545106066306	omit_NAA25_07	fixed_0.01
R-HSA-69017	37	0.01	Up	0.553146012435366	0.688545106066306	omit_NAA25_07	fixed_0.01
R-HSA-5654736	15	0.01	Down	0.553632207111182	0.688545106066306	omit_NAA25_07	fixed_0.01
R-HSA-1799339	99	0.01	Up	0.557577045074829	0.692175457300925	omit_NAA25_07	fixed_0.01
R-HSA-9929491	37	0.01	Up	0.557956663042573	0.692175457300925	omit_NAA25_07	fixed_0.01
R-HSA-499943	23	0.01	Up	0.561651168625573	0.694412598566473	omit_NAA25_07	fixed_0.01
R-HSA-5655253	21	0.01	Up	0.561826780934128	0.694412598566473	omit_NAA25_07	fixed_0.01
R-HSA-194315	269	0.01	Up	0.561874965540588	0.694412598566473	omit_NAA25_07	fixed_0.01
R-HSA-4641258	34	0.01	Up	0.563736304229321	0.695839924393335	omit_NAA25_07	fixed_0.01
R-HSA-8978934	10	0.01	Down	0.564479937274549	0.695885779994281	omit_NAA25_07	fixed_0.01
R-HSA-1257604	93	0.01	Up	0.5683787396023	0.69910663458712	omit_NAA25_07	fixed_0.01
R-HSA-9646399	25	0.01	Up	0.568512095740389	0.69910663458712	omit_NAA25_07	fixed_0.01
R-HSA-156580	27	0.01	Down	0.571848389237695	0.702332498003902	omit_NAA25_07	fixed_0.01
R-HSA-168643	13	0.01	Up	0.573478840875394	0.703457855868322	omit_NAA25_07	fixed_0.01
R-HSA-9920588	15	0.01	Up	0.581023732043594	0.711826338386742	omit_NAA25_07	fixed_0.01
R-HSA-70263	14	0.01	Up	0.58262778247325	0.71290480215671	omit_NAA25_07	fixed_0.01
R-HSA-5673001	100	0.01	Down	0.584341475985981	0.713598954369094	omit_NAA25_07	fixed_0.01
R-HSA-9707564	27	0.01	Down	0.584644016422192	0.713598954369094	omit_NAA25_07	fixed_0.01
R-HSA-400685	14	0.01	Down	0.585461089922325	0.713711848482042	omit_NAA25_07	fixed_0.01
R-HSA-5663220	66	0.01	Up	0.586309253772376	0.713862317633857	omit_NAA25_07	fixed_0.01
R-HSA-264876	17	0.01	Up	0.589263359551279	0.714322643406474	omit_NAA25_07	fixed_0.01
R-HSA-73780	10	0.01	Up	0.589415920487296	0.714322643406474	omit_NAA25_07	fixed_0.01
R-HSA-5339562	17	0.01	Down	0.589511751400174	0.714322643406474	omit_NAA25_07	fixed_0.01
R-HSA-1912422	13	0.01	Down	0.590302886975773	0.714322643406474	omit_NAA25_07	fixed_0.01
R-HSA-8876198	42	0.01	Down	0.590313331708497	0.714322643406474	omit_NAA25_07	fixed_0.01
R-HSA-5601884	12	0.01	Up	0.593181162521367	0.716912202556498	omit_NAA25_07	fixed_0.01
R-HSA-381119	46	0.01	Up	0.59616466098239	0.719635038073105	omit_NAA25_07	fixed_0.01
R-HSA-186763	13	0.01	Up	0.60007979267739	0.722705561447476	omit_NAA25_07	fixed_0.01
R-HSA-9645723	18	0.01	Up	0.600175786054858	0.722705561447476	omit_NAA25_07	fixed_0.01
R-HSA-2142753	12	0.01	Down	0.606455131211089	0.729375218855828	omit_NAA25_07	fixed_0.01
R-HSA-5675221	19	0.01	Down	0.6084039510085	0.730536752249926	omit_NAA25_07	fixed_0.01
R-HSA-9979719	44	0.01	Up	0.608904237154507	0.730536752249926	omit_NAA25_07	fixed_0.01
R-HSA-166208	15	0.01	Up	0.610814261361898	0.73193679737405	omit_NAA25_07	fixed_0.01
R-HSA-416572	12	0.01	Down	0.617339929010046	0.738857630710687	omit_NAA25_07	fixed_0.01
R-HSA-9716542	276	0.01	Up	0.619224685042393	0.740213974231501	omit_NAA25_07	fixed_0.01
R-HSA-168249	384	0.01	Down	0.622102843436783	0.74196412471475	omit_NAA25_07	fixed_0.01
R-HSA-442982	10	0.01	Down	0.622195296461303	0.74196412471475	omit_NAA25_07	fixed_0.01
R-HSA-5654743	14	0.01	Down	0.623410097118253	0.742513839977604	omit_NAA25_07	fixed_0.01
R-HSA-2871796	15	0.01	Down	0.624670484081166	0.743116457512015	omit_NAA25_07	fixed_0.01
R-HSA-204005	39	0.01	Up	0.62623108593229	0.744074330088427	omit_NAA25_07	fixed_0.01
R-HSA-983705	50	0.01	Down	0.629171426817025	0.745066162049656	omit_NAA25_07	fixed_0.01
R-HSA-442742	12	0.01	Down	0.629258587826837	0.745066162049656	omit_NAA25_07	fixed_0.01
R-HSA-157118	66	0.01	Down	0.6293350729191	0.745066162049656	omit_NAA25_07	fixed_0.01
R-HSA-5684996	101	0.01	Down	0.632865022561339	0.748345794985497	omit_NAA25_07	fixed_0.01
