gene	pooled_abundance	backbones	abundance_rank	backbone_rank
RAB31	14.3728693138	1	0.026107362863	0.0513347022587
RAB35	17.064855427	4	0.439131710179	0.408917571135
RAB3A	18.0824598967	3	0.75623349956	0.294074508654
RAB3B	17.0540333387	2	0.434144910531	0.168817835142
RAB3C	16.8312818225	2	0.35318275154	0.168817835142
RAB3D	16.6934433032	1	0.312114989733	0.0513347022587
RAB3GAP1	15.9970354149	5	0.160457612203	0.505426811382
RAB3GAP2	16.8393946059	11	0.356996186565	0.812848342622
RAB4B	16.7038792225	2	0.315928424758	0.168817835142
RAB5A	17.8389770764	5	0.6870049868	0.505426811382
RAB5B	17.4135272173	7	0.546201232033	0.646377236726
RAB5C	17.9635590449	5	0.722205925491	0.505426811382
RAB6A	19.5370736473	8	0.94807861543	0.702552068055
RAB6B	18.7528451819	4	0.880023467292	0.408917571135
RAB7A	18.7733596456	11	0.88295687885	0.812848342622
RAB8A	16.6103940759	5	0.288354356116	0.505426811382
RAB8B	17.3302328661	2	0.518920504547	0.168817835142
RAB9A	17.9759573899	2	0.724259313582	0.168817835142
RABEP1	15.9838318782	5	0.158110882957	0.505426811382
RABGAP1	17.3055000136	12	0.511880316808	0.838222352596
RABGEF1	16.2427600787	4	0.206512173658	0.408917571135
RABGGTA	16.3892119773	2	0.238486359636	0.168817835142
RABL3	16.684952749	3	0.308008213552	0.294074508654
RAC1	17.1076704029	3	0.452038721033	0.294074508654
RAC3	20.1803254906	1	0.978586095629	0.0513347022587
RACK1	18.330450949	14	0.806981519507	0.879143443825
RAD21	15.6700739518	4	0.108536227633	0.408917571135
RAD23A	17.7731370143	4	0.66969785861	0.408917571135
RAD23B	18.2610173089	2	0.794661190965	0.168817835142
RAD50	16.2329653951	11	0.204458785568	0.812848342622
RAE1	17.2506791908	5	0.493986506307	0.505426811382
RALA	16.7255882103	4	0.321795247873	0.408917571135
RALB	17.0453514016	5	0.431798181285	0.505426811382
RALGAPA1	15.9619635362	7	0.152244059842	0.646377236726
RALGAPB	16.0147058429	6	0.163097682605	0.580228806101
RALY	19.602885949	8	0.951598709299	0.702552068055
RALYL	16.8462050344	3	0.359636256967	0.294074508654
RAN	20.181048977	7	0.978879436785	0.646377236726
RANBP1	19.9101742333	3	0.968025814022	0.294074508654
RANBP2	16.9890871633	7	0.411557641537	0.646377236726
RANBP3	16.7569582538	4	0.333235552948	0.408917571135
RANBP6	15.9028450057	11	0.139043707832	0.812848342622
RANBP9	15.1254732655	5	0.0551481372837	0.505426811382
RANGAP1	16.3735355485	4	0.235846289234	0.408917571135
RAP1GDS1	18.1303529352	14	0.766793781167	0.879143443825
RAP2B	16.550966595	3	0.275740686418	0.294074508654
RARS	17.4413582655	22	0.558814901731	0.956585508947
RARS2	15.9275638285	5	0.14403050748	0.505426811382
RASA1	15.875904084	3	0.135230272807	0.294074508654
RASA3	16.3135613296	2	0.221472572602	0.168817835142
RASAL2	15.5544544046	4	0.0944558521561	0.408917571135
RB1CC1	14.1662663009	1	0.0196538574362	0.0513347022587
RBBP4	17.4614618364	10	0.563215019067	0.783660897624
RBBP5	16.4516257119	2	0.254620123203	0.168817835142
RBBP7	14.4551903336	2	0.0290407744207	0.168817835142
RBKS	16.7511378733	1	0.331475506013	0.0513347022587
RBM12	17.3877140803	10	0.535640950425	0.783660897624
RBM12B	17.2243516506	9	0.484892930478	0.747433264887
RBM19	14.2387871333	2	0.0217072455265	0.168817835142
RBM25	15.842611415	7	0.130536814315	0.646377236726
RBM39	17.2787247044	13	0.501320035201	0.859782927545
RBM5	15.9134720121	3	0.140510413611	0.294074508654
RBM6	15.477505441	3	0.0868289821062	0.294074508654
RBM8A	18.0759360425	6	0.755060134937	0.580228806101
RBMX	19.3847344198	5	0.936931651511	0.505426811382
RBP1	18.8634871088	4	0.891757113523	0.408917571135
RBPJ	17.0777845981	5	0.442358462892	0.505426811382
RCC1	17.4396768266	6	0.557641537108	0.580228806101
RCC2	18.6552063497	6	0.866823115283	0.580228806101
RCL1	17.601169399	3	0.614843062482	0.294074508654
RCN1	18.6361255204	10	0.864476386037	0.783660897624
RCN2	17.1019296794	12	0.449691991786	0.838222352596
RCOR3	16.3325952384	3	0.226752713406	0.294074508654
RDH11	18.1857181261	8	0.779994133177	0.702552068055
RDH13	16.9055041089	1	0.379876796715	0.0513347022587
RDX	17.5049618809	21	0.576122029921	0.951158697565
RECQL	16.7617677475	7	0.334995599883	0.646377236726
RECQL5	14.8330186518	1	0.0401877383397	0.0513347022587
REEP1	14.2508269213	1	0.0222939278381	0.0513347022587
REEP5	15.8038786452	1	0.125550014667	0.0513347022587
REEP6	13.9942094014	1	0.0158404224113	0.0513347022587
REPS1	16.8729109792	3	0.368729832796	0.294074508654
RER1	18.468858561	4	0.831915517747	0.408917571135
RETREG3	16.7099261392	3	0.317101789381	0.294074508654
REXO2	15.5297443755	2	0.0921091229099	0.168817835142
RFC1	15.9805241983	1	0.157817541801	0.0513347022587
RFC2	15.8973662422	3	0.138457025521	0.294074508654
RFC3	15.3753183618	2	0.0724552654737	0.168817835142
RFC4	16.8989773846	5	0.377823408624	0.505426811382
RFK	13.2122028534	1	0.00557348195952	0.0513347022587
RGS10	17.2392564649	5	0.490173071282	0.505426811382
RHEB	17.7930232206	4	0.674684658258	0.408917571135
RHOA	17.0352074569	7	0.42798474626	0.646377236726
RHOB	16.2434922855	3	0.207098855969	0.294074508654
RHOC	16.2255136766	1	0.202698738633	0.0513347022587
RHOG	16.2096438001	1	0.200058668231	0.0513347022587
RHOT1	17.3928049192	7	0.537694338516	0.646377236726
RHOT2	16.246401308	2	0.207978879437	0.168817835142
RMDN1	17.6190990801	8	0.620709885597	0.702552068055
RMND1	17.6281693459	8	0.623056614843	0.702552068055
RNF13	18.4407037808	2	0.828102082722	0.168817835142
RNF150	19.5876272644	1	0.950718685832	0.0513347022587
RNF167	13.5916235352	1	0.00997359929598	0.0513347022587
RNF2	16.9426870827	4	0.391317101789	0.408917571135
RNF214	16.0300326597	1	0.167497799941	0.0513347022587
RNH1	16.4791243832	2	0.259606922851	0.168817835142
RNMT	17.4334911528	7	0.554414784394	0.646377236726
RNPS1	18.743716072	2	0.879730126137	0.168817835142
ROBO1	15.1999342401	2	0.0589615723086	0.168817835142
ROBO2	16.6191156402	1	0.29158110883	0.0513347022587
ROCK2	15.8559173998	4	0.132883543561	0.408917571135
RP2	13.7143099111	2	0.0114403050748	0.168817835142
RPA1	17.2205150851	10	0.484306248167	0.783660897624
RPAP3	16.1713094312	5	0.190965092402	0.505426811382
RPF2	16.4473397996	4	0.253153417424	0.408917571135
RPIA	17.0474664224	2	0.432091522441	0.168817835142
RPL10	19.1262027648	6	0.917864476386	0.580228806101
RPL10A	20.4585354809	9	0.984452918744	0.747433264887
RPL11	20.5641649513	5	0.986506306835	0.505426811382
RPL12	19.534106588	8	0.947198591962	0.702552068055
RPL13	16.7435717675	7	0.3282487533	0.646377236726
RPL13A	19.7330145599	8	0.959518920505	0.702552068055
RPL14	19.226771074	4	0.925784687592	0.408917571135
RPL15	17.3195116594	11	0.515400410678	0.812848342622
RPL17	18.3048564763	6	0.803754766794	0.580228806101
RPL18	20.3126814816	4	0.981812848343	0.408917571135
RPL18A	19.5229761103	5	0.946318568495	0.505426811382
RPL19	18.8985003236	5	0.895570548548	0.505426811382
RPL21	20.5365478821	5	0.985919624523	0.505426811382
RPL22	23.1292937573	3	0.998239953065	0.294074508654
RPL23	18.9426419077	6	0.900850689352	0.580228806101
RPL23A	20.2118408527	8	0.979759460252	0.702552068055
RPL24	16.983724856	7	0.407744206512	0.646377236726
RPL26	17.4306764106	2	0.553241419771	0.168817835142
RPL26L1	18.3401852596	7	0.808741566442	0.646377236726
RPL27	19.8282734523	6	0.963039014374	0.580228806101
RPL27A	20.3804137172	4	0.983572895277	0.408917571135
RPL28	20.0123298795	8	0.973599295981	0.702552068055
RPL3	18.471441233	18	0.832502200059	0.92725139337
RPL30	17.186259132	4	0.474919331182	0.408917571135
RPL31	18.1290807109	7	0.766500440012	0.646377236726
RPL32	18.9047934184	6	0.896743913171	0.580228806101
RPL34	18.5357601626	4	0.84628923438	0.408917571135
RPL35	20.4899175396	3	0.985332942212	0.294074508654
RPL35A	16.8202328146	10	0.350249339982	0.783660897624
RPL36	18.7004204348	3	0.871516573775	0.294074508654
RPL36A	19.6798909956	2	0.95570548548	0.168817835142
RPL36AL	18.2606675206	1	0.794367849809	0.0513347022587
RPL37A	14.2938018983	3	0.0231739513054	0.294074508654
RPL38	22.5348155125	3	0.997066588442	0.294074508654
RPL3L	17.9032937966	1	0.707245526547	0.0513347022587
RPL4	18.7281769535	17	0.876503373423	0.917131123497
RPL5	18.170586621	11	0.774713992373	0.812848342622
RPL6	19.8172309435	14	0.962158990906	0.879143443825
RPL7	19.3481628578	14	0.93487826342	0.879143443825
RPL7A	17.9926806551	9	0.729539454385	0.747433264887
RPL7L1	18.1614322391	3	0.772073921971	0.294074508654
RPL8	21.4212760948	6	0.993839835729	0.580228806101
RPL9	19.1938659592	9	0.924024640657	0.747433264887
RPLP0	20.6128450814	10	0.986799647991	0.783660897624
RPLP1	20.2166877668	1	0.980346142564	0.0513347022587
RPLP2	21.1258350806	5	0.991786447639	0.505426811382
RPN1	18.7000743065	33	0.87122323262	0.988119683192
RPN2	18.3748093227	18	0.816368436492	0.92725139337
RPP30	17.0485003373	4	0.432384863596	0.408917571135
RPP40	15.5510559697	4	0.0938691698445	0.408917571135
RPRD1A	17.1848013396	6	0.474332648871	0.580228806101
RPRD1B	18.0182696431	6	0.737753006747	0.580228806101
RPRD2	14.2974936551	1	0.0234672924611	0.0513347022587
RPS10	20.3142167743	4	0.982106189498	0.408917571135
RPS11	18.3062504321	9	0.80404810795	0.747433264887
RPS12	18.9891067661	5	0.907304194779	0.505426811382
RPS13	20.7589452164	9	0.987973012614	0.747433264887
