beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	excluded_gene
0.010943361248966887	0.1672933019892256	0.06541422231998079	10	0.5254332712595711	0.949133457480858	-0.3618093445902993	0.38369606708823306	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	ADRM1
-0.013695754011769257	0.1712193226142303	-0.07998953507500316	10	0.4689118657476783	0.9378237314953566	-0.39519617893930786	0.36780467091576935	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PAAF1
0.010570779473095815	0.1737638285340639	0.06083417683803833	10	0.5236550394744948	0.9526899210510104	-0.3765991579535331	0.39774071689972473	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	POMP
0.0005698778891667367	0.16741583439845906	0.0034039664839013695	10	0.5013245090839962	0.9973509818320078	-0.37245584717173996	0.37359560295007344	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMA1
-0.006805564688481702	0.17365647784307936	-0.03918981182280682	10	0.48475520806675315	0.9695104161335063	-0.39373630986974034	0.38012518049277694	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMA3
-0.0025554008885175783	0.17512396662397758	-0.014591954132722908	10	0.49432236994147605	0.9886447398829521	-0.39275591483734956	0.3876451130603144	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMA4
0.006958186157665747	0.16969580986922994	0.041003877249696535	10	0.5159500360444375	0.9680999279111251	-0.37114764083124124	0.38506401314657274	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMA5
0.01600556496651917	0.16913548883715818	0.09463161798012217	10	0.5367616079303763	0.9264767841392475	-0.3608517889612437	0.39286291889428204	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMA7
0.009318170843925166	0.1658458212102263	0.056185743939326904	10	0.5218496989003685	0.9563006021992629	-0.36020934683414935	0.3788456885219997	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB1
0.0034184964144166052	0.17369652671865154	0.01968085648571306	10	0.5076574424972797	0.9846851150054404	-0.38360148322248283	0.39043847605131604	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB2
-0.004498933758077861	0.1687508015949588	-0.026660221554836515	10	0.48962763585879027	0.9792552717175805	-0.38049915109563287	0.37150128357947715	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB3
0.009765853157931215	0.17303601305004196	0.05643826961678164	10	0.5219477875624405	0.956104424875119	-0.3757824103116712	0.39531411662753363	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB4
0.0051129402603100615	0.17156694177872994	0.029801430318110035	10	0.5115940986250374	0.9768118027499254	-0.3771620284333452	0.3873879089539653	pathway_score ~ PD + age + sex + pmi	GSE243639_replication_adjusted	GSE243639	PSMB5
