beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	gene	FDR_BH
-0.3472355216272154	0.35095334726929467	-0.9894064961311609	13	0.1702615355413875	0.340523071082775	-1.1054241329485008	0.4109530896940702	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD5	0.7570077950756927
-0.15512808901999842	0.3962332838769854	-0.391506961510481	13	0.35088223420671183	0.7017644684134237	-1.0111380561551613	0.7008818781151643	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD6	0.9997968670742964
-0.5132536728304345	0.38458773474175534	-1.3345554901148275	13	0.10246324541709942	0.20492649083419884	-1.344104960626549	0.31759761496567984	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD7	0.7410020396256645
-0.332005237436643	0.52872349009666	-0.6279373692588287	13	0.27045970706139144	0.5409194141227829	-1.4742428933770824	0.8102324185037962	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD8	0.925550144855129
-1.0235675259519996	0.32037154980814786	-3.194938896930628	13	0.003517904977164664	0.007035809954329328	-1.7156881805799302	-0.331446871324069	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMD9	0.33771887780780774
0.41997214845905756	0.7369365036176944	0.5698891918060411	13	0.7107655797327722	0.5784688405344556	-1.1720823757598877	2.0120266726780027	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSME1	0.925550144855129
-0.004193058724315635	0.43716156920272564	-0.0095915538320597	13	0.49624639797014936	0.9924927959402987	-0.9486232106399736	0.9402370931913423	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSME2	0.9997968670742964
9.013450419859126e-05	0.3473019076597088	0.0002595278120006939	13	0.5001015664628519	0.9997968670742964	-0.7502100211335709	0.7503902901419681	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSME3	0.9997968670742964
0.18604950965467015	0.15034635920810313	1.237472664018077	13	0.88110117663716	0.23779764672568002	-0.13875405239181182	0.5108530717011521	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSME4	0.7410020396256645
-0.27163041334446536	0.18050297051393027	-1.5048528706817175	13	0.07813294914154142	0.15626589828308285	-0.6615833732411878	0.11832254655225699	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMF1	0.7410020396256645
-0.169736340976953	0.27050651119390096	-0.6274759902370143	13	0.2706062119497041	0.5412124238994082	-0.7541301291293578	0.41465744717545183	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMG1	0.925550144855129
0.3986548190535124	0.17322971614449315	2.3013073502988903	13	0.9807174158647664	0.03856516827046721	0.024414769927003033	0.7728948681800218	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMG2	0.4361638975878781
0.8063269265266257	0.6342916209342897	1.271224307423349	13	0.8870380130832838	0.22592397383343252	-0.5639768103967917	2.176630663450043	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMG3	0.7410020396256645
0.1572965957345981	0.3385369100459596	0.46463647261754587	13	0.6750611306134757	0.6498777387730484	-0.5740679337844565	0.8886611252536527	pathway_score ~ PD + age + sex + pmi	GSE178265_PD_plus_LBD_adjusted	GSE178265	PSMG4	0.9811383859281086
-0.20502062997233397	0.523114775995553	-0.3919228425198925	19	0.3497382557439126	0.6994765114878252	-1.2999124393474406	0.8898711794027726	pathway_score ~ PD + age + sex + pmi	GSE243639_DA_min1_adjusted	GSE243639	ADRM1	0.9500003333692976
