contrast	gene	logFC	t	p_value	residual_variance	residual_df	FDR
VTA_MPTP2_vs_control	MFN1	-0.05116113100000001	-0.7863344223691807	0.4469222069979679	0.006349754830991897	12.0	0.9116095608118527
VTA_MPTP2_vs_control	ITSN1	-0.06610226566666666	-0.6118126734227451	0.5520772892251379	0.0175100348987432	12.0	0.9382547345229648
VTA_MPTP2_vs_control	RHOT1	-0.07957275333333332	-0.4357535194340348	0.6707510086321266	0.050019370669532597	12.0	0.9623013064361304
VTA_MPTP2_vs_control	CLTCL1						
VTA_MPTP2_vs_control	SH3GL2	0.058023451999999996	0.3608078556699514	0.7245148460007398	0.038792379109838265	12.0	0.9710540106018601
VTA_MPTP2_vs_control	WLS	-0.4290945866666666	-1.7692434508126247	0.10223715285076651	0.08823119005769627	12.0	0.7709260287696348
baseline_SN_minus_VTA	SNX3	0.18663597066666665	1.5711579745940547	0.14212686906455033	0.021166168565818964	12.0	0.9984998157232244
baseline_SN_minus_VTA	VPS26B	-0.029996872333333334	-0.15350759755460505	0.880549232146071	0.05727742149784637	12.0	0.9984998157232244
baseline_SN_minus_VTA	VPS26A	0.0008211160000000141	0.0041225251550387	0.9967784518415431	0.05950776782087444	12.0	0.9996652553885711
baseline_SN_minus_VTA	VPS29	0.12683157133333334	1.1705077129905044	0.26451750128348916	0.017611544541804938	12.0	0.9984998157232244
baseline_SN_minus_VTA	SNX2	0.250213942	1.7966230667881538	0.09759221252648137	0.029093791799682345	12.0	0.9984998157232244
baseline_SN_minus_VTA	HSPA8	-0.022704280166666663	-0.1939277986174964	0.8494764484246623	0.02056016513230528	12.0	0.9984998157232244
baseline_SN_minus_VTA	SNX1	0.15989542	0.7504580198440529	0.46743941331496286	0.06809425944420495	12.0	0.9984998157232244
baseline_SN_minus_VTA	MFN2	-0.04564619099999997	-0.32961374449232883	0.7473741729807909	0.028766678489431912	12.0	0.9984998157232244
baseline_SN_minus_VTA	CLTC	-0.160634077	-0.8727158371796141	0.39994418561014505	0.05081839084247649	12.0	0.9984998157232244
baseline_SN_minus_VTA	SNCAIP	-0.145299879	-0.6968974760232154	0.49914539733833446	0.06520546270793526	12.0	0.9984998157232244
baseline_SN_minus_VTA	EPS15	0.14100638999999998	0.6486218647778722	0.5288003334008422	0.07089011456958459	12.0	0.9984998157232244
baseline_SN_minus_VTA	UBC	-0.08335272483333332	-0.7442931325727985	0.4710236307866595	0.018812340838793493	12.0	0.9984998157232244
baseline_SN_minus_VTA	UBB						
baseline_SN_minus_VTA	TOMM20	-0.10499159300000002	-0.8770882656963923	0.39765822999154526	0.021493824965502163	12.0	0.9984998157232244
baseline_SN_minus_VTA	UBA52	0.07997544666666666	0.47644719113415773	0.6423137244063714	0.0422644348262086	12.0	0.9984998157232244
baseline_SN_minus_VTA	MFN1	-0.17031987666666668	-2.6177760189991384	0.022476941581315756	0.006349754830991897	12.0	0.9984998157232244
baseline_SN_minus_VTA	ITSN1	-0.029687720000000008	-0.2747761087739102	0.7881617616770964	0.0175100348987432	12.0	0.9984998157232244
baseline_SN_minus_VTA	RHOT1	0.27003320166666667	1.4787463429520284	0.16497228063814365	0.050019370669532597	12.0	0.9984998157232244
baseline_SN_minus_VTA	CLTCL1						
baseline_SN_minus_VTA	SH3GL2	0.037346523333333326	0.23223228774164975	0.8202709456818977	0.038792379109838265	12.0	0.9984998157232244
baseline_SN_minus_VTA	WLS	0.055795906666666686	0.2300577670275725	0.8219218634658418	0.08823119005769627	12.0	0.9984998157232244
