gene	eligible_probe_n	eligible_probes
2010111I01RIK	4	1430861_at;1435089_at;1440640_at;1460695_a_at
2010204K13RIK	1	1421498_a_at
2010300C02RIK	1	1452861_at
2010300F17RIK	1	1454224_at
2010308F09RIK	1	1459059_at
2010309G21RIK	2	1428719_at;1428720_s_at
2010315B03RIK	1	1438238_at
2010320M18RIK	1	1434792_at
2010320O07RIK	1	1441288_at
2200002D01RIK	1	1428671_at
2200002J24RIK	1	1460478_at
2210008F06RIK	1	1430013_at
2210010C04RIK	3	1422434_a_at;1422435_at;1422436_at
2210011C24RIK	1	1429953_at
2210011K15RIK	1	1431943_at
2210013O21RIK	1	1430538_at
2210016F16RIK	3	1428331_at;1452744_at;1457375_at
2210016H18RIK	1	1430637_at
2210016L21RIK	1	1433690_at
2210017G18RIK	2	1433208_at;1433209_at
2210019G11RIK	1	1453640_at
2210019I11RIK	1	1453403_at
2210039B01RIK	1	1432355_at
2210402A03RIK	1	1430356_at
2210406H18RIK	1	1430878_at
2210406O10RIK	1	1431769_at
2210407C18RIK	1	1425233_at
2210408I21RIK	1	1453502_at
2210408K08RIK	1	1437087_at
2210409D07RIK	1	1432559_at
2210409E12RIK	1	1449344_s_at
2210409O19RIK	2	1432755_at;1432756_at
2210411G17RIK	2	1432667_at;1432668_at
2210416J07RIK	1	1432665_at
2300002M23RIK	1	1429496_x_at
2300004M11RIK	2	1433117_at;1433118_at
2300009A05RIK	2	1428836_at;1447866_x_at
2300010F08RIK	2	1432673_at;1432674_at
2310001H17RIK	2	1446096_at;1446342_at
2310001K24RIK	1	1430525_at
2310002L09RIK	2	1430462_at;1432420_a_at
2310005A03RIK	1	1432093_at
2310005E17RIK	1	1453945_at
2310007B03RIK	1	1453511_at
2310007H11RIK	2	1433033_at;1433034_at
2310007J06RIK	1	1453829_at
2310008B10RIK	1	1453311_at
2310009A05RIK	2	1435237_at;1435238_x_at
2310009B15RIK	2	1435776_at;1455761_at
2310010J17RIK	1	1439962_at
2310011E23RIK	1	1435111_at
2310011J03RIK	1	1452043_at
2310015A10RIK	2	1439804_at;1447255_at
2310015D24RIK	1	1431714_at
2310015K22RIK	1	1431572_at
2310016D03RIK	1	1431558_at
2310016G11RIK	1	1432445_at
2310022A10RIK	1	1431712_a_at
2310022B05RIK	1	1428910_at
2310024H09RIK	1	1431407_at
2310026I22RIK	1	1432145_at
2310029O18RIK	1	1454031_at
2310030G06RIK	1	1449357_at
2310031A07RIK	1	1430419_at
2310033P09RIK	2	1418999_at;1459267_at
2310034C09RIK	1	1449986_at
2310034G01RIK	1	1440229_at
2310034O05RIK	1	1430964_at
2310035C23RIK	6	1430126_at;1433726_at;1438361_at;1438362_x_at;1454707_at;1457678_at
2310035P21RIK	1	1445881_at
2310036O22RIK	1	1428201_at
2310039F13RIK	1	1445537_at
2310039H08RIK	1	1417348_at
2310040G07RIK	1	1432554_at
2310040G24RIK	1	1443575_at
2310043L19RIK	1	1440008_at
2310043M15RIK	1	1453442_at
2310045N14RIK	2	1433296_at;1454547_at
2310046K23RIK	1	1454264_at
2310047D07RIK	1	1458587_at
2310047K21RIK	1	1428990_at
2310047N11RIK	1	1457631_at
2310050C09RIK	1	1417808_at
2310050P20RIK	1	1453841_at
2310057B04RIK	1	1430446_at
2310057M21RIK	3	1429508_at;1430862_at;1439419_at
2310057N15RIK	1	1421575_at
2310058F05RIK	2	1432794_at;1432795_at
2310058N22RIK	1	1429215_at
2310061A09RIK	2	1432600_at;1454294_at
2310061G22RIK	1	1430493_at
2310061I04RIK	2	1434155_a_at;1437985_a_at
2310061N02RIK	1	1431504_at
2310065F04RIK	1	1453657_at
2310066F23RIK	1	1430428_at
2310067E19RIK	2	1438072_at;1453448_at
2310067P03RIK	1	1431764_at
2310068C19RIK	1	1430412_at
2310068G24RIK	2	1433022_at;1433023_at
2310068J16RIK	1	1432268_at
2310069B03RIK	1	1431599_at
2310075K07RIK	1	1436198_at
2310075M01RIK	2	1433248_at;1454524_at
2310079F09RIK	2	1433201_at;1460536_at
2310079G19RIK	1	1454242_at
2410002F23RIK	1	1460672_at
2410003I16RIK	1	1441939_x_at
2410004B18RIK	1	1419174_at
2410004I01RIK	1	1436612_at
2410004P03RIK	1	1431991_at
2410006F04RIK	1	1432500_at
2410006H16RIK	1	1447936_at
2410012E07RIK	1	1432118_at
2410015M20RIK	2	1427237_at;1427909_at
2410016O06RIK	1	1448413_at
2410017I17RIK	1	1453394_at
2410018L13RIK	2	1430845_at;1431317_at
2410021H03RIK	1	1447709_at
2410022M11RIK	2	1441783_at;1453081_at
2410024F20RIK	1	1431881_at
2410024N13RIK	1	1432302_s_at
2410049M19RIK	2	1432963_at;1432964_at
2410087M07RIK	1	1430273_at
2410089E03RIK	7	1437439_at;1441571_at;1443422_at;1443691_at;1444220_at;1452951_at;1458493_a_at
2410124H12RIK	1	1432515_at
2410131K14RIK	3	1431108_at;1435935_at;1455935_at
2410137M14RIK	1	1432454_at
2500002B13RIK	1	1442015_at
2500004C02RIK	1	1430305_at
2510002D24RIK	1	1457675_at
2510009E07RIK	2	1428097_at;1440062_at
2510016G02RIK	1	1430906_at
2510017J16RIK	1	1430393_at
2510019K15RIK	2	1432650_at;1432651_at
2510022D24RIK	2	1429245_at;1453066_at
2510039O18RIK	2	1438646_x_at;1451078_at
2510042H12RIK	1	1431679_at
2600002B07RIK	1	1429967_at
2600006K01RIK	1	1432448_at
2610001J05RIK	2	1428552_at;1448002_x_at
2610005L07RIK	8	1429041_at;1429882_at;1436740_at;1437717_x_at;1440184_at;1440387_at;1452997_at;1457673_at
2610005M20RIK	1	1430361_at
2610007B07RIK	1	1453542_at
2610008E11RIK	1	1429281_at
2610008G14RIK	1	1453966_at
2610011E03RIK	2	1432890_at;1454404_at
2610011I18RIK	2	1433051_at;1454453_at
2610012C04RIK	2	1432606_at;1432607_at
2610019N06RIK	2	1429202_at;1455769_at
2610020C07RIK	2	1430618_at;1456666_at
2610020H08RIK	4	1420101_at;1430214_a_at;1430215_at;1434327_at
2610020P09RIK	1	1453627_at
2610021J01RIK	2	1433355_at;1433356_at
2610024D14RIK	2	1432961_at;1432962_at
2610027F03RIK	1	1454178_at
2610027H17RIK	1	1442445_at
2610027K06RIK	1	1444060_at
2610028D06RIK	1	1431551_at
2610028E06RIK	1	1456708_at
2610028H24RIK	1	1453919_at
2610028L16RIK	1	1460474_at
2610030P05RIK	1	1430264_at
2610034E01RIK	1	1460483_at
2610035D17RIK	2	1447695_at;1453261_at
2610035F20RIK	1	1430350_at
2610037D02RIK	2	1453519_at;1459189_at
2610044O15RIK8	2	1428693_at;1452876_x_at
2610105M22RIK	2	1432773_at;1432774_at
