gene	phenotype_plusAO	source_rows_plusAO	unique_tss_plusAO	phenotype_noAO	source_rows_noAO	unique_tss_noAO	percentile_plusAO	percentile_noAO	delta_rank	mode
SPATA31D1	0.49650264608266198	1	1	-0.304106234989861	1	1	0.78379023278010496	0.47640383901585448	-0.30738639376425048	CRISPRi
SPATA31E1	0.50326504771389602	1	1	0.228168831596684	1	1	0.78622938649981444	0.71040352086536929	-0.075825865634445155	CRISPRi
SPATA32	-1.4443913639564001	1	1	0.56701504347848297	1	1	0.20337769765098893	0.82689962352192592	0.62352192587093702	CRISPRi
SPATA33	2.4820725726628998	1	1	0.12212599917053001	1	1	0.99080014847022646	0.66480195132297581	-0.32599819714725065	CRISPRi
SPATA4	-0.099934398442116906	1	1	-2.1397323293257902	1	1	0.56288774590381252	0.11657564027785143	-0.44631210562596108	CRISPRi
SPATA5	-2.0522855099917399	1	1	-3.5975295114186898	1	1	0.14070205207062941	0.051885041624688474	-0.088817010445940939	CRISPRi
SPATA6	-1.3131880610292099	1	1	-0.00177775011168572	1	1	0.22124714990190361	0.60928469165915478	0.38803754175725114	CRISPRi
SPATA6L	-0.059466763417315202	1	1	0.94220220221935302	1	1	0.57911342064796645	0.9100429503154992	0.33092952966753275	CRISPRi
SPATA7	-0.42526862589200098	1	1	-0.68313204829819296	1	1	0.44098308499920463	0.33652367569860542	-0.10445940930059922	CRISPRi
SPATA8	2.3703658329349402	1	1	1.22788197694698	1	1	0.98867914523569644	0.94445622779574734	-0.044222917439949105	CRISPRi
SPATA9	0.36666961927548603	1	1	1.18430605395537	1	1	0.74137016808950629	0.94047934673100375	0.19910917864149746	CRISPRi
SPATC1	-0.83586589095172803	1	1	-0.53089296727457602	1	1	0.3179118723156053	0.38700355268041786	0.069091680364812558	CRISPRi
SPATC1L	-0.5794988385341665	2	2	-2.7425082358989652	2	2	0.38822312954027255	0.082162362797603264	-0.3060607667426693	CRISPRi
SPATS1	-3.4042167088879101	1	1	1.5131178881081899	1	1	0.069436343390423677	0.96524205949414077	0.89580571610371706	CRISPRi
SPATS2	0.66271535986087304	1	1	0.29439097985948998	1	1	0.82976297788854125	0.73760538734821568	-0.092157590540325574	CRISPRi
SPATS2L	0.60995506843724001	1	1	0.19123096476898899	1	1	0.81581738162150697	0.69460204676812132	-0.12121533485338565	CRISPRi
SPC24	-3.2639917859399099	1	1	-2.96761211304137	1	1	0.07367834985948353	0.073254149212577543	-0.00042420064690598669	CRISPRi
SPC25	-1.52868156484034	1	1	-4.1438199527557398	1	1	0.19256058115488625	0.039795323187867861	-0.1527652579670184	CRISPRi
SPCS1	-0.54828501626789405	1	1	0.052271822483246397	1	1	0.3976085688530675	0.63256270215812083	0.23495413330505333	CRISPRi
SPCS2	-16.1154878015798	1	1	-12.5252252713899	1	1	0.0011930643194230871	0.0019354154515085636	0.00074235113208547649	CRISPRi
SPCS3	-4.5688310774364256	2	2	-3.4547431937956512	2	2	0.043348003605705496	0.054960496314756878	0.011612492709051382	CRISPRi
SPDEF	-0.61658188306834805	1	1	-0.0048779075384782098	1	1	0.37671668699294769	0.60801208971843679	0.2312954027254891	CRISPRi
SPDL1	-1.00756394630374	1	1	-2.2984610018031799	1	1	0.27830213691075878	0.106235749509518	-0.17206638740124078	CRISPRi
SPDYA	0.025065799229354979	2	2	-0.059943774644094006	2	2	0.61511745055411204	0.58372660268306908	-0.031390847871042959	CRISPRi
SPDYC	-1.17994841084389	1	1	-0.156835364782026	1	1	0.24282835781324566	0.53950368524311998	0.29667532742987435	CRISPRi
SPDYE2	0.37760979534806949	2	2	-0.1550637369264295	2	2	0.74508192374993376	0.54035208653693201	-0.20472983721300175	CRISPRi
SPDYE2B	0.35143303013644045	2	2	-0.52434444910595857	2	2	0.73585555967972849	0.38901850575322128	-0.34683705392650721	CRISPRi
SPDYE4	-0.18874049384897601	1	1	-1.01687382916624	1	1	0.52614136486558138	0.2537515244710748	-0.27238984039450659	CRISPRi
SPECC1	-1.4671115080835904	2	2	-1.2261363686797579	2	2	0.19977199215228802	0.21339943793414284	0.013627445781854819	CRISPRi
SPECC1L	-2.6611719833842402	1	1	-0.71867786714777504	1	1	0.10050904077628718	0.32628983509199849	0.2257807943157113	CRISPRi
SPEF1	-5.2183877189351699	1	1	-2.4658434832615899	1	1	0.032636937271329339	0.095789808579458083	0.063152871308128744	CRISPRi
SPEF2	-1.8170691821749201	1	1	-4.3081833966805299	1	1	0.16138183360729624	0.036136592608303729	-0.12524524099899251	CRISPRi
