beta_PD	se_PD	t_PD	df_residual	p_one_sided_down	p_two_sided	ci95_low	ci95_high	model	analysis	cohort	gene	FDR_BH
-0.630072678716	0.685248039139	-0.919481184518	24	0.183496825877	0.366993651754	-2.04435512105	0.784209763622	pathway_score ~ PD + age + sex + pmi	GSE243639_all_neurons_adjusted	GSE243639	PSMC5	0.899109213254
-0.504731890974	0.241617391614	-2.08897169034	24	0.0237447914151	0.0474895828301	-1.00340567799	-0.00605810395786	pathway_score ~ PD + age + sex + pmi	GSE243639_all_neurons_adjusted	GSE243639	PSMD1	0.899109213254
-0.255475828572	0.680322010494	-0.375521921431	24	0.355285468242	0.710570936484	-1.65959144747	1.14863979033	pathway_score ~ PD + age + sex + pmi	GSE243639_all_neurons_adjusted	GSE243639	PSMD2	0.899109213254
-0.196785714705	0.353529347261	-0.556631906883	24	0.291466333365	0.582932666731	-0.926434426011	0.532862996601	pathway_score ~ PD + age + sex + pmi	GSE243639_all_neurons_adjusted	GSE243639	PSMD4	0.899109213254
-0.0490295611677	0.427899708471	-0.114581898976	24	0.454864875455	0.90972975091	-0.932171154003	0.834112031667	pathway_score ~ PD + age + sex + pmi	GSE243639_all_neurons_adjusted	GSE243639	PSMG1	0.970971424012
-0.356708141715	0.31108942458	-1.14664181271	9	0.140549583347	0.281099166695	-1.0604413118	0.347025028369	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	POMP	0.681359011161
0.355128931197	0.187814711108	1.89084725633	9	0.954393654781	0.0912126904385	-0.0697374628144	0.779995325208	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	PSMA4	0.681359011161
-0.625486693583	0.350443338453	-1.78484401029	9	0.0539735478654	0.107947095731	-1.41824460182	0.167271214653	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	PSMB4	0.681359011161
-0.312792214652	0.638982412077	-0.489516156845	9	0.318092931006	0.636185862012	-1.75827085503	1.13268642573	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	PSMC5	0.934928831589
-0.960287320396	0.206295651686	-4.65490819872	9	0.000596896761869	0.00119379352374	-1.42696050651	-0.49361413428	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	PSMD1	0.0513331215208
-0.183647676852	0.150498141273	-1.22026541523	9	0.126686037228	0.253372074456	-0.524098125121	0.156802771416	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	PSMD2	0.681359011161
-0.42805181886	0.399591852274	-1.07122258981	9	0.155976846985	0.31195369397	-1.33199138968	0.475887751958	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	PSMD4	0.681359011161
1.01272705591	0.706480050187	1.43348287845	9	0.907234153164	0.185531693671	-0.585441849997	2.61089596181	pathway_score ~ PD + age + sex + pmi + rin	GSE243639_replication_RIN_adjusted	GSE243639	PSMG1	0.681359011161
