gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
UBQLN1	2	5	5	-0.17554932415	0.885430316261	0.224291544695	4.16653610082	-0.788587894899	0.437489246599	0.475911777225	0.611245412824
UBQLN4	2	5	5	0.413428783703	1.33184739307	0.262628322233	5.52718719043	-0.242763229999	1.0696207974	0.170697918027	0.311789173598
UBR1	2	5	4	0.301390479947	1.23233157127	0.122546851472	6.87013173679	0.0104990778063	0.592281882087	0.0441389344028	0.136861617093
UBR4	34	5	5	-0.222693193003	0.856964179455	0.306072292461	4.13559685641	-1.06160956897	0.616223182959	0.505926042011	0.640731085393
UBR5	5	5	5	0.376508509298	1.29819626386	0.118819532933	7.94336748092	0.102169772739	0.650847245857	0.0133409947849	0.0743140096228
UBTF	11	5	5	0.903622072417	1.87075686905	0.101293840955	6.99617789309	0.664073670535	1.1431704743	4.53282111294e-05	0.0139943337384
UBXN1	3	5	5	1.02041805225	2.02850667833	0.333849546849	7.93561798	0.249471078482	1.79136502602	0.0158166509831	0.0811303172755
UCHL1	9	5	5	0.611788195909	1.52815215413	0.211295456912	7.06080186178	0.113024695269	1.11055169655	0.0229180518273	0.0977907353137
UCHL3	4	5	5	-0.136796123069	0.909536775473	0.171184232874	7.83313604949	-0.533016194107	0.259423947969	0.447773686766	0.587435720701
UCHL5	6	5	5	0.598250283053	1.51387940252	0.171478768954	6.84457514712	0.190893393166	1.00560717294	0.0105163349057	0.0652160103345
UFC1	2	5	5	0.498621661543	1.4128630801	0.302381850765	7.78449217193	-0.202046601313	1.1992899244	0.138807691021	0.271406976205
UFD1	5	5	5	0.40719596522	1.32610587666	0.245885123187	5.4070021288	-0.210826138382	1.02521806882	0.154198022159	0.289852477803
UFL1	2	5	5	0.0958249490195	1.06867631433	0.175496196412	7.97483028908	-0.30909244039	0.500742338429	0.599987361406	0.719700286836
UFSP2	2	5	4	0.473613848385	1.38858341792	0.119348098268	6.18770507863	0.183713612097	0.763514084673	0.00693522297095	0.0539728011871
UGCG	5	5	5	-0.659418761457	0.633133324804	0.134921452014	6.62631630591	-0.982141056654	-0.33669646626	0.00207790682044	0.0337334072598
UGDH	6	5	5	0.382615966332	1.30370365377	0.119884956372	7.5036789794	0.102945297607	0.662286635057	0.0138957102131	0.0754673464181
UGGT1	47	5	5	-0.424184318496	0.745259973018	0.121675126698	5.72704250712	-0.725386406919	-0.122982230073	0.0140657702134	0.0756387233508
UGP2	14	5	5	0.170637458854	1.12555570478	0.0661970368047	7.82488510346	0.0173901326987	0.323884785009	0.0333298187481	0.117433719589
UGT8	2	5	4	-0.448589462678	0.732758923562	0.16408726118	6.97519443687	-0.83687407422	-0.0603048511369	0.0292771658632	0.108564854341
UHRF1BP1	2	5	4	-1.11499239951	0.46169358768	1.10733975013	6.75607266025	-3.75272195155	1.52273715253	0.348670334465	0.495840021823
UMPS	2	5	5	-0.15171005008	0.900182828532	0.568767977172	6.23221819591	-1.53096101818	1.22754091802	0.798280794337	0.871756255151
UNC13B	9	5	5	-0.35540919928	0.781647908724	0.122922919512	7.27497647406	-0.643863315713	-0.0669550828471	0.0223149182476	0.0962123614802
UPF1	26	5	5	-0.201468453765	0.869664920216	0.248728195697	4.09248904556	-0.885936913158	0.483000005628	0.462414189103	0.598152455872
UPF2	5	5	5	0.43192577474	1.34903312611	0.2627165126	7.1139044375	-0.187289348747	1.05114089823	0.143473362244	0.277549596043
UQCC1	4	5	5	-1.07903184735	0.473346366428	0.173396473534	6.44859669638	-1.49626477648	-0.661798918222	0.000602218411004	0.0242324476519
