gene	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH	precursor_features	peptide_backbones	runs_observed	control_runs	knockdown_runs
MIC13	5	5	0.52238546229	1.43632822055	0.289280855901	5.11484627148	-0.216240561246	1.26101148583	0.129462409529	0.260949476938	9	2	10	5	5
MICAL1	5	5	0.339016941272	1.26489439566	0.444675798034	4.19506781183	-0.873286331364	1.55132021391	0.486446064334	0.622689613	5	5	10	5	5
MICAL3	5	4	-0.84798214483	0.555561240056	0.178889566803	5.33400586769	-1.29930503507	-0.396659254588	0.00435265180087	0.0432484851844	1	1	9	5	4
MICU1	5	5	-0.259986459941	0.835095756977	0.282245819982	5.38006012691	-0.970374227067	0.450401307184	0.396405962499	0.541661796154	4	3	10	5	5
MICU3	5	5	-0.700199189064	0.615487222123	0.181157420806	7.41253000021	-1.12378266017	-0.276615717956	0.00552591037351	0.0496561388345	6	6	10	5	5
MIEF1	5	5	-0.623457924626	0.649113234174	0.290774101653	7.32086658739	-1.30496729646	0.0580514472084	0.0675068278244	0.17491286635	4	4	10	5	5
MIEN1	5	4	0.0826923108456	1.05899245518	0.181841293012	3.94051665701	-0.425199960132	0.590584581823	0.673212893531	0.778084387066	2	2	9	5	4
MIF	5	5	0.525411792146	1.43934435714	0.274124660566	7.99011466066	-0.106856964691	1.15768054898	0.0916271354446	0.210259830211	4	3	10	5	5
MINOS1	5	5	-1.03267549282	0.488802817862	0.656642209672	4.51375203499	-2.77681455947	0.711463573817	0.182813951246	0.323655311644	1	1	10	5	5
MINPP1	5	5	-0.413896939679	0.750593166194	0.226422505284	5.52523266925	-0.979680062459	0.151886183101	0.121530149752	0.251478213547	4	4	10	5	5
MIOS	5	5	0.29476813006	1.22668780815	0.115935880983	7.20427757253	0.0221912963886	0.567344963731	0.0376183207935	0.125794103113	3	3	10	5	5
MIPEP	5	4	-0.0833861733438	0.943839743065	0.226092523573	6.58500617149	-0.624916553686	0.458144206999	0.723836599167	0.814880683515	2	2	9	5	4
MLEC	5	5	-0.4848647152	0.714564073029	0.208454919133	5.40807092507	-1.00877917514	0.0390497447375	0.0636450909508	0.170084718767	19	12	10	5	5
MLH1	5	5	0.771162000271	1.70664382455	0.297557693789	7.67906578529	0.079968853685	1.46235514686	0.0331396848057	0.117019724868	2	2	10	5	5
MLST8	5	5	0.0591204195445	1.04183038537	0.345871311086	7.99986772514	-0.738462549571	0.85670338866	0.868521603306	0.914785987126	1	1	10	5	5
MLYCD	5	5	-0.61208561271	0.654250209923	0.140593044718	7.38639350158	-0.941042151758	-0.283129073661	0.00294081786914	0.0375955677506	11	8	10	5	5
MMAA	5	5	0.155420157439	1.11374592828	0.174450706989	7.81354445086	-0.248541002006	0.559381316884	0.399577913085	0.544378043975	8	7	10	5	5
MMAB	5	5	-0.37487350015	0.771173028515	0.243757326172	4.51191200574	-1.02241894568	0.272671945376	0.190883497434	0.331799792544	9	6	10	5	5
MMGT1	5	5	-0.670087291084	0.628468660257	0.310192020519	6.14007797918	-1.42492209866	0.0847475164886	0.0730172717773	0.182989396104	2	1	10	5	5
MMP2	5	5	0.50139256759	1.41557929713	0.541707771101	5.58179959546	-0.848567934459	1.85135306964	0.392924601789	0.539568608423	1	1	10	5	5
MMRN2	5	5	-2.24691756238	0.210673745226	2.12960750188	7.85021974983	-7.17415864663	2.68032352187	0.322772812774	0.474121836022	1	1	10	5	5
MMS19	5	4	0.24166696604	1.18235803138	0.132688367619	5.1191894741	-0.0970445118254	0.580378443906	0.126831600553	0.257782309008	3	3	9	5	4
MOCS1	5	4	0.202423906102	1.1506299325	0.491137822258	5.35595059005	-1.03526192014	1.44010973234	0.696208679492	0.795490717626	1	1	9	5	4
MOGS	5	5	-0.451355054516	0.731355597906	0.297480349687	4.22044908961	-1.26055376446	0.357843655427	0.200145247327	0.34263954865	20	17	10	5	5
MON2	5	5	-0.156882862679	0.896960984021	0.404120612786	4.34381582593	-1.24473029292	0.930964567557	0.71614537699	0.808417163508	4	4	10	5	5
MORC2	5	5	0.761576070467	1.69534168744	0.311752344688	6.77083275567	0.0193106785642	1.50384146237	0.0457177027834	0.14010363944	6	6	10	5	5
MORC3	5	4	0.407648364463	1.32652178117	0.103699381737	6.98051457963	0.162299466905	0.652997262021	0.00569947349589	0.0499229610484	2	2	9	5	4
MORF4L1	5	5	0.629535808539	1.54706713996	0.244268462665	7.99836499738	0.0662316803883	1.19283993669	0.0327626141564	0.116739456919	4	4	10	5	5
MP68	5	5	-1.02890431448	0.490082210877	0.219726106107	6.57376782424	-1.5553818072	-0.502426821762	0.00266289040227	0.0362377652301	5	2	10	5	5
MPC1	5	4	-2.00749004128	0.248705438148	0.197911987854	6.64615409879	-2.48057613628	-1.53440394629	2.75843934927e-05	0.0147851909076	2	2	9	5	4
MPC2	5	5	-0.706469420244	0.612818000505	0.197707411228	5.84035941198	-1.19346558103	-0.219473259462	0.0122851645086	0.0701498444284	4	3	10	5	5
MPDU1	5	5	-1.00164703431	0.499429507115	0.227755852866	6.06779455008	-1.55743965716	-0.445854411458	0.00445782239494	0.0437157322252	4	3	10	5	5
MPG	5	5	0.637590003183	1.55572817079	0.198452364212	6.4429494732	0.159973378283	1.11520662808	0.0165809106875	0.0805996639129	2	1	10	5	5
MPI	5	5	0.212674898988	1.15883478735	0.257630641947	4.84099396749	-0.456182179681	0.881531977657	0.447840614072	0.587953728195	2	2	10	5	5
MPND	5	4	0.310552313052	1.24018239335	0.276411223272	6.56253917228	-0.351993334657	0.973097960762	0.300630949689	0.451296577054	1	1	9	5	4
MPP2	5	4	-0.11382387764	0.924135382823	0.268972831961	5.57633290953	-0.784289898808	0.556642143527	0.687995002279	0.789304541018	3	3	9	5	4
MPP6	5	5	0.367895180487	1.29046872759	0.110586777202	7.59047323456	0.110466763278	0.625323597697	0.0112486139364	0.0673794545324	6	6	10	5	5
MPPED2	5	4	-0.30063356147	0.811895772934	0.148253650332	5.93852954287	-0.664309347139	0.0630422242002	0.0894199300096	0.207605840388	1	1	9	5	4
MPRIP	5	4	0.215308531694	1.1609521666	0.236263939916	3.58578661568	-0.471657909272	0.902274972661	0.419194209126	0.562458381133	1	1	9	5	4
MPST	5	5	0.392256784763	1.31244483538	0.244715819322	4.15027145882	-0.277590253206	1.06210382273	0.181646091875	0.322426945096	9	7	10	5	5
MPV17	5	4	0.627120177205	1.54447891668	0.406540368546	6.91691923836	-0.336540698305	1.59078105271	0.167349286912	0.305478832161	2	1	9	5	4
MPZL1	5	5	-1.41960114822	0.373815644065	0.561404990191	4.88508946805	-2.87300897297	0.0338066765395	0.0537422415826	0.15403222708	4	2	10	5	5
MRAS	5	5	-0.100004002957	0.933030402711	0.307502790271	4.32110821799	-0.929320096543	0.729312090629	0.760163677344	0.83943656022	2	2	10	5	5
MRC2	5	4	-1.12623940437	0.45810829641	0.19411703335	5.29560524387	-1.6169704533	-0.635508355446	0.00176821435297	0.0333839324387	1	1	9	5	4
MRE11	5	5	0.943984738121	1.9238345575	0.241337134695	7.8102562491	0.385098110279	1.50287136596	0.00468677290997	0.0446977433337	5	5	10	5	5
MRGBP	5	4	1.06988824273	2.09927074255	0.578370000622	5.44819056722	-0.380814717995	2.52059120346	0.118770139262	0.248387620868	1	1	9	5	4
MRM3	5	4	-0.321843652207	0.800046826335	0.199926014004	4.01264713139	-0.876237958757	0.232550654343	0.182501449614	0.323482923068	3	3	9	5	4
MRPL1	5	5	-0.324803164234	0.798407310551	0.172487161442	5.98797735757	-0.747069543872	0.0974632154049	0.108791308723	0.234475677808	8	7	10	5	5
MRPL10	5	4	-0.0282053205584	0.980639432036	0.168216463452	6.99392181082	-0.426044137423	0.369633496306	0.871586080292	0.91627238597	4	3	9	5	4
MRPL11	5	5	-0.310193630665	0.806533503427	0.109828929916	7.5410626157	-0.566167755159	-0.0542195061714	0.0237193465409	0.0975038780341	8	6	10	5	5
MRPL12	5	5	0.672850604174	1.59421985781	0.448473198588	6.04664432558	-0.422475047191	1.76817625554	0.183827153736	0.324687308272	6	4	10	5	5
MRPL13	5	5	-0.138168240259	0.90867214523	0.148651339934	6.58809563431	-0.494177384465	0.217840903948	0.385432346839	0.531220689456	9	7	10	5	5
MRPL14	5	5	0.118886691324	1.0858965671	0.612006494335	4.09777474274	-1.56444491853	1.80221830118	0.85522611241	0.90476664941	6	4	10	5	5
MRPL15	5	5	-0.19270055126	0.87496635587	0.182452756226	7.96155558619	-0.613791257516	0.228390154995	0.321884029943	0.473124424592	13	8	10	5	5
MRPL16	5	5	-0.213331586332	0.86254307647	0.202877740603	5.26101577053	-0.727158380639	0.300495207975	0.33889743923	0.491881064468	5	3	10	5	5
MRPL17	5	5	-0.399380972941	0.758183532482	0.179701778497	7.85081879751	-0.815148653309	0.0163867074273	0.0575837853386	0.159951019497	10	8	10	5	5
MRPL18	5	5	-0.440631206725	0.736812168672	0.198835250027	7.95924559664	-0.899555098545	0.0182926850955	0.0577022586473	0.160082957416	6	4	10	5	5
MRPL19	5	5	-0.530769994406	0.692185202744	0.127778085494	6.72512510329	-0.835438760837	-0.226101227976	0.00466598205961	0.044611103222	10	9	10	5	5
MRPL2	5	5	-0.501918439094	0.706167123313	0.272897384698	4.37666858879	-1.23456614668	0.230729268496	0.133538493329	0.265956796206	6	5	10	5	5
MRPL20	5	5	0.490089343703	1.40453185336	0.417389758414	7.91848730007	-0.474140511753	1.45431919916	0.274425995336	0.423950570192	4	3	10	5	5
MRPL21	5	5	-1.04610468872	0.484273952149	0.298566006772	5.56129950392	-1.79086916465	-0.301340212782	0.0144567031626	0.0756764456431	2	2	10	5	5
MRPL22	5	5	-0.786880011208	0.5795961789	0.321852207387	5.95822176594	-1.57576451425	0.00200449183276	0.0504231457831	0.148568785518	5	4	10	5	5
MRPL23	5	5	-0.695840614832	0.617349502835	0.146486641526	6.30649336131	-1.05009989577	-0.341581333894	0.00276310741192	0.0365524267893	6	5	10	5	5
MRPL24	5	5	-0.330549733054	0.795233405573	0.160397097968	7.99162988461	-0.700493546185	0.0393940800763	0.0733031081201	0.18319685359	6	5	10	5	5
MRPL27	5	5	-0.830606260333	0.56229290167	0.277123812043	5.2364859832	-1.53340715519	-0.127805365475	0.0285000634948	0.107855525525	3	2	10	5	5
