gene	peptide_backbones	n_control	n_knockdown	log2_difference	ratio	standard_error	df	ci_low	ci_high	p_two_sided	FDR_BH
SRSF12	2	5	5	-0.679934154596	0.624193762351	0.21552957845	7.99999764779	-1.1769462792	-0.182922029995	0.0135021489854	0.0761632848451
SRSF2	5	5	5	0.227709219883	1.17097414359	0.17929951481	6.90061730477	-0.197507724038	0.652926163804	0.245231824405	0.398319250503
SRSF3	4	5	5	0.638680170294	1.55690419524	0.200678453996	5.71477869891	0.141635332089	1.1357250085	0.0203282575732	0.089680413659
SRSF4	4	5	5	0.187897733812	1.13910262848	0.477859945842	6.89593750235	-0.945527343985	1.32132281161	0.706039427773	0.79447632517
SRSF6	6	5	5	0.479432584716	1.39419521831	0.375549742961	4.29398644351	-0.53570128926	1.49456645869	0.266411081969	0.419304536364
SRSF7	2	5	5	0.793359263637	1.7331052414	0.128416416866	6.825994142	0.488126440152	1.09859208712	0.000502407808161	0.0267501523223
SRSF9	2	5	5	1.7146992032	3.28228201974	0.480650714521	5.70846719145	0.523874956951	2.90552344945	0.012856981814	0.0745505417758
SSB	14	5	5	0.710451575067	1.63631621701	0.161263539633	6.61576191386	0.324587989796	1.09631516034	0.00359291500545	0.0472172152161
SSBP1	6	5	5	-0.58649130286	0.66596058425	0.216643241178	6.24382720858	-1.11162040754	-0.0613621981768	0.0338750604459	0.117228652922
SSR1	4	5	5	-0.103192585245	0.930970536353	0.519744473733	4.295566929	-1.5079067552	1.30152158471	0.851665668997	0.900691339693
SSR4	2	5	5	-1.57435284376	0.335793720424	0.256336159583	4.79700417447	-2.24176184008	-0.906943847446	0.001924329086	0.0405190507045
SSRP1	9	5	5	0.153543987812	1.11229848575	0.0996473804296	5.60653008501	-0.0944930635362	0.401581039161	0.177703686532	0.323812310266
ST13	7	5	5	0.160090306376	1.11735707753	0.218568108431	4.65608209572	-0.414471737907	0.734652350659	0.499074820711	0.645204547189
ST3GAL5	2	5	5	-0.249268338602	0.841322983217	0.214159192118	6.65002403146	-0.76112742054	0.262590743337	0.284502284977	0.437989060722
