gene_target	source	original_cells	retained_cells	retention	primary	min10
Acat1	mouse47	1	1	1	False	False
Acat1	mouse48	2	2	1	False	False
Acat1	mouse49	2	2	1	False	False
Acat1	mouse5	4	4	1	False	False
Acat1	mouse50	1	1	1	False	False
Acat1	mouse51	4	4	1	False	False
Acat1	mouse52	22	19	0.863636363636	False	True
Acat1	mouse53	7	6	0.857142857143	False	False
Acat1	mouse54	21	21	1	True	True
Acat1	mouse55	21	21	1	True	True
Acat1	mouse56	8	8	1	False	False
Acat1	mouse57	10	10	1	False	True
Acat1	mouse58	8	8	1	False	False
Acat1	mouse59	5	4	0.8	False	False
Acat1	mouse6	20	20	1	True	True
Acat1	mouse60	28	28	1	True	True
Acat1	mouse61	14	14	1	False	True
Acat1	mouse62	36	36	1	True	True
Acat1	mouse63	32	32	1	True	True
Acat1	mouse64	13	12	0.923076923077	False	True
Acat1	mouse66	8	8	1	False	False
Acat1	mouse67	36	36	1	True	True
Acat1	mouse68	37	37	1	True	True
Acat1	mouse69	18	18	1	False	True
