pseudo	source	weighted	cells	original	retention	effect
7	mouse19	-0.11273085358	36	36	1	-0.00313141259943
7	mouse20	0.881234973729	48	48	1	0.0183590619527
7	mouse21	-0.45185202716	26	27	0.962962962963	-0.0173789241216
7	mouse22	-0.183820378092	35	35	1	-0.00525201080264
7	mouse23	0.242478984743	63	63	1	0.0038488727737
7	mouse24	-0.000701687250241	31	32	0.96875	-2.26350725884e-05
7	mouse25	-0.132641955243	29	29	1	-0.00457386052562
7	mouse26	0.270616211382	22	22	1	0.012300736881
7	mouse34	0.270056020868	30	30	1	0.00900186736228
7	mouse35	-0.244287269833	25	25	1	-0.00977149079332
7	mouse38	-0.306051165144	21	22	0.954545454545	-0.0145738650069
7	mouse4	0.572688239136	31	32	0.96875	0.0184738141657
7	mouse44	-0.826771796675	30	30	1	-0.0275590598892
7	mouse45	-0.415844392261	34	34	1	-0.0122307174195
7	mouse52	-0.764972582644	33	33	1	-0.0231809873528
7	mouse54	0.0917111945176	21	21	1	0.00436719973893
7	mouse55	-0.720555941302	47	47	1	-0.0153309774745
7	mouse6	-0.100880657217	42	42	1	-0.00240192040993
7	mouse60	0.0377540849906	60	60	1	0.000629234749844
7	mouse61	-0.83439097659	20	20	1	-0.0417195488295
7	mouse62	-0.394217671482	68	68	1	-0.00579731869826
7	mouse63	-0.608226908066	63	64	0.984375	-0.00965439536613
7	mouse67	0.289457453406	65	65	1	0.00445319159086
7	mouse68	0.199203439811	85	86	0.988372093023	0.00234356988012
7	mouse69	-0.435558784643	27	27	1	-0.0161318068386
7	mouse7	-0.612151186042	36	36	1	-0.0170041996123
7	mouse70	-0.155573982313	65	65	1	-0.00239344588173
7	mouse72	0.522302746249	66	66	1	0.00791367797347
7	mouse73	0.150551169073	39	40	0.975	0.00386028638649
7	mouse74	-0.998587532353	40	40	1	-0.0249646883088
7	mouse75	-0.0823014888476	26	26	1	-0.00316544187875
7	mouse76	-0.304456825661	64	64	1	-0.00475713790096
7	mouse8	-0.790544389046	33	34	0.970588235294	-0.0239558905772
7	mouse9	-0.377060701858	56	56	1	-0.0067332268189
8	mouse10	0.443714225525	32	32	1	0.0138660695477
8	mouse11	-0.157132879464	51	52	0.980769230769	-0.00308103685224
8	mouse12	0.260587772112	30	30	1	0.00868625907041
8	mouse13	0.28394797684	43	43	1	0.00660344132186
8	mouse14	-0.00786871845656	25	26	0.961538461538	-0.000314748738263
8	mouse15	0.260661900685	43	43	1	0.00606190466709
8	mouse16	0.394698280048	26	26	1	0.0151807030788
8	mouse18	0.740781802698	38	38	1	0.0194942579657
8	mouse19	-0.0659944211672	35	35	1	-0.00188555489049
8	mouse20	0.705614068946	42	42	1	0.0168003349749
8	mouse21	-0.739304284833	42	42	1	-0.0176024829722
8	mouse22	0.52670322606	36	36	1	0.0146306451683
8	mouse23	0.573840531576	55	55	1	0.0104334642105
8	mouse25	-0.545124478985	29	29	1	-0.0187973958271
8	mouse26	0.738997288736	25	25	1	0.0295598915494
8	mouse31	-0.107331823385	24	24	1	-0.00447215930769
8	mouse34	0.220651791978	26	26	1	0.00848660738376
8	mouse35	-0.312373700971	27	27	1	-0.0115693963323
8	mouse36	0.0664816805085	22	22	1	0.00302189456857
8	mouse38	0.347158786896	44	47	0.936170212766	0.00788997242945
8	mouse4	0.0942496050914	37	37	1	0.00254728662409
8	mouse44	-0.0472323429944	34	34	1	-0.00138918655866
8	mouse45	0.953938323197	33	33	1	0.0289072219151
8	mouse52	-0.484138527094	50	50	1	-0.00968277054188
8	mouse54	-0.395069329557	27	28	0.964285714286	-0.014632197391
8	mouse55	0.302992716678	30	30	1	0.0100997572226
