target	mouse	readout	difference	primary	min10	target_cells
Adamts17	mouse3	gene_Snca	0.015814620358	False	True	19
Adamts17	mouse3	gene_Naa20	-0.0475343531045	False	True	19
Adamts17	mouse3	gene_Naa25	0.114768725284	False	True	19
Adamts17	mouse3	gene_Pomp	0.0198045912387	False	True	19
Adamts17	mouse3	gene_Psmb4	0.0013864763023	False	True	19
Adamts17	mouse3	gene_Psmc5	-0.0557519960399	False	True	19
Adamts17	mouse30	synapse	0.0129076805813	False	False	6
Adamts17	mouse30	proteasome	-0.0190203495098	False	False	6
Adamts17	mouse30	synapse_without_Syt1	0.0140983254353	False	False	6
Adamts17	mouse30	gene_Syp	0.000657728753674	False	False	6
Adamts17	mouse30	gene_Syt1	-0.0871064871583	False	False	6
Adamts17	mouse30	gene_Snca	-0.255079356443	False	False	6
Adamts17	mouse30	gene_Naa20	-0.34498749116	False	False	6
Adamts17	mouse30	gene_Naa25	0.118580865637	False	False	6
Adamts17	mouse30	gene_Pomp	-0.107043031813	False	False	6
Adamts17	mouse30	gene_Psmb4	-0.148234838226	False	False	6
Adamts17	mouse30	gene_Psmc5	-0.168581311347	False	False	6
Adamts17	mouse31	synapse	-0.00446276466755	True	True	20
Adamts17	mouse31	proteasome	-0.0194166788691	True	True	20
Adamts17	mouse31	synapse_without_Syt1	-0.00347851796165	True	True	20
Adamts17	mouse31	gene_Syp	0.00978739127953	True	True	20
Adamts17	mouse31	gene_Syt1	-0.0871394879633	True	True	20
Adamts17	mouse31	gene_Snca	0.017693287953	True	True	20
Adamts17	mouse31	gene_Naa20	0.0585618448426	True	True	20
Adamts17	mouse31	gene_Naa25	-0.0914534397886	True	True	20
Adamts17	mouse31	gene_Pomp	0.0164788975469	True	True	20
Adamts17	mouse31	gene_Psmb4	0.137206486355	True	True	20
Adamts17	mouse31	gene_Psmc5	0.122888634273	True	True	20
Adamts17	mouse32	synapse	-0.00509357118542	False	False	9
Adamts17	mouse32	proteasome	0.012441780915	False	False	9
Adamts17	mouse32	synapse_without_Syt1	-0.00400782102069	False	False	9
Adamts17	mouse32	gene_Syp	0.138830496892	False	False	9
Adamts17	mouse32	gene_Syt1	-0.0962965850221	False	False	9
Adamts17	mouse32	gene_Snca	-0.106365735804	False	False	9
Adamts17	mouse32	gene_Naa20	0.483513781121	False	False	9
Adamts17	mouse32	gene_Naa25	0.277080362899	False	False	9
Adamts17	mouse32	gene_Pomp	-0.0482615551056	False	False	9
Adamts17	mouse32	gene_Psmb4	-0.0273655773966	False	False	9
Adamts17	mouse32	gene_Psmc5	0.0533177420994	False	False	9
Adamts17	mouse33	synapse	0.0326754438228	False	False	9
Adamts17	mouse33	proteasome	-0.00681042832038	False	False	9
Adamts17	mouse33	synapse_without_Syt1	0.0323087634526	False	False	9
Adamts17	mouse33	gene_Syp	-0.0481565152849	False	False	9
Adamts17	mouse33	gene_Syt1	0.0634765949167	False	False	9
Adamts17	mouse33	gene_Snca	0.0934471418197	False	False	9
Adamts17	mouse33	gene_Naa20	0.107459145249	False	False	9
Adamts17	mouse33	gene_Naa25	0.340819926294	False	False	9
Adamts17	mouse33	gene_Pomp	0.285002582936	False	False	9
Adamts17	mouse33	gene_Psmb4	0.00866407210201	False	False	9
Adamts17	mouse33	gene_Psmc5	0.0573130924266	False	False	9
Adamts17	mouse34	synapse	0.0324677257928	True	True	30
Adamts17	mouse34	proteasome	0.0322236134015	True	True	30
Adamts17	mouse34	synapse_without_Syt1	0.0324191319864	True	True	30
Adamts17	mouse34	gene_Syp	0.0839046842943	True	True	30
Adamts17	mouse34	gene_Syt1	0.0365496055338	True	True	30
Adamts17	mouse34	gene_Snca	0.160980490507	True	True	30
Adamts17	mouse34	gene_Naa20	0.0600856295615	True	True	30
Adamts17	mouse34	gene_Naa25	-0.0186984043027	True	True	30
Adamts17	mouse34	gene_Pomp	0.0408081237145	True	True	30
Adamts17	mouse34	gene_Psmb4	0.0801587410094	True	True	30
Adamts17	mouse34	gene_Psmc5	-0.0652879517225	True	True	30
Adamts17	mouse35	synapse	-0.0180405671731	False	True	16
Adamts17	mouse35	proteasome	-0.00226207671699	False	True	16
Adamts17	mouse35	synapse_without_Syt1	-0.0197655512759	False	True	16
Adamts17	mouse35	gene_Syp	-0.0183440301128	False	True	16
Adamts17	mouse35	gene_Syt1	0.126858097458	False	True	16
Adamts17	mouse35	gene_Snca	0.1673061362	False	True	16
Adamts17	mouse35	gene_Naa20	-0.23499427067	False	True	16
Adamts17	mouse35	gene_Naa25	0.0417787004428	False	True	16
Adamts17	mouse35	gene_Pomp	-0.118572115354	False	True	16
Adamts17	mouse35	gene_Psmb4	-0.10096027964	False	True	16
Adamts17	mouse35	gene_Psmc5	0.0972827012434	False	True	16
Adamts17	mouse36	synapse	0.021869443251	True	True	26
Adamts17	mouse36	proteasome	0.0140028760771	True	True	26
Adamts17	mouse36	synapse_without_Syt1	0.0207136636369	True	True	26
Adamts17	mouse36	gene_Syp	0.107276044936	True	True	26
Adamts17	mouse36	gene_Syt1	0.118954930832	True	True	26
Adamts17	mouse36	gene_Snca	0.0509277334081	True	True	26
Adamts17	mouse36	gene_Naa20	-0.212182162342	True	True	26
Adamts17	mouse36	gene_Naa25	0.098844674886	True	True	26
Adamts17	mouse36	gene_Pomp	-0.0378246398795	True	True	26
Adamts17	mouse36	gene_Psmb4	-0.0322858813654	True	True	26
Adamts17	mouse36	gene_Psmc5	0.130325793681	True	True	26
Adamts17	mouse37	synapse	0.0264553812177	False	True	13
Adamts17	mouse37	proteasome	0.0116063140089	False	True	13
Adamts17	mouse37	synapse_without_Syt1	0.0237193884372	False	True	13
Adamts17	mouse37	gene_Syp	0.101531497551	False	True	13
Adamts17	mouse37	gene_Syt1	0.25627877478	False	True	13
Adamts17	mouse37	gene_Snca	0.0429990401112	False	True	13
Adamts17	mouse37	gene_Naa20	0.0590898854861	False	True	13
Adamts17	mouse37	gene_Naa25	-0.0403431011078	False	True	13
Adamts17	mouse37	gene_Pomp	-0.0185034134488	False	True	13
Adamts17	mouse37	gene_Psmb4	0.166605775246	False	True	13
Adamts17	mouse37	gene_Psmc5	0.33022737313	False	True	13
